Species,Subgenus,Section,Series,Taxonomy,State(s),Obligate seeder,AOO (km2),EOO (km2),Geographic Range (km2),Habitat,EPD %,EPD (%) P,EPD (%) M,EPD (%) Urban,EPD (%) A,Category,Criteria,EPBC,State listing,EEC,Threats,Locations,Locations_value_type,TEC,Mature individuals,Mature_individuals_value_type,Largest sub-population,Accepted threats,Putative threats
Eucalyptus densa,Symphyomyrtus,Bisectae,Levispermae,,WA,0.5,320,54598.5,37282.2,M,24.62,,24.62,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus denticulata,Symphyomyrtus,Maidenaria,Globulares,,NSW; Vic,0,144,10807.85,2345.5,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus depauperata,Symphyomyrtus,Bisectae,Erectae,DD,WA,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus desmondensis,Symphyomyrtus,Bisectae,Levispermae,,WA,0,68,709.14,673.8,U,,,,,,EN,C2a(i),,,,Active mining,6,raw,,1000--2000,range,50--200,Active mining,
Eucalyptus deuaensis,Eucalyptus,Capillulus,Limitares,,NSW,0,16,15.99,15.9,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus dielsii,Symphyomyrtus,Bisectae,Elongatae,,WA,1,200,22201.15,20814.7,P,36.75,36.75,,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus diminuta,Symphyomyrtus,Bisectae,Erectae,,WA,0,192,27538.39,8048.7,P,39.15,39.15,,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus diptera,Symphyomyrtus,Bisectae,Contortae,,WA,1,284,27893.8,11484.7,P,18.15,18.15,,,,LC,,,,,0,,,,,,,,
Eucalyptus discreta,Symphyomyrtus,Bisectae,Porantherae,,WA,0,272,62069.47,16694.8,M,21.37,,21.37,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus dissimulata,Symphyomyrtus,Bisectae,Porantherae,,WA,0,336,24019.34,15837.4,P,60,60,,,,EN,A2b,,,,0,,,,,,,,
Eucalyptus distans,Symphyomyrtus,Maidenaria,Aquilonares,,WA; NT; Qld,0,328,751823.85,183188.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus distuberosa,Symphyomyrtus,Dumaria,Rufispermae,,WA,1,116,48646.54,48646.5,P,13.89,13.89,,,,LC,,,,,0,,,,,,,,
Eucalyptus diversicolor,Symphyomyrtus,Inclusae,,,WA,0,376,82863.61,16737.2,M,15.1,,15.1,,,LC,,,,,0,,,,,,,,
Eucalyptus diversifolia,Eucalyptus,Longistylus,Diversiformae,,NSW; Vic,0,2340,192702.78,50172.4,M,37.69,,37.69,,,VU,A2b,,,16,0,,,16,,,,,
Eucalyptus dives,Eucalyptus,Aromatica,Radiatae,,NSW,0,1828,170629.19,98734.9,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus dolichocera,Symphyomyrtus,Bisectae,Subulatae,,WA,0,204,28228.25,26453.6,M,28.71,,28.71,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus dolichorhyncha,Symphyomyrtus,Dumaria,Tetrapterae,,WA,1,88,2188.55,1939.3,P,65.15,65.15,,,,EN,A2b,,,,0,,,,,,,,
Eucalyptus dolorosa,Eucalyptus,Longistylus,Diversiformae,,WA,0,4,13.07,13.1,U,,,,,,CR,D,EN,CR (WA),,0,,,,5.00,raw,,,
Eucalyptus doratoxylon,Symphyomyrtus,Bisectae,Decurvae,,WA,0,348,48867.84,9267.1,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus dorrigoensis,Symphyomyrtus,Maidenaria,Microcarpae,,NSW,0,192,9543.38,4965.9,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus drummondii,Symphyomyrtus,Bisectae,Curviptera,,WA,0,720,83134.44,45830.3,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus dumosa,Symphyomyrtus,Dumaria,Rufispermae,,NSW; SA; Vic,0,2776,514388.83,275008.5,P,45.7,45.7,,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus dundasii,Symphyomyrtus,Bisectae,Dundasianae,,WA,1,360,46251.68,15082,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus dunnii,Symphyomyrtus,Maidenaria,Bridgesianae,,NSW; Qld,0,164,14127.03,1625.4,P,20.24,20.24,,,,NT,A2b,,VU (Qld),,0,,,,82000.00,minimum,,,No documentation available
Eucalyptus dura,Symphyomyrtus,Adnataria,Rhodoxylon,,NSW; Qld,0,412,54027.07,33804,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus dwyeri,Symphyomyrtus,Exsertaria,Erythroxylon,,NSW,0,1204,237286.44,111841.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus ebbanoensis,Eudesmia,Ebbanoenses,,,WA,0,524,208863.24,73249.5,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus ecostata,Symphyomyrtus,Bisectae,Falcatae,,WA,0,356,28911.84,19192.6,M,29.77,,29.77,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus educta,Symphyomyrtus,Bisectae,Curviptera,,Tas,0,12,35553.52,35355.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus effusa,Symphyomyrtus,Bisectae,Contortae,,WA,0,240,157100.26,3791,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus elaeophloia,Symphyomyrtus,Maidenaria,Semiunicolores,,Vic,0,12,159.86,158,U,,,,,,EN,D,,,,0,,,,100--199,range,,,
Eucalyptus elata,Eucalyptus,Aromatica,Radiatae,,ACT; NSW; Vic,0,884,114614.17,46516,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus elegans,Symphyomyrtus,Adnataria,Siderophloiae,,NSW; Qld,0,184,55073.63,39526.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus elliptica,Symphyomyrtus,Maidenaria,Microcarpae,DD,NSW,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus erectifolia,Eucalyptus,Longistylus,Diversiformae,,WA,0,92,1976.24,1451.1,U,,,,,,EN,D,,,,0,,,,100.00,maximum,,,
Eucalyptus eremicola,Symphyomyrtus,Bisectae,Subulatae,,WA; SA,0,948,625391.4,273655.5,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus eremophila,Symphyomyrtus,Bisectae,Erectae,,WA,1,732,110898.48,108377.5,M,3.13,,3.13,,,LC,,,,,0,,,,,,,,
Eucalyptus erosa,Eucalyptus,Capillulus,Pachyphloius,,Qld,0,36,1340.96,417.1,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus erythrocorys,Eudesmia,Limbatae,Heteropterae,,WA,0,120,10572.51,2286.3,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus erythronema,Symphyomyrtus,Bisectae,Elongatae,,WA,0,484,31094.51,27236.9,M,53,,53,,,EN,A2b,,,10,0,,,10,,,,,
Eucalyptus eudesmioides,Eudesmia,Limbatae,Heteropterae,,WA,0,1032,76811.06,44917.2,M,26.96,,26.96,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus eugenioides,Eucalyptus,Capillulus,Pachyphloius,,ACT; NSW; Qld,0,1672,546734.03,158936.3,M,15.88,,15.88,,,LC,,,,,0,,,,,,,,
Eucalyptus ewartiana,Symphyomyrtus,Bisectae,Curviptera,,WA,0,676,624539.9,222698.2,M,6.76,,6.76,,,LC,,,,,0,,,,,,,,
Eucalyptus exigua,Symphyomyrtus,Dumaria,Ovulares,,WA,0,68,50326.35,29529.6,P,10.43,10.43,,,,LC,,,,,0,,,,,,,,
Eucalyptus exilipes,Symphyomyrtus,Adnataria,Siderophloiae,,Qld,0,172,66126.12,32571.5,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus exilis,Eucalyptus,Longistylus,Muricatae,,WA,0,72,12201.03,2931.3,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus expressa,Eucalyptus,Capillulus,Pachyphloius,,NSW,0,12,1582.28,1582.3,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus exserta,Symphyomyrtus,Exsertaria,Phaeoxylon,,NSW; Qld,0,2148,1269996.8,732445.1,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus extensa,Symphyomyrtus,Bisectae,Erectae,,WA,1,356,97643.18,66876.7,P,38.59,38.59,,,,VU,A2b,,,10,0,,,10,,,,,
Eucalyptus extrica,Eudesmia,Limbatae,Heteropterae,,WA,0,208,8191.2,5616.1,M,14.81,,14.81,,,LC,,,,,0,,,,,,,,
Eucalyptus falcata,Symphyomyrtus,Bisectae,Falcatae,,WA,1,0,0,34912.5,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus falciformis,Eucalyptus,Aromatica,Radiatae,,SA; Vic,0,668,41222.21,10570.6,P,48.59,48.59,,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus famelica,Symphyomyrtus,Dumaria,Rigentes,DD,WA,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus farinosa,Symphyomyrtus,Adnataria,Siderophloiae,,Qld,0,12,180.28,117.5,U,,,,,,VU,D2,,,,Future mining,2,raw,,,,,Future mining,
Eucalyptus fasciculosa,Symphyomyrtus,Adnataria,Heterophloiae,,SA; Vic,0,1868,73919.26,29474.9,M,42.57,,42.57,,,VU,A2b,,,16,0,,,16,,,,,
Eucalyptus fastigata,Eucalyptus,Eucalyptus,Regnantes,,ACT; NSW; Vic,unknown,920,125229.97,64410.4,M,14.8,,14.8,,,LC,,,,,0,,,,,,,,
Eucalyptus fibrosa,Symphyomyrtus,Adnataria,Siderophloiae,,NSW; Qld,0,2288,599396.87,245016.1,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus filiformis,Symphyomyrtus,Adnataria,Buxeales,,Vic,0,4,647.53,645.6,U,,,,,,CR,D,,,,0,,,,3--10,range,,,
Eucalyptus fitzgeraldii,Symphyomyrtus,Adnataria,Striolatae,,WA,0,68,49498.85,35309,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus flavida,Symphyomyrtus,Bisectae,Levispermae,,WA,0,80,16663.81,13939,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus flindersii,Symphyomyrtus,Exsertaria,Exsertae,,SA,0,396,32122.25,4560.3,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus flocktoniae,Symphyomyrtus,Bisectae,Subulatae,,WA,0,1484,237199.47,161060.3,M,31.24,,31.24,,,VU,A2b,,,10,0,,,10,,,,,
Eucalyptus foecunda,Symphyomyrtus,Bisectae,Porantherae,,WA,0,224,18149.89,4282.4,M,19.04,,,19.04,,LC,,,,,Urbanisation,50--60,range,,,,,,
Eucalyptus foliosa,Symphyomyrtus,Bisectae,Angustissimae,,WA,0,68,1270.06,1267.4,P,80.23,80.23,,,,CR,A2b,,,,0,,,,,,,,
Eucalyptus formanii,Symphyomyrtus,Bisectae,Porantherae,,WA,0,84,6078.26,4581.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus forresterae,Eucalyptus,Longitudinales,0,DD,NSW; Vic,0,,,,,,,,,,DD,taxonomy,,T (Vic),,NA,NA,NA,,,,,,
Eucalyptus forrestiana,Symphyomyrtus,Dumaria,Tetrapterae,,WA,1,248,5137.28,3998.5,P,55.42,55.42,,,,EN,A2b,,,,0,,,,,,,,
Eucalyptus fracta,Symphyomyrtus,Adnataria,Siderophloiae,,NSW,0,12,26.07,5.6,U,,,,,,VU,D2,,VU (NSW),,Future mining,2,raw,,,,,Future mining,
Eucalyptus fraseri,Symphyomyrtus,Dumaria,Rufispermae,,WA,1,372,26160.18,18223.8,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus fraxinoides,Eucalyptus,Cineraceae,Fraxinales,,ACT; NSW; Vic,1,364,17987.77,9580.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus frenchiana,Symphyomyrtus,Dumaria,Rufispermae,,WA,1,28,1921.24,1531.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus froggattii,Symphyomyrtus,Adnataria,Buxeales,,Vic,0,228,17996.49,992.3,P,71.2,71.2,,,,EN,A2b,,T (Vic),,0,,,,,,,,
Eucalyptus fruticosa,Symphyomyrtus,Bisectae,Porantherae,,WA,0,252,75740.76,18697.8,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus fulgens,Symphyomyrtus,Maidenaria,Acaciiformes,,Vic,0,232,6983.88,1507.7,P,62.06,62.06,,,,EN,A2b,,,,Urbanisation,100--200,range,,,,,,
Eucalyptus fusiformis,Symphyomyrtus,Adnataria,Rhodoxylon,,NSW; Qld,0,128,17616.85,548.7,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus gamophylla,Eudesmia,Limbatae,Heteropterae,,WA; NT; Qld; SA,0,2444,1501926.13,1193647.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus gardneri,Symphyomyrtus,Bisectae,Levispermae,,WA,1,268,40333.38,25742.8,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus georgei,Symphyomyrtus,Dumaria,Rufispermae,,WA,1,76,1256.47,384.8,U,,,,,,VU,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",,,,Active mining,7,raw,,,,,Active mining,
Eucalyptus gigantangion,Eudesmia,Reticulatae,Miniatae,,NT,0,104,7001.89,6995.3,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus gillenii,Symphyomyrtus,Exsertaria,Erythroxylon,,WA; NT; SA,0,424,174671.73,96013.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus gillii,Symphyomyrtus,Bisectae,Subulatae,,NSW; NT; SA,0,512,55536.82,12720.3,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus gittinsii,Eudesmia,Limbatae,Heteropterae,,WA,0,484,38854.08,25514.9,M,35.05,,35.05,,,VU,A2b,,,10,0,,,10,,,,,
Eucalyptus glaucescens,Symphyomyrtus,Maidenaria,Obriculares,,ACT; NSW; Vic,0,364,44220.27,16722.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus glaucina,Symphyomyrtus,Exsertaria,Exsertae,,NSW,0,204,32963.06,3235,P,39.04,39.04,,,,VU,A2b,VU,VU (NSW),4,Urbanisation,30--50,range,4,,,,,
Eucalyptus globoidea,Eucalyptus,Capillulus,Pachyphloius,,NSW; Vic,0,2336,320797.87,83494,M,20.01,,,20.01,,NT,A2b,,,,0,,,,,,,,
Eucalyptus globulus,Symphyomyrtus,Maidenaria,Globulares,,NSW; Tas; Vic,0,1776,473391.55,97414.1,M,17.47,,17.47,,,LC,,,,,0,,,,,,,,
Eucalyptus glomericassis,Symphyomyrtus,Exsertaria,Exsertae,,NT,0,144,12377,8982.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus glomerosa,Symphyomyrtus,Bisectae,Curviptera,,WA; SA,0,464,247751.2,222963.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus gomphocephala,Symphyomyrtus,Bolites,Tetrapterae,,WA,0,256,19490.31,5732.9,M,31.38,,,31.38,,VU,A2b,,,1; 27,Urbanisation,48,raw,1; 27,,,,,
Eucalyptus gongylocarpa,Eudesmia,Limbatae,Heteropterae,,WA; NT; SA,0,876,827091.05,458493.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus goniantha,Symphyomyrtus,Bisectae,Falcatae,,WA,0,120,4168.72,1307.6,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus goniocalyx,Symphyomyrtus,Maidenaria,Globulares,,ACT; NSW; SA; Vic,0,2080,684532.5,106195.5,M,31.33,,,31.33,,VU,A2b,,,,Urbanisation,2000--10000,range,,,,,,
Eucalyptus goniocarpa,Symphyomyrtus,Bisectae,Erectae,,WA,1,44,379.12,376.6,P,68.32,68.32,,,,EN,A2b,,,,0,,,,,,,,
Eucalyptus gracilis,Symphyomyrtus,Bisectae,Heterostemones,,WA; NSW; SA; Vic,0,5088,1387794.62,506517.1,M,13.42,,13.42,,,LC,,,,,0,,,,,,,,
Eucalyptus grandis,Symphyomyrtus,Latoangulatae,Transversae,,NSW; Qld,0,624,532129.24,53095.3,P,25.81,25.81,,,,NT,A2b,,,,Urbanisation,2000--10000,range,,,,,,
Eucalyptus granitica,Symphyomyrtus,Adnataria,Siderophloiae,,Qld,0,424,29067.9,17172.8,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus gregoryensis,Symphyomyrtus,Exsertaria,Exsertae,,NT,0,60,6128.76,6128.8,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus gregsoniana,Eucalyptus,Cineraceae,Pauciflorae,,NSW,0,168,11617.99,5681.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus griffithsii,Symphyomyrtus,Dumaria,Rufispermae,,WA; NSW; Qld; SA,0,452,25782.73,23008.8,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus grisea,Symphyomyrtus,Latoangulatae,Lepidotae-Fimbriatia,DD,Qld,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus grossa,Symphyomyrtus,Bisectae,Obliqua,,WA,0,304,63782.1,41780.4,M,10.85,,10.85,,,LC,,,,,0,,,,,,,,
Eucalyptus guilfoylei,Cruciformes,,,,WA,0,192,2440.2,1102.3,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus gunnii,Symphyomyrtus,Maidenaria,Obriculares,,Tas,0,736,27666.02,13193.9,P,70,15.73,,,70,EN,A2a,,,,0,,,,,,,,
Eucalyptus gypsophila,Symphyomyrtus,Dumaria,Rufispermae,,WA; NT; SA,0,572,896996.64,552665,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus haemastoma,Eucalyptus,Cineraceae,Psathyroxylon,,NSW,0,456,16280.79,6065.1,U,37.9,,,37.9,,VU,A2b,,,,Urbanisation,50--100,range,,,,,,
Eucalyptus hallii,Symphyomyrtus,Exsertaria,Connexentes,,Qld,0,136,743.56,453.2,M,20.21,,20.21,,,NT,A2b,VU,VU (Qld),,0,,,,10000.00,minimum,,,"Urbanisation, agriculture, timber harvesting"
Eucalyptus halophila,Symphyomyrtus,Bisectae,Halophilae,,WA,0,180,4798.35,2906.4,M,32.08,,32.08,,,VU,A2b; D1,,,,0,,,,1000.00,maximum,,,
Eucalyptus hawkeri,Symphyomyrtus,Adnataria,Buxeales,,Vic,0,40,104.7,104.7,M,35.95,,35.95,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus hebetifolia,Symphyomyrtus,Bisectae,Levispermae,,WA,0,188,15878.56,10923.6,M,45.71,,45.71,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus helidonica,Eucalyptus,Amentum,,,Qld,0,148,9234.07,9234,U,12.8,,,12.8,,NT,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",,,,Active mining; urbanisation,19,raw,,,,,,
Eucalyptus herbertiana,Symphyomyrtus,Exsertaria,Subexsertae,,WA; NT; Qld,0,860,1306198.67,496840.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus histophylla,Symphyomyrtus,Bisectae,Levispermae,,WA,0,64,38145.88,29995.3,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus horistes,Symphyomyrtus,Bisectae,Subulatae,,WA,0,1708,363601,308886.7,M,23.75,,23.75,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus houseana,Symphyomyrtus,Exsertaria,Subexsertae,,WA,0,276,126275.91,102187.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus howittiana,Minutifructus,Domesticae,,,WA; NT; Qld,0,208,29846.68,5660,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus hypolaena,Symphyomyrtus,Bisectae,Subulatae,,WA,0,268,67060.88,58432.2,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus hypostomatica,Symphyomyrtus,Adnataria,Heterophloiae,DD,NSW,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus ignorabilis,Symphyomyrtus,Maidenaria,Acaciiformes,,NSW; Vic,0,228,27364.7,6636.4,M,41.73,,,41.73,,VU,A2b,,,,Urbanisation,50--100,range,,,,,,
Eucalyptus imitans,Eucalyptus,Capillulus,Pachyphloius,,NSW,0,96,560.63,511.5,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus imlayensis,Symphyomyrtus,Maidenaria,Semiunicolores,,NSW,0,4,2.92,2.9,U,,,,,,CR,"B1ab(i,ii,iv,v)+2ab(i,ii,iv,v); C2a(i,ii); D",EN,CR (NSW),,Dieback,1,raw,,5.00,raw,75,Dieback,
Eucalyptus impensa,Symphyomyrtus,Bisectae,Curviptera,,WA,0,12,1.74,1.7,U,,,,,,CR,"B1ab(i,ii,iii,iv,v)",EN,CR (WA),,Dieback,7,raw,,114.00,raw,,Dieback,
Eucalyptus incerata,Symphyomyrtus,Bisectae,Erectae,,Tas,0,88,11592.74,11558.8,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus incrassata,Symphyomyrtus,Dumaria,Incrassatae,,WA; NSW; SA; Vic,0,4160,1193994.01,331257.9,M,28.57,,28.57,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus indurata,Symphyomyrtus,Bisectae,Balladonienses,,WA,0,316,37465.08,13481.5,P,37.74,37.74,,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus infera,Symphyomyrtus,Exsertaria,Exsertae,,Qld,0,24,34.49,34.5,N,,,,,,VU,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",VU,VU (Qld),,Active mining,1,raw,,,,,Active mining,
Eucalyptus insularis,Eucalyptus,Longistylus,Subereae,,WA,0,44,1988.45,276.5,U,,,,,,NT,D1,EN,,,0,,,,1500.00,raw,,,"Restricted range, too-frequent fire,"
Eucalyptus interstans,Symphyomyrtus,Liberivalvae,,,NSW; Qld,0,260,87938.42,9144.5,M,16,,16,,,LC,,,,,0,,,,,,,,
Eucalyptus intertexta,Symphyomyrtus,Adnataria,Buxeales,,WA; NSW; NT; Qld; SA; Vic,0,3016,2244893.92,674221.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus jacksonii,Eucalyptus,Longistylus,Jacksoniae,,WA,0,112,445.14,407.7,P,23.69,23.69,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus jensenii,Symphyomyrtus,Adnataria,Siderophloiae,,WA; NT,0,728,697859.6,240067.9,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus jimberlanica,Symphyomyrtus,Bisectae,Contortae,,WA,1,48,319.69,319.7,U,,,,,,NT,D2,,,,Future mining,7,raw,,,,,,
Eucalyptus johnsoniana,Eucalyptus,Longistylus,Diversiformae,,WA,0,112,469.84,440.8,M,31.43,,31.43,,,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C2a(i)",VU,VU (WA),,Active mining,5,raw,,647.00,raw,5,Active mining,
Eucalyptus johnstonii,Symphyomyrtus,Maidenaria,Semiunicolores,,Tas,0,248,13308.26,6258.9,P,21.84,21.84,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus jucunda,Eudesmia,Limbatae,Edentatae,,WA,0,408,36969.75,21139.4,M,22.96,,22.96,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus jutsonii,Symphyomyrtus,Bisectae,Micrantherae,,WA,0,44,181.44,158.9,,,,,,,VU,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C2a(i); D1",,,,Active mining,7,raw,,250--999,range,100,Active mining,
Eucalyptus kabiana,Symphyomyrtus,Exsertaria,Exsertae,,Qld,0,8,3.78,0.5,U,,,,,,EN,"B1ab(i,ii,iv)+2ab(i,ii,iv)",VU,VU (Qld),,Lack of recruitment,2,raw,,,,,Lack of recruitment,
Eucalyptus kartzoffiana,Symphyomyrtus,Maidenaria,Confines,,NSW,0,76,177.25,90.9,P,38.62,38.62,,,,VU,A2b,VU,VU (NSW),,0,,,,,,,,
Eucalyptus kenneallyi,Symphyomyrtus,Platysperma,,,WA,0,,,,,,,,,,DD,,,,,NA,NA,NA,,,,,,
Eucalyptus kessellii,Symphyomyrtus,Bisectae,Falcatae,,WA,0,448,18903.92,14228.6,M,34.03,,34.03,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus kingsmillii,Symphyomyrtus,Bisectae,Curviptera,,WA; NT; Qld; SA,0,944,588831.48,410111.2,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus kitsoniana,Symphyomyrtus,Maidenaria,Kitsonianae,,Vic,0,324,26401.95,3542.5,P,56.18,56.18,,,,EN,A2b,,,,0,,,,,,,,
Eucalyptus kochii,Symphyomyrtus,Bisectae,Subulatae,,WA,0,1104,108383.67,70683.1,M,39.45,,39.45,,,VU,A2b,,,10,0,,,10,,,,,
Eucalyptus kondininensis,Symphyomyrtus,Dumaria,Rufispermae,,WA,1,340,26667.28,23808.1,P,71.96,71.96,,,,EN,A2b,,,10,0,,,10,,,,,
Eucalyptus koolpinensis,Symphyomyrtus,Maidenaria,Aquilonares,,NT,0,24,359.19,358.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus kruseana,Symphyomyrtus,Bisectae,Kruseanae,,WA,0,20,2627.15,2527.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus kumarlensis,Symphyomyrtus,Bisectae,Porantherae,,WA,unknown,136,6848.21,4412,P,25.03,25.03,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus kybeanensis,Eucalyptus,Eucalyptus,Contiguae,,NSW; Tas; Vic,0,272,21445.5,2901.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus lacrimans,Eucalyptus,Cineraceae,Pauciflorae,,ACT; NSW,0,116,2435.74,1977.8,P,27.93,27.93,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus laeliae,Symphyomyrtus,Bisectae,Accedentes,,WA,0,176,5323,3842,M,10.27,,10.27,,,LC,,,,,0,,,,,,,,
Eucalyptus laevis,Symphyomyrtus,Dumaria,Tetrapterae,,Tas,0,164,69881.91,17033.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus laevopinea,Eucalyptus,Capillulus,Pachyphloius,,NSW; Qld,0,1068,255012.06,98401,M,20.17,,20.17,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus lane-poolei,Symphyomyrtus,Bisectae,Curviptera,,WA,0,184,11320.48,2798.2,M,35.45,,,35.45,,VU,A2b,,,,Urbanisation,100--200,range,,,,,,
Eucalyptus langleyi,Eucalyptus,Eucalyptus,Strictae,,NSW,0,60,535.45,192.2,U,,,,,,LC,,VU,VU (NSW),,0,,,,10000.00,minimum,,,"Roads/utilities, weeds, too-frequent fire"
Eucalyptus lansdowneana,Symphyomyrtus,Adnataria,Buxeales,,SA,0,144,1095.7,1091.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus largeana,Symphyomyrtus,Adnataria,Buxeales,,NSW,0,124,3616.91,3616.9,M,17.64,,17.64,,,LC,,EN,EN (NSW),,0,,,,2000.00,minimum,,,"Weeds, agriculture, grazing"
Eucalyptus largiflorens,Symphyomyrtus,Adnataria,Buxeales,,NSW; Qld; SA; Vic,0,2368,734048.86,517812,P,43.2,43.2,,,,VU,A2b,,,7; 21; 23; 29,0,,,7; 21; 23; 29,,,,,
Eucalyptus latens,Symphyomyrtus,Bisectae,Porantherae,,WA,0,324,41586.02,38627.9,M,47.36,,47.36,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus lateritica,Eucalyptus,Longistylus,Diversiformae,DD,WA,0,,,,,,,,,,DD,taxonomy,VU,EN (WA),,NA,NA,NA,,,,,,
Eucalyptus latisinensis,Eucalyptus,Amentum,,,Qld,0,400,166709.19,10568.2,U,,,,,,LC,,,,,0,,,,,,,,
