Species,Subgenus,Section,Series,Taxonomy,State(s),Obligate seeder,AOO (km2),EOO (km2),Geographic Range (km2),Habitat,EPD %,EPD (%) P,EPD (%) M,EPD (%) Urban,EPD (%) A,Category,Criteria,EPBC,State listing,EEC,Threats,Locations,Locations_value_type,TEC,Mature individuals,Mature_individuals_value_type,Largest sub-population,Accepted threats,Putative threats
Eucalyptus brassiana,Symphyomyrtus,Exsertaria,Phaeoxylon,,Qld,0,608,363081.62,93956.7,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus brevifolia,Symphyomyrtus,Platysperma,,,WA; NT; Qld,0,1144,447505.88,390118.8,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus brevipes,Symphyomyrtus,Bisectae,Heterostemones,,WA,0,44,2950.63,2767.8,M,40.73,,40.73,,,EN,D,EN,EN (WA),,0,,,,239.00,raw,,,
Eucalyptus brevistylis,Eucalyptus,Pedaria,,,WA,0,28,350.06,344.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus bridgesiana,Symphyomyrtus,Maidenaria,Bridgesianae,,ACT; NSW; Qld; Vic,0,2040,285004.99,149927.1,P,40.05,40.05,,,,VU,A2b,,,31,0,,,31,,,,,
Eucalyptus brockwayi,Symphyomyrtus,Bisectae,Brockwayanae,,Tas,1,32,914.52,793.2,P,1.13,1.13,,,,NT,D1,,,,0,,,,,,,,
Eucalyptus brookeriana,Symphyomyrtus,Maidenaria,Foveolatae,,Tas; Vic,0,384,125539.36,13423.5,P,28.62,28.62,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus broviniensis,Symphyomyrtus,Exsertaria,Connexentes,,Qld,0,16,36.58,36.1,U,,,,,,NT,D1,,EN (Qld),,0,,,,1020.00,raw,,,No documentation available
Eucalyptus brownii,Symphyomyrtus,Adnataria,Buxeales,,Qld,0,636,183446.64,146731.6,P,10.48,10.48,,,,LC,,,,,0,,,,,,,,
Eucalyptus bunyip,Symphyomyrtus,Maidenaria,Foveolatae,,Vic,0,16,14.49,14.5,U,,,,,,LC,,,,,0,,,,,,,,
