taxon_name,habitat,source_id
Cycnogeton procerum,alpine aquatic heath woodland,ABRS_2022; Kubiak_2009; Morgan_2011_1; NHNSW_2022; RBGV_2022; SAH_2022; Williams_2011
Isoetes drummondii,alpine aquatic woodland,ABRS_2022; Morgan_2011_1
Myriophyllum pedunculatum subsp. pedunculatum,alpine aquatic,ABRS_2022; NHNSW_2022; Pickering_2014; RBGV_2022
Ranunculus niphophilus,alpine aquatic bogs,ABRS_2022; Morgan_2014; Pickering_2014; Venn_2011
Triglochin nana,alpine aquatic shrubland woodland,ABRS_2022; Morgan_2011_1; Tsakalos_2020
Triglochin striata,alpine aquatic woodland,ABRS_2022; Morgan_2011_1; NHNSW_2014_2
Poranthera microphylla,alpine bogs dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,ATRP_2020; Dwyer_2017; Kubiak_2009; Leishman_1993; Leishman_1995; Lord_1997; Lunt_2012; Morgan_2011_1; Tsakalos_2020
Veronica plebeia,alpine bogs dry_sclerophyll rainforest shrubland woodland,ATRP_2020; Fonseca_2000; Kubiak_2009; Lunt_2012
Acacia melanoxylon,alpine closed_forest eucalypt_forest grassland heath open_forest rainforest wet_forest wet_sclerophyll woodland,ATRP_2020; Bloomfield_2018; Campbell_2006; Clarke_2009; Clarke_2015; Cooper_2013; Edwards_2000; Fonseca_2000; Jordan_2007; Morgan_2011_1; Prior_2022; Rumman_2018; Sams_2017; Stewart_1995; Tng_2013; Williams_2012; Wright_2006
Gahnia sieberiana,alpine heath open_forest rainforest woodland,ATRP_2020; Auld_2000; Morgan_2011_1
Hydrocotyle sibthorpioides,alpine dry_sclerophyll rainforest shrubland woodland,ATRP_2020; Kubiak_2009; Morgan_2011_1
Oxalis corniculata,alpine dry_sclerophyll rainforest shrubland wet_sclerophyll woodland,ATRP_2020; Cross_2009; Fonseca_2000; Kubiak_2009; Morgan_2011_1
Atherosperma moschatum,alpine closed_forest eucalypt_forest grassland rainforest wet_forest wet_sclerophyll,Blackman_2010; Bloomfield_2018; Brodribb_2000; Clarke_2015; Cooper_2013; Prior_2022; Richards_2008; Rumman_2018; Tng_2013; Wright_2006
Eucalyptus coccifera,alpine heath rainforest,Blackman_2010; Brodribb_2000; Westoby_2004
Nothofagus cunninghamii,alpine closed_forest eucalypt_forest grassland rainforest wet_forest wet_sclerophyll,Blackman_2010; Bloomfield_2018; Brodribb_2000; Clarke_2015; Cooper_2013; Jordan_2007; Prior_2022; Richards_2008; Rumman_2018; Tng_2013; Wright_2006
Richea scoparia,alpine heath rainforest,Blackman_2010; Brodribb_2000; Westoby_2004
Tasmannia lanceolata,alpine eucalypt_forest grassland heath rainforest wet_forest,Blackman_2010; Bloomfield_2018; Brodribb_2000; Clarke_2015; Cooper_2013; Jordan_2007; Rumman_2018; Tng_2013; Westoby_2004
Hakea microcarpa,alpine bogs dry_sclerophyll heath rainforest wet_sclerophyll woodland,Blackman_2010; Clarke_2009; Clarke_2015; Jordan_2020
Telopea truncata,alpine eucalypt_forest grassland heath rainforest,Blackman_2010; Jordan_2007; Jordan_2020; Tng_2013; Westoby_2004
Phyllocladus aspleniifolius,alpine rainforest wet_forest wet_sclerophyll,Bloomfield_2018; Brodribb_2000; Clarke_2015; Prior_2022; Rumman_2018
Acacia dealbata,alpine closed_forest dry_sclerophyll eucalypt_forest grassland open_forest rainforest wet_forest wet_sclerophyll woodland,Bloomfield_2018; Clarke_2009; Clarke_2015; Morgan_2011_1; Prior_2016; Prior_2022; Richards_2008; Rosell_2014; Tng_2013; Wright_2006
Eucalyptus camaldulensis,alpine dry_forest grassland heath woodland,Bloomfield_2018; Clarke_2015; Jurado_1991; Morgan_2011_1; Rumman_2018; Santini_2016; Schmidt_2003; Schulze_2014; Yunusa_2010
