dispersal_syndrome,dispersal_codes
anemochory,1
anthrochory,2
atelochory,4
autochory,4
ballistic,4
barochory,4
chamaechory,1
endozoochory,2
epizoochory,2
hydrochory,1
myrmecochory,3
undefined,NA
zoochory,2
