trait_name,value,dispersers_score
dispersers,abiotic,1
dispersers,animals,2
dispersers,ants,3
dispersers,bats,2
dispersers,birds,2
dispersers,cassowaries,2
dispersers,fish,2
dispersers,floods,1
dispersers,flying_foxes,2
dispersers,flying_vertebrates,2
dispersers,garden_refuse,1
dispersers,indigenous_people,2
dispersers,insects,3
dispersers,invertebrates,3
dispersers,mammals,2
dispersers,mammals_domestic,2
dispersers,non-flying_vertebrates,2
dispersers,passive,4
dispersers,rain,1
dispersers,rodents,2
dispersers,vehicles,1
dispersers,vertebrates,2
dispersers,water,1
dispersers,water_currents,1
dispersers,wind,1
dispersal_syndrome,anemochory,1
dispersal_syndrome,anthrochory,2
dispersal_syndrome,atelochory,4
dispersal_syndrome,autochory,4
dispersal_syndrome,ballistic,4
dispersal_syndrome,barochory,4
dispersal_syndrome,chamaechory,1
dispersal_syndrome,endozoochory,2
dispersal_syndrome,epizoochory,2
dispersal_syndrome,hydrochory,1
dispersal_syndrome,myrmecochory,3
dispersal_syndrome,undefined,NA
dispersal_syndrome,zoochory,2
