trait_name,trait_value,geologic_substrate_score
geologic_substrate,acidic,1
geologic_substrate,alkaline,0
geologic_substrate,alluvial,1
geologic_substrate,banded_ironstone_formations,1
geologic_substrate,basaltic,1
geologic_substrate,basic,0
geologic_substrate,brackish,0
geologic_substrate,calcareous,0
geologic_substrate,calcrete,0
geologic_substrate,conglomerate,1
geologic_substrate,dolerite,1
geologic_substrate,granitic,1
geologic_substrate,greenstone,1
geologic_substrate,gypseous,1
geologic_substrate,igneous,1
geologic_substrate,iron,1
geologic_substrate,jasperlite,1
geologic_substrate,lateritic,2
geologic_substrate,limestone,0
geologic_substrate,metamorphic,1
geologic_substrate,mudstone,1
geologic_substrate,pavement,1
geologic_substrate,porphyry,1
geologic_substrate,quartzite,1
geologic_substrate,rhyolite,1
geologic_substrate,saline,0
geologic_substrate,sandstone,1
geologic_substrate,semisaline,0
geologic_substrate,shale,1
geologic_substrate,siliceous,1
geologic_substrate,subsaline,1
geologic_substrate,trachyte,1
geologic_substrate,ultrabasic,0
geologic_substrate,volcanic,0.5
geologic_substrate,volcanic_acidic,0.5
