flora_term,match_term,austraits_trait_value,trait_name,sort
shallow soil,shallowsoil,soil_shallow,08_soil,10
variety of soil,varietyofsoil,various,08_soil,10
coarse alluvial gravel,coarsealluvialgravel,gravel_alluvial gravel_coarse,08_soil,15
cracking clay soils,crackingclaysoils,clay_cracking,08_soil,20
variety of soil type,varietyofsoiltype,various,08_soil,20
little accumulated soil,littleaccumulatedsoil,soil_little,08_soil,30
alkaline soils,alkalinesoils,alkaline,08_soil,50
black clay,blackclay,clay_black,08_soil,50
cracking clay,crackingclay,clay_cracking,08_soil,50
clay pans,claypans,claypan,08_soil,50
red earth,redearth,earths_red,08_soil,50
coarse gravel,coarsegravel,gravel_coarse,08_soil,50
clay loam,clayloam,loam_clayey,08_soil,50
clayey loam,clayeyloam,loam_clayey,08_soil,50
gravelly loam,gravellyloam,loam_gravelly,08_soil,50
rocky loam,rockyloam,loam_rocky,08_soil,50
sandy loam,sandyloam,loam_sandy,08_soil,50
sandy podzol,sandypodzol,podzol_sandy,08_soil,50
red earths ,redearths ,red_earths,08_soil,50
unconsolidated sand,unconsolidatedsand,sand,08_soil,50
clayey sand,clayeysand,sand_clayey,08_soil,50
coarse sand,coarsesand,sand_coarse,08_soil,50
loamy sand,loamysand,sand_loamy,08_soil,50
grey silt,greysilt,silt_grey,08_soil,50
heavy soil,heavysoil,soil_heavy,08_soil,50
litte soil,littesoil,soil_little,08_soil,50
stony soil,stonysoil,soil_rocky,08_soil,50
various soil,varioussoil,various,08_soil,50
clay,clay,clay,08_soil,100
clayey,clayey,clay,08_soil,100
sandy clay,sandyclay,clay_sandy,08_soil,100
sandyclay,sandyclay,clay_sandy,08_soil,100
claypan,claypan,claypan,08_soil,100
duplex,duplex,duplex,08_soil,100
earth,earths,earths,08_soil,100
fertile,fertile,fertile,08_soil,100
gravel,gravel,gravel,08_soil,100
gravelly,gravelly,gravel,08_soil,100
hardpan,hardpan,hardpan,08_soil,100
humus,humus,humus,08_soil,100
loam,loam,loam,08_soil,100
loamy,loamy,loam,08_soil,100
pavement,pavement,pavement,08_soil,100
peat,peat,peat,08_soil,100
peaty,peaty,peat,08_soil,100
podzol,podzol,podzol,08_soil,100
insandy,insandy,sand,08_soil,100
sand,sand,sand,08_soil,100
sandy,sandy,sand,08_soil,100
shaley,shaley,shaley,08_soil,100
silt,silt,silt,08_soil,100
silty,silty,silt,08_soil,100
skeletal,skeletal,skeletal,08_soil,100
rocky,rocky,soil_rocky,08_soil,100
stony,stony,stony,08_soil,100
volcanic,volcanic,volcanic,08_soil,100
impeded drainage,impededdrainage,drainage_impeded,09_soil_moisture,50
freely draining,freelydraining,draining,09_soil_moisture,50
well-drained,welldrained,draining,09_soil_moisture,50
well drained,welldrained,draining,09_soil_moisture,50
well- drained,welldrained,draining,09_soil_moisture,50
moisture retentive,moistureretentive,wet,09_soil_moisture,50
seasonally saturated,seasonallysaturated,wet_seasonal,09_soil_moisture,50
freelydraining,freelydraining,draining,09_soil_moisture,100
welldrained,welldrained,draining,09_soil_moisture,100
moistureretentive,moistureretentive,wet,09_soil_moisture,100
