taxon_name,genus,family,taxon_distribution,taxon_rank,name_type,plant_growth_form,woodiness,life_history,plant_height,resprouting_capacity,bud_bank_location,storage_organ,leaf_length,leaf_width,fruit_length,fruit_fleshiness,habitat,life_history_score,habitat_value,flowering_time,pollination_syndrome,vegetative_reproduction,substrate,reference,soils,EOO,population_count,reproductive maturity,seed_viability,seed_germination_time,fire_cued_germination,seedland_location,,,description,,
Grevillea sp. Gillingarra (R.J.Cranfield 4087),Grevillea,Proteaceae,WA,species,phrase name,shrub,,,.5 -- 2 m,fire_killed,none,no_storage_organ,1.5 -- 2 cm,,XXX,XXX,kwongan ephemeral_creekbank,4,,winter spring,birds,no,,SPRAT,,,,,,,,,,,,,
Melaleuca sp. Wanneroo (G.J.Keighery 16705),Melaleuca,Myrtaceae,WA,species,phrase name,shrub,,,2.5 m,fire_killed,none,no_storage_organ,15 -- 20 mm,,XXX,XXX,shrubland low_heath open_heath sedgeland herbland closed_tall_shrubland,4,,late Nov to late Dec,honeyeaters moths,,limestone,SPRAT, shallow grey to mossy black sands,,,,,,,,,,,,
Prostanthera sp. Dunmore (D.M.Gordon 8A),Prostanthera,Lamiaceae,Qld,species,phrase name,shrub,,,1 m,[not mentioned],XXX,XXX,0.8 -- 1.2 cm,1 -- 2 mm,XXX,,ridgetops woodland Eucalyptus_woodland,4,,Jun Aug Oct,,,sandstone,SPRAT,shallow sandy soil,100 km2,4,,,,,,,,"Prostanthera sp. Dunmore (D.M.Gordon 84), Family Lamiaceae, is a low, upright, shrub to 1 m tall. Leaves are whorled on the stem, linear, 0.8–1.2 cm long, 1–2 mm wide and have no stalks. The leaf margins curve downwards and inwards to the stem. Flower stems are at the ends of branches. The flowers are on stalks to 2 mm long, are mauve to purple-blue and about 8 mm long (Stanley & Ross, 1986; Queensland Herbarium, 2008). ",,
Eucalyptus dalveenica,Eucalyptus,Myrtaceae,Qld,species,scientific,tree,woody,perennial,15 m,,,,10 -- 15 cm,2.6 -- 4.1 cm, 7 -- 9.8 mm,not_fleshy,woodland,,,spring summer,,,,SPRAT, clay soils with impeded drainage,0.6 km2,1,4 -- 5 a,90 -- 94 %,21 d,,,,,"Tree, occasionally multi-trunked, up to 15 m tall. Bark light grey, flaky, box-type, persistent on trunk and branches >50 mm in diameter, smooth above, shedding in short ribbons. Seedling leaves disjunct, ovate, dull green, moderately discolorous, margins entire, apex acute. Juvenile leaves disjunct, ovate to broad-ovate, dull green, concolorous, apex acute to acuminate. Adult leaves disjunct, broad lanceolate, 10–15 cm long, 2.6– 4.1 cm wide, green, semiglossy, concolorous, apex acuminate; intramarginal veins moderately distant from margin, secondary venation acutely angled; tertiary venation visible; oil glands scattered, intersectional. Conflorescence compound, terminal, sometimes axillary unbranched; umbellasters 7-flowered, up to 6 per conflorescence; peduncle angular to terete, 6–8.5 mm long; pedicels terete, 0.5–1 mm long. Floral buds clavate to shortly fusiform, 9–12 mm long, 4–4.5 mm in diameter, non-glaucous, green; scar present; calyptra hemispherical to conical, 1.3–1.8 mm long, 2.8–3.2 mm wide, shorter and narrower than hypanthium. Outer stamens infertile; anthers cuboid. Fruit conical, 7–9.8 mm long, 6.2–7.8 mm in diameter, nonglaucous; disc descending or level; valves 3 or 4, enclosed. Fertile seeds dark brown, ovoid to D-shaped, finely reticulate; hilum ventral. ",,
Hibbertia barrettiae,Hibbertia,Dilleniaceae,WA,species,scientific,shrub,woody,perennial,,,none,no_storage_organ,,,XXX,XXX,,,rocky,Oct -- Dec,,,,https://doi.org/10.1071/SB18007,,,,,,,,,,,"Compact, erect to spreading, rounded shrubs to 1.2 m high; branchlets densely silvery-sericeous with appressed hairs, eventually becoming glabrous with the development of reddish-brown, smooth bark decorticating in strips and flakes. Leaves erect to spreading, alternate, elliptic to slightly obovate, 12–25 mm long, 4–7 mm wide, flat, both surfaces densely and closely silvery appressed-sericeous with hairs ~1.5 mm long; apex acute. Flowers sessile, terminal and axillary on short shoots in the upper leaf axils, closely subtended by floral leaves; bracts 3 or 4, brown, scarious, broadly ovate, acute, 3–4 mm long, shortly sericeous. Sepals narrowly triangular, 6–9 mm long, densely appressed silvery silky-sericeous with hairs ~1.5 mm long; midribs not prominent; outer sepals acute; inner sepals in size, apex shape and indumentum similar to the outer sepals, but broader and with broad, scarious margins. Petals yellow, obovate, 6–9 mm long, emarginate. Stamens 21–27, more or less evenly distributed around the carpels, spreading-erect, free; filaments 1.5–2.5 mm long; anthers rectangular, 1.0–1.4 mm long, dehiscing by short, terminal slits. Staminodes absent or few. Carpels 2; ovaries ±globular, glabrous; styles ±erect to spreading, excentrically placed on the carpel apex, 2–4 mm long. Ovules 2 per carpel. Seeds not seen.",,
Hibbertia wheelerae,Hibbertia,Dilleniaceae,WA,species,scientific,shrub,woody,perennial,,fire_killed,none,no_storage_organ,,,XXX,XXX,,,mallee,,,,,https://doi.org/10.1071/SB18007 (growth form); SPRAT,,,9 sub,,,,fire_cued_germination,soil_seedbank_present,,,,,
Persicaria elatior,Persicaria,Polygonaceae,"Qld, NSW",species,scientific,,,XXX,,[not mentioned],XXX,XXX,,,,,swampy areas and riparian herblands along watercourses and lake edges,,,,,,,SPRAT (habitat),"sandy, alluvial soil ",,,,,,,,,,,,
Trianthema cypseleoides,Trianthema,Aizoaceae,NSW,species,scientific,,,perennial,XXX,XXX,XXX,XXX,,,XXX,,XXX,,,,,,,,,,,,,,,,,,,,
Isoglossa eranthemoides,Isoglossa,Acanthaceae,NSW,species,scientific,,,XXX,,XXX,XXX,XXX,,,,,"lowland subtropical rainforest, in moist situations on floodplains and slopes. ; moist rainforest",,,,,,"basalt, metasediments or gabbro",SPRAT,,,,,,,,,,,"Isoglossa is a herb that grows to 50 cm tall. Its paired leaves are oval or more elongated and 2 – 16 cm long. The white-petalled flowers are about 12 mm across, and are borne in clusters towards the tops of the stems. The five petals are of three kinds: two are erect, two droop to the sides and a central tube-like structure has three lobes. The capsules are up to 12 mm long, and tapered at each end to form an elongated diamond shape. They spring open, expelling seeds explosively.",,
Burmannia sp. Bathurst Island (R.Fensham 1021),Burmannia,Burmanniaceae,"NT, Qld",species,phrase name,,,perennial,,[not mentioned],tuber,,leafless,leafless,XXX,,spring-fed rainforest ,,,Dec,,,,SPRAT,,,,,,,,,saprophyte,,,"""individual plants were recorded in areas of pig rooting only where the plants were protected within a network of sizeable tree roots3. The saprophytic habit requires soil organic material and this species may be unable to establish on mineral soil3.""",high pig risk
Eriocaulon australasicum,Eriocaulon,Eriocaulaceae,"SA, NSW, Vic",species,scientific,,,annual,,,N/A_annual,N/A_annual,,,XXX,,,,aquatic plains swamp_margin aquatic streams water_shallow,,,,,SPRAT,,,,,,,,,,,"The austral pipewort is a small, semi-aquatic, annual herb with a basal tuft of linear leaves 2050 mm long and 1–1.5 mm wide. Flowers are egg-shaped to almost globular with heads 3–4 mm wide. These flower heads are enclosed by lance-shaped outer bracts and linear inner bracts. The fruits are smooth, with 3 celled capsules, each containing a single seed (description from Cunningham et al. 1992). ",,
Tephrosia flagellaris,Tephrosia,Fabaceae,Qld,species,scientific,,,perennial,30 cm,XXX,XXX,XXX,1.5 -- 2.5,,3 -- 3.5 cm x 5 mm wide,,alluvial plains,,,,,,,SPRAT (synonym),,,,,,,,,,,"Tephrosia leveillei, Family Fabaceae, is a low growing perennial herb to 30 cm tall. The leaves are without stalks, and have 5–9 leaflets (the lower leaves often with three leaflets) and are 1.5–2.5 cm long. The leaflets are opposite, narrowly oblong-elliptic, 1.75–3 cm long and 4–7 mm wide, the terminal leaflets are larger than the others. Flowers are solitary or paired on leaf axils. The calyx is nearly 5 mm long and densely hairy; the three lower calyx lobes are longer than the upper ones. The corolla is present only on juveniles and shorter than the calyx when seen. The pod is linear, hairy, 3–3.5 cm long and 5 mm wide. There are usually 6 seeds approximately 3.5 mm long (Domin, 1926).  Tephrosia leveillei is very closely allied to T. flagellaris, and taxonomic work is required to determine the relationship between these species (L. Pedley, 2008, pers. comm.) ",,
Euphrasia sp. Bivouac Bay (W.R.Barker 7626 et al.),Euphrasia,Scrophulariaceae,Tas,species,phrase name,,,perennial_short-lived,30 cm,XXX,XXX,XXX,XXX,,XXX,,"cliff faces, tending to be found on ledges, rock crevices and patches of bare ground, extending from the base to the tops of coastal cliffs. The species has a preference for relatively moist and shady areas, where the vegetation is not too dense.",,,,,,dolerite ,SPRAT,,,,,,,fire_cued_germination,soil_seedbank_present,semi-parasite,,"The Masked Eyebright is a short-lived perennial herb, usually less than 30 cm high, with creamy white flowers that can possess deep purple striations",,
Ileostylus micranthus,Ileostylus,Loranthaceae,NI,species,scientific,,,,N/A-epiphyte,XXX,XXX,XXX,,,,fleshy,forest,4,,,,,,,,,,,,,,,,,,,
Myrmecodia beccarii,Myrmecodia,Rubiaceae,Qld,species,scientific,,,,XXX,XXX,XXX,XXX,XXX,,,,,4,rainforest,,,,,,,,,,,,,,,,,,
