trait_name,trait_value,plant_spinescence
plant_spinescence,high_density_hard_spines_to_100mm,5
plant_spinescence,high_density_hard_spines_to_20mm,4
plant_spinescence,high_density_hard_spines_to_5mm,3
plant_spinescence,high_density_soft_spines,2
plant_spinescence,low_density_soft_spines,1
plant_spinescence,no_spines,0
