Scientific Name,Common Name,Status,Date Listed,Profile Available
Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631) = Apium prostratum subsp. phillipii,"Fine-leaved Apium, Porongurup Celery",Vulnerable,16-Jul-00,No
Archidendron lovelliae,"Bacon Wood, Tulip Siris",Vulnerable,16-Jul-00,Yes
Argyrotegium nitidulum,Shining Cudweed,Vulnerable,16-Jul-00,Yes
Aristida annua,,Vulnerable,16-Jul-00,Yes
Arthraxon hispidus,Hairy-joint Grass,Vulnerable,16-Jul-00,No
Asperula asthenes,Trailing Woodruff,Vulnerable,16-Jul-00,No
Asperula tetraphylla,Kangaroo Island Woodruff,Vulnerable,6-Feb-26,Yes
Asplenium hookerianum,Maidenhair Spleenwort,Vulnerable,16-Jul-00,No
Asplenium pellucidum,,Vulnerable,16-Jul-00,No
Asplenium wildii = Hymenasplenium wildii,,Vulnerable,16-Jul-00,No
Astelia australiana,Tall Astelia,Vulnerable,16-Jul-00,No
Asterolasia nivea,Bindoon Starbush,Vulnerable,16-Jul-00,No
Asterolasia phebalioides,Downy Star-bush,Vulnerable,16-Jul-00,No
Astrotricha crassifolia,Thick-leaf Star-hair,Vulnerable,16-Jul-00,Yes
Atriplex infrequens,,Vulnerable,16-Jul-00,No
Austrostipa metatoris,,Vulnerable,16-Jul-00,No
Baloghia marmorata,"Marbled Balogia, Jointed Baloghia",Vulnerable,16-Jul-00,No
Baloskion longipes,Dense Cord-rush,Vulnerable,16-Jul-00,Yes
Banksia catoglypta,,Vulnerable,11-May-18,Yes
Banksia goodii,Good's Banksia,Vulnerable,16-Jul-00,Yes
Banksia serratuloides subsp. serratuloides,Southern Serrate Dryandra,Vulnerable,16-Jul-00,Yes
Banksia sphaerocarpa var. dolichostyla = Banksia dolichostyla,"Ironcaps Banksia, Ironcap Banksia",Vulnerable,16-Jul-00,Yes
Banksia squarrosa subsp. argillacea,Whicher Range Dryandra,Vulnerable,16-Jul-00,Yes
Banksia verticillata,"Granite Banksia, Albany Banksia, River Banksia",Vulnerable,16-Jul-00,Yes
Bertya calycina,a shrub,Vulnerable,16-Jul-00,Yes
Bertya ernestiana,Mt Ernest Bertya,Vulnerable,16-Jul-00,Yes
Bertya opponens,,Vulnerable,16-Jul-00,Yes
Bertya pinifolia,a shrub,Vulnerable,16-Jul-00,No
Beyeria subtecta,Kangaroo Island Turpentine Bush,Vulnerable,16-Jul-00,Yes
Boronia adamsiana,Barbalin Boronia,Vulnerable,16-Jul-00,Yes
Boronia galbraithiae,"Aniseed Boronia, Galbraith's Boronia",Vulnerable,16-Jul-00,Yes
Boronia gunnii,"Gunn's Boronia, Cataract Gorge Boronia",Vulnerable,13-Apr-05,Yes
Boronia hemichiton,Mt Arthur Boronia,Vulnerable,13-Apr-05,Yes
Boronia hippopala,Velvet Boronia,Vulnerable,13-Apr-05,Yes
Boronia keysii,Key's Boronia,Vulnerable,16-Jul-00,Yes
Boronia quadrilata,a shrub,Vulnerable,16-Jul-00,Yes
Boronia umbellata,Orara Boronia,Vulnerable,16-Jul-00,Yes
Boronia viridiflora,a shrub,Vulnerable,16-Jul-00,Yes
Bosistoa transversa,"Three-leaved Bosistoa, Yellow Satinheart",Vulnerable,16-Jul-00,Yes
Bossiaea oligosperma,,Vulnerable,16-Jul-00,Yes
Bothriochloa bunyensis,Satin-top Grass,Vulnerable,16-Jul-00,No
Brachyscome muelleroides,Mueller Daisy,Vulnerable,16-Jul-00,No
Brachyscome papillosa,Mossgiel Daisy,Vulnerable,16-Jul-00,No
Breynia macrantha,,Vulnerable,16-Jul-00,No
Budawangia gnidioides = Epacris gnidioides,Budawangs Cliff-heath,Vulnerable,16-Jul-00,Yes
Bulbophyllum globuliforme,"Miniature Moss-orchid, Hoop Pine Orchid",Vulnerable,16-Jul-00,Yes
Bulbophyllum gracillimum,Wispy Umbrella Orchid,Vulnerable,16-Jul-00,No
Bulbophyllum longiflorum,Pale Umbrella Orchid,Vulnerable,16-Jul-00,No
Cadellia pentastylis,Ooline,Vulnerable,16-Jul-00,Yes
Caladenia brumalis,Winter Spider-orchid,Vulnerable,16-Jul-00,Yes
Caladenia bryceana subsp. cracens,Northern Dwarf Spider-orchid,Vulnerable,16-Jul-00,No
Caladenia calcicola,Limestone Spider-orchid,Vulnerable,16-Jul-00,No
Caladenia caudata,Tailed Spider-orchid,Vulnerable,16-Jul-00,Yes
Caladenia christineae,Christine's Spider Orchid,Vulnerable,16-Jul-00,No
Caladenia concolor,"Crimson Spider-orchid, Maroon Spider-orchid",Vulnerable,16-Jul-00,Yes
Caladenia formosa,"Elegant Spider-orchid, Blood-red Spider-orchid",Vulnerable,16-Jul-00,Yes
Caladenia harringtoniae,"Harrington's Spider-orchid, Pink Spider-orchid",Vulnerable,16-Jul-00,No
Caladenia insularis,French Island Spider-orchid,Vulnerable,16-Jul-00,No
Caladenia ornata,Ornate Pink Fingers,Vulnerable,16-Jul-00,No
Caladenia tessellata,"Thick-lipped Spider-orchid, Daddy Long-legs",Vulnerable,16-Jul-00,Yes
Caladenia versicolor,Candy Spider-orchid,Vulnerable,16-Jul-00,Yes
Caladenia wanosa,Kalbarri Spider-orchid,Vulnerable,16-Jul-00,No
Caladenia woolcockiorum,Woolcock's Spider-orchid,Vulnerable,16-Jul-00,No
Calectasia pignattiana,Stilted Tinsel Lily,Vulnerable,16-Jul-00,Yes
Callistemon forresterae,Forrester's Bottlebrush,Vulnerable,16-Jul-00,No
Callistemon kenmorrisonii,Betka Bottlebrush,Vulnerable,16-Jul-00,Yes
Callistemon pungens,,Vulnerable,16-Jul-00,No
Calophyllum bicolor,,Vulnerable,16-Jul-00,No
Calotis glandulosa,Mauve Burr-daisy,Vulnerable,16-Jul-00,No
Calytrix gurulmundensis,,Vulnerable,16-Jul-00,Yes
Canarium acutifolium,,Vulnerable,16-Jul-00,Yes
Capparis thozetiana,,Vulnerable,16-Jul-00,No
Cassinia rugata,"Wrinkled Cassinia, Wrinkled Dollybush",Vulnerable,16-Jul-00,Yes
Cepobaculum carronii = Dendrobium carronii,an orchid,Vulnerable,16-Jul-00,Yes
Chamelaucium sp. Cataby (G.J.Keighery 11009),Griffin's Waxflower,Vulnerable,16-Jul-00,Yes
Chamelaucium sp. S coastal plain (R.D.Royce 4872) = Chamelaucium roycei,Royce's Waxflower,Vulnerable,16-Jul-00,Yes
Cheiranthera volubilis,Twining Finger-flower,Vulnerable,16-Jul-00,No
Clematis fawcettii,Stream Clematis,Vulnerable,16-Jul-00,Yes
Codonocarpus pyramidalis,"Slender Bell-fruit, Camel Poison",Vulnerable,16-Jul-00,Yes
Colobanthus curtisiae,Curtis' Colobanth,Vulnerable,16-Jul-00,Yes
Comesperma oblongatum,Byfield Matchstick,Vulnerable,16-Jul-00,No
Conospermum hookeri,Variable Smoke-bush,Vulnerable,18-Dec-07,Yes
Conospermum undulatum,Wavy-leaved Smokebush,Vulnerable,16-Jul-00,Yes
Conostylis rogeri,"Kulin Conostylis, Single-flowered Conostylis",Vulnerable,16-Jul-00,Yes
Coopernookia scabridiuscula,,Vulnerable,16-Jul-00,No
Cordyline obtecta,Ti,Vulnerable,25-Nov-03,No
Correa baeuerlenii,Chef's Cap,Vulnerable,16-Jul-00,No
Correa calycina,Hindmarsh Correa,Vulnerable,16-Jul-00,Yes
Corybas dentatus,"Toothed Helmet-orchid, Finniss Helmet-orchid",Vulnerable,16-Jul-00,Yes
Corybas montanus,Small Helmet-orchid,Vulnerable,16-Jul-00,No
Corymbia clandestina,,Vulnerable,16-Jul-00,No
Corymbia leptoloma,Yellowjacket,Vulnerable,16-Jul-00,No
Corymbia rhodops,,Vulnerable,16-Jul-00,No
Corymbia xanthope,Glen Geddes Bloodwood,Vulnerable,16-Jul-00,No
Corynocarpus rupestris subsp. rupestris,Glenugie Karaka,Vulnerable,16-Jul-00,No
Cryptocarya foetida,"Stinking Cryptocarya, Stinking Laurel",Vulnerable,16-Jul-00,Yes
Cryptostylis hunteriana,Leafless Tongue-orchid,Vulnerable,16-Jul-00,Yes
Ctenopterella blechnoides,,Vulnerable,16-Jul-00,No
Cupaniopsis shirleyana,Wedge-leaf Tuckeroo,Vulnerable,16-Jul-00,Yes
Cupaniopsis tomentella,Boonah Tuckeroo,Vulnerable,16-Jul-00,No
Cycas cairnsiana,a cycad,Vulnerable,16-Jul-00,No
Cycas platyphylla,a cycad,Vulnerable,16-Jul-00,No
Cycas silvestris,,Vulnerable,16-Jul-00,No
Cyclophyllum costatum,a shrub,Vulnerable,16-Jul-00,No
Cyperus semifertilis,,Vulnerable,16-Jul-00,No
Darwinia biflora,,Vulnerable,16-Jul-00,Yes
Darwinia masonii,Mason's Darwinia,Vulnerable,16-Jul-00,Yes
Darwinia meeboldii,Cranbrook Bell,Vulnerable,16-Jul-00,No
Darwinia nubigena,"Success Bell, Red Mountain Bell",Vulnerable,16-Jul-00,No
Darwinia squarrosa,"Fringed Mountain Bell, Pink Mountain Bell",Vulnerable,16-Jul-00,No
Daviesia discolor,,Vulnerable,16-Jul-00,No
Daviesia elongata subsp. elongata,Long-leaved Daviesia,Vulnerable,16-Jul-00,Yes
Daviesia laevis,Grampians Bitter-pea,Vulnerable,16-Jul-00,No
Dendrobium bigibbum,Cooktown Orchid,Vulnerable,16-Jul-00,Yes
Dendrobium johannis,Chocolate Tea Tree Orchid,Vulnerable,16-Jul-00,No
Denhamia parvifolia,Small-leaved Denhamia,Vulnerable,16-Jul-00,Yes
Desmodium acanthocladum = Pedleya acanthoclada,Thorny Pea,Vulnerable,16-Jul-00,No
Deyeuxia pungens,Narrow-leaf Bent-grass,Vulnerable,16-Jul-00,Yes
Dichanthium setosum,bluegrass,Vulnerable,16-Jul-00,Yes
Diplazium cordifolium,,Vulnerable,16-Jul-00,No
Dischidia litoralis,,Vulnerable,16-Jul-00,No
Diuris drummondii,Tall Donkey Orchid,Vulnerable,16-Jul-00,Yes
Diuris micrantha,Dwarf Bee-orchid,Vulnerable,16-Jul-00,No
Diuris ochroma,Pale Golden Moths,Vulnerable,16-Jul-00,Yes
Diuris praecox,Newcastle Doubletail,Vulnerable,16-Jul-00,Yes
Diuris venosa,"Veined Doubletail, Goat Orchid, Veined Donkey-orchid",Vulnerable,16-Jul-00,No
Dodonaea procumbens,Trailing Hop-bush,Vulnerable,16-Jul-00,Yes
Dodonaea rupicola,Velvet Hopbush,Vulnerable,16-Jul-00,No
Drakaea concolor,Kneeling Hammer-orchid,Vulnerable,16-Jul-00,Yes
Drakaea micrantha,Dwarf Hammer-orchid,Vulnerable,16-Jul-00,Yes
Drosera prolifera,Trailing Sundew,Vulnerable,16-Jul-00,Yes
Drosera schizandra,,Vulnerable,16-Jul-00,No
Drummondita longifolia,Peak Charles Drummondita,Vulnerable,16-Jul-00,Yes
Dysoxylum bijugum,"Sharkwood, a tree",Vulnerable,25-Nov-03,No
Eleocharis keigheryi,Keighery's Eleocharis,Vulnerable,16-Jul-00,Yes
Eleocharis obicis,a spike rush,Vulnerable,16-Jul-00,Yes
Eleocharis papillosa,Dwarf Desert Spike-rush,Vulnerable,18-Aug-06,Yes
Eleocharis retroflexa,a sedge,Vulnerable,16-Jul-00,No
Endiandra hayesii,"Rusty Rose Walnut, Velvet Laurel",Vulnerable,16-Jul-00,Yes
Epilobium brunnescens subsp. beaugleholei,Bog Willow-herb,Vulnerable,16-Jul-00,No
Eremophila denticulata subsp. denticulata,Fitzgerald Eremophila,Vulnerable,16-Jul-00,No
Eremophila prostrata,Rainbow Valley Fuchsia Bush,Vulnerable,16-Jul-00,No
Eremophila vernicosa,Resinous Poverty Bush,Vulnerable,18-Aug-06,No
Erythroxylum sp. Cholmondely Creek (J.R.Clarkson 9367) (Northern Territory Population),,Vulnerable,25-Mar-23,Yes
Eucalyptus aggregata,Black Gum,Vulnerable,17-Nov-15,Yes
Eucalyptus alligatrix subsp. miscella,a stringybark,Vulnerable,16-Jul-00,Yes
Eucalyptus argophloia,"Queensland White Gum, Queensland Western White Gum, Lapunyah, Scrub Gum, White Gum",Vulnerable,16-Jul-00,No
Eucalyptus argutifolia,"Yanchep Mallee, Wabling Hill Mallee",Vulnerable,16-Jul-00,Yes
Eucalyptus articulata,Ponton Creek Mallee,Vulnerable,16-Jul-00,No
Eucalyptus beaniana,Bean's Ironbark,Vulnerable,16-Jul-00,No
Eucalyptus beardiana,Beard's Mallee,Vulnerable,14-May-13,Yes
Eucalyptus cadens,Warby Range Swamp Gum,Vulnerable,16-Jul-00,No
Eucalyptus caleyi subsp. ovendenii,Ovenden's Ironbark,Vulnerable,16-Jul-00,No
Eucalyptus camfieldii,Camfield's Stringybark,Vulnerable,16-Jul-00,Yes
Eucalyptus ceracea,Seppelt Range Gum,Vulnerable,16-Jul-00,No
Eucalyptus coronata,Crowned Mallee,Vulnerable,16-Jul-00,No
Eucalyptus crispata,Yandanooka Mallee,Vulnerable,16-Jul-00,Yes
Eucalyptus crucis subsp. crucis,Silver Mallee,Vulnerable,16-Jul-00,No
Eucalyptus glaucina,Slaty Red Gum,Vulnerable,16-Jul-00,Yes
Eucalyptus hallii,Goodwood Gum,Vulnerable,16-Jul-00,Yes
Eucalyptus infera,Durikai Mallee,Vulnerable,16-Jul-00,No
Eucalyptus johnsoniana,Johnson's Mallee,Vulnerable,16-Jul-00,No
Eucalyptus kabiana,Mount Beerwah Mallee,Vulnerable,16-Jul-00,No
Eucalyptus kartzoffiana,Araluen Gum,Vulnerable,16-Jul-00,No
Eucalyptus langleyi,"Albatross Mallee, Green Mallee Ash",Vulnerable,16-Jul-00,Yes
Eucalyptus x lateritica,Laterite Mallee,Vulnerable,16-Jul-00,No
Eucalyptus mckieana,McKie's Stringybark,Vulnerable,16-Jul-00,No
Eucalyptus merrickiae,Goblet Mallee,Vulnerable,16-Jul-00,No
Eucalyptus mooreana,"Mountain White Gum, King Leopold Range Mallee, Moore's Gum",Vulnerable,16-Jul-00,No
Eucalyptus nicholii,"Narrow-leaved Peppermint, Narrow-leaved Black Peppermint",Vulnerable,16-Jul-00,Yes
Eucalyptus paedoglauca,Mt Stuart Ironbark,Vulnerable,16-Jul-00,No
Eucalyptus parramattensis subsp. decadens,"Earp's Gum, Earp's Dirty Gum",Vulnerable,16-Jul-00,Yes
Eucalyptus parvula,Small-leaved Gum,Vulnerable,16-Jul-00,No
Eucalyptus platydisca,Jimberlana Mallee,Vulnerable,16-Jul-00,No
Eucalyptus pulverulenta,"Silver-leaved Mountain Gum, Silver-leaved Gum",Vulnerable,16-Jul-00,Yes
Eucalyptus pumila,Pokolbin Mallee,Vulnerable,16-Jul-00,No
Eucalyptus raveretiana,Black Ironbox,Vulnerable,16-Jul-00,Yes
Eucalyptus rhodantha,Rose Mallee,Vulnerable,16-Jul-00,Yes
Eucalyptus robertsonii subsp. hemisphaerica,Robertson's Peppermint,Vulnerable,16-Jul-00,Yes
Eucalyptus rubida subsp. barbigerorum,Blackbutt Candlebark,Vulnerable,16-Jul-00,No
Eucalyptus scoparia,"Wallangarra White Gum, Willow Gum",Vulnerable,16-Jul-00,No
Eucalyptus steedmanii,Steedmans Gum,Vulnerable,16-Jul-00,Yes
Eucalyptus strzeleckii,Strzelecki Gum,Vulnerable,16-Jul-00,Yes
Eucalyptus suberea,"Cork Mallee, Mount Lesueur Mallee",Vulnerable,16-Jul-00,No
Eucalyptus synandra,Jingymia Mallee,Vulnerable,16-Jul-00,No
Eucalyptus tetrapleura,Square-fruited Ironbark,Vulnerable,16-Jul-00,No
Eucalyptus virens,,Vulnerable,16-Jul-00,No
Eucryphia wilkiei,,Vulnerable,16-Jul-00,No
Euphorbia carissoides,,Vulnerable,16-Jul-00,Yes
Euphorbia obliqua,a herb,Vulnerable,25-Nov-03,Yes
Euphrasia amphisysepala,Shiny Cliff Eyebright,Vulnerable,16-Jul-00,Yes
Euphrasia bella,"Lamington Eyebright, Mt. Merino Eyebright",Vulnerable,16-Jul-00,Yes
Euphrasia bowdeniae,,Vulnerable,16-Jul-00,Yes
Euphrasia crassiuscula subsp. glandulifera,Thick Eyebright,Vulnerable,16-Jul-00,Yes
Euphrasia eichleri,Bogong Eyebright,Vulnerable,16-Jul-00,No
Euphrasia phragmostoma,"Bufton's Eyebright, Hairy Cliff Eyebright",Vulnerable,16-Jul-00,Yes
Floydia praealta,"Ball Nut, Possum Nut, Big Nut, Beefwood",Vulnerable,16-Jul-00,Yes
Fontainea australis,Southern Fontainea,Vulnerable,16-Jul-00,Yes
Fontainea rostrata,,Vulnerable,16-Jul-00,No
Fontainea venosa,,Vulnerable,16-Jul-00,No
Gardenia psidioides,Hann Gardenia,Vulnerable,16-Jul-00,No
Gastrolobium appressum,Scale-leaf Poison,Vulnerable,16-Jul-00,No
Gastrolobium lehmannii,Cranbrook Pea,Vulnerable,18-Aug-06,Yes
Gastrolobium modestum,Broad-leaved Gastrolobium,Vulnerable,16-Jul-00,Yes
Genoplesium vernale = Corunastylis vernalis,East Lynne Midge-orchid,Vulnerable,4-Oct-01,Yes
Germainia capitata,,Vulnerable,16-Jul-00,No
Glycine latrobeana,"Clover Glycine, Purple Clover",Vulnerable,16-Jul-00,Yes
Goodenia integerrima,Gypsum Goodenia,Vulnerable,16-Jul-00,No
Goodenia quadrifida,,Vulnerable,16-Jul-00,No
Graptophyllum ilicifolium,"Holly-leaved Graptophyllum, Mt Blackwood Holly",Vulnerable,16-Jul-00,Yes
Grevillea banyabba,,Vulnerable,16-Jul-00,Yes
Grevillea bedggoodiana,Enfield Grevillea,Vulnerable,16-Jul-00,No
Grevillea brachystylis subsp. australis,,Vulnerable,16-Jul-00,No
Grevillea celata,"Colquhoun Grevillea, Nowa Nowa Grevillea",Vulnerable,16-Jul-00,Yes
Grevillea elongata,Ironstone Grevillea,Vulnerable,16-Jul-00,Yes
Grevillea evansiana,,Vulnerable,16-Jul-00,No
Grevillea flexuosa,Zig Zag Grevillea,Vulnerable,16-Jul-00,No
Grevillea floripendula,"Drooping Grevillea, Ben Major Grevillea",Vulnerable,16-Jul-00,Yes
Grevillea glossadenia,,Vulnerable,16-Jul-00,Yes
Grevillea infecunda,Anglesea Grevillea,Vulnerable,16-Jul-00,Yes
Grevillea kennedyana,Flame Spider-flower,Vulnerable,16-Jul-00,Yes
Grevillea montis-cole subsp. brevistyla,Langi Ghiran Grevillea,Vulnerable,16-Jul-00,No
Grevillea parviflora subsp. parviflora,Small-flower Grevillea,Vulnerable,16-Jul-00,Yes
Grevillea quadricauda,Four-tailed Grevillea,Vulnerable,16-Jul-00,No
Grevillea raybrownii,,Vulnerable,25-Sep-20,Yes
Grevillea shiressii,,Vulnerable,16-Jul-00,No
Grevillea treueriana,"Mt Finke Grevillea, Scarlet Grevillea",Vulnerable,16-Jul-00,No
Hakea aculeata,Column Hakea,Vulnerable,16-Jul-00,Yes
Hakea archaeoides,,Vulnerable,16-Jul-00,Yes
Hakea fraseri,"Gnarled Corkbark, Fraser's Hakea",Vulnerable,16-Jul-00,Yes
Hakea maconochieana,,Vulnerable,16-Jul-00,Yes
Hakea megalosperma,Lesueur Hakea,Vulnerable,16-Jul-00,Yes
Hakea trineura,Three-veined Hakea,Vulnerable,16-Jul-00,Yes
Haloragis exalata subsp. exalata,"Wingless Raspwort, Square Raspwort",Vulnerable,16-Jul-00,No
Haloragis exalata subsp. velutina,Tall Velvet Sea-berry,Vulnerable,16-Jul-00,No
Helichrysum calvertianum,,Vulnerable,25-Sep-20,Yes
Hensmania chapmanii,Chapman's Hensmania,Vulnerable,16-Jul-00,No
Hexaspora pubescens,,Vulnerable,16-Jul-00,No
Hibbertia crispula,Ooldea Guinea-flower,Vulnerable,16-Jul-00,No
Hibbertia humifusa subsp. debilis,Dergholm Guinea-flower,Vulnerable,16-Jul-00,No
Hibbertia humifusa subsp. erigens,Euroa Guinea-flower,Vulnerable,16-Jul-00,No
Hibbertia marginata,Bordered Guinea Flower,Vulnerable,16-Jul-00,Yes
Hibiscus brennanii,a shrub,Vulnerable,18-Aug-06,Yes
Hibiscus cravenii,,Vulnerable,18-Aug-06,No
Hicksbeachia pinnatifolia,"Monkey Nut, Bopple Nut, Red Bopple, Red Bopple Nut, Red Nut, Beef Nut, Red Apple Nut, Red Boppel Nut, Ivory Silky Oak",Vulnerable,16-Jul-00,Yes
Homopholis belsonii,Belson's Panic,Vulnerable,16-Jul-00,Yes
Homoranthus darwinioides,,Vulnerable,16-Jul-00,Yes
Homoranthus floydii,,Vulnerable,7-Sep-23,Yes
Homoranthus lunatus,,Vulnerable,16-Jul-00,Yes
Homoranthus montanus,,Vulnerable,16-Jul-00,Yes
Homoranthus porteri,,Vulnerable,16-Jul-00,Yes
Homoranthus prolixus,,Vulnerable,16-Jul-00,Yes
Hoya australis subsp. oramicola,a vine,Vulnerable,18-Aug-06,No
Hydriastele costata,a palm,Vulnerable,16-Jul-00,No
Hypocalymma longifolium,Long-leaved Myrtle,Vulnerable,26-Feb-13,Yes
Hypolepis dicksonioides,"Downy Ground-fern, Brake Fern, Ground Fern",Vulnerable,25-Nov-03,No
Ileostylus micranthus,Mistletoe,Vulnerable,25-Nov-03,No
Isopogon fletcheri,Fletcher's Drumsticks,Vulnerable,16-Jul-00,Yes
Ixodia achillaeoides subsp. arenicola,"Sand Ixodia, Ixodia",Vulnerable,16-Jul-00,No
Kardomia granitica,a shrub,Vulnerable,16-Jul-00,Yes
Kelleria bogongensis,"Snow Daphne, Kelleria",Vulnerable,16-Jul-00,Yes
Kennedia glabrata,Northcliffe Kennedia,Vulnerable,16-Jul-00,No
Kennedia retrorsa,,Vulnerable,16-Jul-00,No
Kunzea cambagei,,Vulnerable,16-Jul-00,No
Kunzea ericifolia subsp. subulata,,Vulnerable,11-May-18,Yes
Kunzea rupestris,,Vulnerable,16-Jul-00,No
Lasiopetalum joyceae,,Vulnerable,16-Jul-00,No
Lasiopetalum longistamineum,,Vulnerable,16-Jul-00,Yes
Lastreopsis walleri,a fern,Vulnerable,16-Jul-00,Yes
Lawrencia buchananensis,,Vulnerable,16-Jul-00,No
Lechenaultia chlorantha,Kalbarri Leschenaultia,Vulnerable,16-Jul-00,No
Leiocarpa gatesii,Wrinkled Buttons,Vulnerable,16-Jul-00,No
Leionema obtusifolium,,Vulnerable,16-Jul-00,No
Leionema ralstonii,,Vulnerable,16-Jul-00,No
Leionema sympetalum,Rylstone Bell,Vulnerable,16-Jul-00,No
Lepidium aschersonii,Spiny Peppercress,Vulnerable,16-Jul-00,No
Lepidium pseudopapillosum,Erect Pepper-cress,Vulnerable,16-Jul-00,Yes
Leptomeria dielsiana,Diels' Currant Bush,Vulnerable,16-Jul-00,No
Leptospermum deanei = Gaudium deanei,Deane's Tea-tree,Vulnerable,16-Jul-00,Yes
Leucopogon exolasius = Styphelia exolasia,Woronora Beard-heath,Vulnerable,16-Jul-00,Yes
Leucopogon sp. Ongerup (A.S.George 16682) = Styphelia disjuncta,,Vulnerable,15-Feb-18,Yes
Limonium australe var. baudinii,Baudin's Sea-lavender,Vulnerable,13-Apr-05,Yes
Limosella granitica,Granite Mudwort,Vulnerable,16-Jul-00,No
Lindsaea pulchella var. blanda,,Vulnerable,16-Jul-00,No
Livistona lanuginosa,Waxy Cabbage Palm,Vulnerable,16-Jul-00,Yes
Lobelia gelida,,Vulnerable,16-Jul-00,No
Logania diffusa,,Vulnerable,16-Jul-00,No
Logania insularis,Kangaroo Island Logania,Vulnerable,16-Jul-00,No
Macadamia integrifolia,"Macadamia Nut, Queensland Nut Tree, Smooth-shelled Macadamia, Bush Nut, Nut Oak",Vulnerable,16-Jul-00,Yes
Macadamia ternifolia,"Small-fruited Queensland Nut, Gympie Nut",Vulnerable,16-Jul-00,Yes
Macadamia tetraphylla,"Rough-shelled Bush Nut, Macadamia Nut, Rough-shelled Macadamia, Rough-leaved Queensland Nut",Vulnerable,16-Jul-00,Yes
Macropteranthes montana,,Vulnerable,16-Jul-00,No
Macrozamia conferta,,Vulnerable,16-Jul-00,No
Macrozamia macdonnellii,MacDonnell Ranges Cycad,Vulnerable,16-Jul-00,No
Macrozamia machinii,,Vulnerable,16-Jul-00,Yes
Macrozamia occidua,,Vulnerable,16-Jul-00,No
Macrozamia parcifolia,,Vulnerable,16-Jul-00,No
Maireana cheelii,Chariot Wheels,Vulnerable,16-Jul-00,Yes
Marsdenia brevifolia = Leichhardtia brevifolia,,Vulnerable,16-Jul-00,Yes
Marsdenia longiloba = Leichhardtia longiloba,Clear Milkvine,Vulnerable,16-Jul-00,No
Marsdenia paludicola = Leichhardtia paludicola,,Vulnerable,16-Jul-00,Yes
Medicosma elliptica,,Vulnerable,16-Jul-00,No
Medicosma obovata,,Vulnerable,16-Jul-00,Yes
Melaleuca biconvexa,Biconvex Paperbark,Vulnerable,16-Jul-00,Yes
Melaleuca deanei,Deane's Melaleuca,Vulnerable,4-Apr-01,Yes
Melaleuca kunzeoides,,Vulnerable,16-Jul-00,No
Melicope littoralis,Shade Tree,Vulnerable,25-Nov-03,No
Melicytus ramiflorus subsp. oblongifolius,"Whiteywood, a tree",Vulnerable,25-Nov-03,No
Meryta angustifolia,Narrow-leaved Meryta,Vulnerable,25-Nov-03,No
Microcorys eremophiloides,Wongan Microcorys,Vulnerable,16-Jul-00,No
Microlepidium alatum,,Vulnerable,16-Jul-00,Yes
Micromyrtus blakelyi,,Vulnerable,16-Jul-00,No
Micromyrtus minutiflora,,Vulnerable,16-Jul-00,No
Microtis globula,South-Coast Mignonette Orchid,Vulnerable,16-Jul-00,No
Minuria tridens,Minnie Daisy,Vulnerable,16-Jul-00,Yes
Mitrella tiwiensis,a vine,Vulnerable,18-Aug-06,Yes
Myoporum cordifolium,Jerramungup Myoporum,Vulnerable,16-Jul-00,Yes
Myriophyllum coronatum,,Vulnerable,16-Jul-00,Yes
Myriophyllum porcatum,Ridged Water-milfoil,Vulnerable,16-Jul-00,Yes
Myrmecodia beccarii,Ant Plant,Vulnerable,16-Jul-00,Yes
Myrsine ralstoniae,Beech,Vulnerable,25-Nov-03,Yes
Neisosperma kilneri,,Vulnerable,16-Jul-00,No
Nematolepis squamea subsp. coriacea,Harsh Nematolepis,Vulnerable,16-Jul-00,No
Nematolepis wilsonii,Shiny Nematolepis,Vulnerable,16-Jul-00,Yes
Neoastelia spectabilis,,Vulnerable,16-Jul-00,Yes
Neoroepera buxifolia,,Vulnerable,16-Jul-00,No
Newcastelia velutina,,Vulnerable,16-Jul-00,No
Notelaea lloydii,Lloyd's Olive,Vulnerable,16-Jul-00,Yes
Olax angulata,Minnie Waters Olax,Vulnerable,16-Jul-00,No
Olearia astroloba,Marble Daisy-bush,Vulnerable,16-Jul-00,No
Olearia cordata,,Vulnerable,16-Jul-00,No
Olearia macdonnellensis,,Vulnerable,16-Jul-00,No
Olearia pannosa subsp. pannosa,"Silver Daisy-bush, Silver-leaved Daisy, Velvet Daisy-bush",Vulnerable,16-Jul-00,Yes
Omphalea celata,,Vulnerable,16-Jul-00,No
Oreogrammitis reinwardtii,,Vulnerable,16-Jul-00,No
Owenia cepiodora,"Onionwood, Bog Onion, Onion Cedar",Vulnerable,16-Jul-00,No
Ozothamnus eriocephalus,,Vulnerable,16-Jul-00,Yes
Ozothamnus reflexifolius,Reflexed Everlasting,Vulnerable,6-Jul-04,Yes
Ozothamnus tesselatus,,Vulnerable,16-Jul-00,No
Ozothamnus vagans,Wollumbin Dogwood,Vulnerable,16-Jul-00,Yes
Parsonsia larcomensis,Mt Larcom Silk Pod,Vulnerable,16-Jul-00,Yes
Paspalidium grandispiculatum,a grass,Vulnerable,16-Jul-00,Yes
Persicaria elatior,"Knotweed, Tall Knotweed",Vulnerable,16-Jul-00,Yes
Persoonia glaucescens,Mittagong Geebung,Vulnerable,16-Jul-00,Yes
Persoonia marginata,Clandulla Geebung,Vulnerable,16-Jul-00,Yes
