Scientific Name,Response to P cinnamomi,BC Act listing,Current habitat score (A),Future habitat score,Records (adj.),Distance (adj.),Abundance score (B),Proximity score (C),Current priority score,Future priority score
Isopogon fletcheri,Severe,V,0.97,0.89,10,10,1.00,1.00,97,89
Hibbertia circinata,Severe,CE,0.91,0.90,10,10,1.00,1.00,91,90
Prostanthera marifolia,Severe,CE,0.89,0.86,10,10,1.00,1.00,89,86
Wollemia nobilis,Severe,CE,0.83,0.83,10,10,1.00,1.00,83,83
Dracophyllum macranthum,Severe,,0.72,0.68,10,10,1.00,1.00,72,68
Grevillea irrasa subsp. irrasa,Severe,,0.71,0.64,11,10,0.96,1.00,69,62
Prostanthera walteri,Severe,,0.66,0.71,10,10,1.00,1.00,66,71
Pultenaea baeuerlenii,Severe,V,0.70,0.80,10,12,1.00,0.93,65,74
Nematolepis rhytidophylla,Severe,V,0.74,0.69,10,19,1.00,0.79,58,54
Pultenaea praecipua subsp. praecipua,Severe,CE,0.60,0.63,10,11,1.00,0.97,58,61
Darwinia peduncularis,Severe,V,0.83,0.71,33,10,0.66,1.00,54,46
Pultenaea parrisiae,Severe,V,0.52,0.67,10,10,1.00,1.00,52,67
Pultenaea benthamii,Severe,,0.66,0.73,21,18,0.76,0.80,40,44
Persoonia mollis subsp. budawangensis,Severe,,0.65,0.75,44,12,0.61,0.91,36,41
Tasmannia purpurascens,Severe,V,0.82,0.87,113,18,0.49,0.80,32,34
Phebalium speciosum,Severe,CE,0.44,0.02,10,30,1.00,0.68,30,2
Pultenaea pycnocephala,Severe,,0.68,0.53,59,43,0.56,0.61,24,18
Tetratheca subaphylla,Severe,,0.51,0.60,18,106,0.80,0.49,20,24
Phebalium squamulosum subsp. alpinum,Severe,,0.05,0.19,17,139,0.81,0.47,2,7
Haloragodendron lucasii,Moderate,E,0.92,0.93,10,10,1.00,1.00,92,93
Boronia imlayensis,Moderate,CE,0.91,0.90,10,10,1.00,1.00,91,90
Hibbertia spanantha,Moderate,CE,0.88,0.66,10,10,1.00,1.00,88,65
Hibbertia puberula subsp. glabrescens,Moderate,CE,0.76,0.61,10,10,1.00,1.00,76,61
Correa lawrenceana var. genoensis,Moderate,E,0.65,0.66,10,12,1.00,0.94,61,62
Plinthanthesis rodwayi,Moderate,CE,0.57,0.74,11,10,0.96,1.00,55,71
Pomaderris delicata,Moderate,CE,0.45,0.47,10,10,1.00,1.00,45,47
Pultenaea aristata,Moderate,V,0.96,0.89,133,16,0.47,0.84,38,35
Epacris purpurascens var. purpurascens,Moderate,V,0.85,0.72,181,10,0.44,0.98,37,31
Correa baeuerlenii,Moderate,V,0.71,0.69,86,20,0.52,0.77,28,27
Phebalium bifidum,Moderate,E,0.37,0.08,10,23,1.00,0.73,27,6
Grevillea obtusiflora subsp. obtusiflora,Moderate,E,0.48,0.22,27,31,0.70,0.67,22,10
Dillwynia tenuifolia,Moderate,V,0.54,0.14,495,11,0.37,0.97,19,5
Nematolepis ovatifolia,Moderate,V,0.06,0.17,13,127,0.90,0.48,3,8
Callistemon purpurascens,Low,CE,0.91,0.89,10,10,1.00,1.00,91,89
Eucalyptus imlayensis,Low,CE,0.91,0.90,10,10,1.00,1.00,85,90
Acacia terminalis subsp. Eastern Sydney (G.P.Phillips 126) NSW Herbarium,Low,E,0.85,0.78,10,10,1.00,0.99,84,77
Asterolasia buxifolia,Low,E,0.76,,10,11,1.00,0.96,73,
Grevillea acanthifolia subsp. paludosa,Low,E,0.66,,10,10,1.00,1.00,66,
Grevillea shiressii,Low,V,0.86,,22,10,0.74,1.00,64,
Westringia davidii,Low,V,0.67,,14,10,0.87,1.00,58,
Prostanthera askania,Low,E,0.82,,27,10,0.70,1.00,57,
Callitris oblonga subsp. corangensis,Low,V,0.55,,10,10,1.00,1.00,55,
Persoonia hindii,Low,E,0.96,,35,15,0.65,0.85,53,
Boronia deanei,Low,V,0.93,,38,14,0.63,0.88,52,
Persoonia acerosa,Low,V,0.97,,74,10,0.53,0.99,51,
Prostanthera palustris,Low,V,0.76,,14,20,0.87,0.77,51,
Grevillea mollis,Low,E,0.71,,10,26,1.00,0.71,50,
Banksia vincentia,Low,CE,0.66,,10,21,1.00,0.75,50,
Hakea archaeoides,Low,V,0.69,,21,12,0.76,0.93,49,
Banksia conferta,Low,CE,0.55,,10,15,1.00,0.86,47,
Zieria baeuerlenii,Low,E,0.71,,15,20,0.85,0.77,47,
Zieria murphyi,Low,V,0.80,,25,19,0.72,0.79,45,
Leionema ralstonii,Low,V,0.68,,43,10,0.61,1.00,41,
Grevillea renwickiana,Low,E,0.56,,24,15,0.72,0.84,34,
Grevillea guthrieana,Low,E,0.64,,32,33,0.66,0.66,28,
Prostanthera stricta,Low,V,0.51,,25,38,0.72,0.64,23,
Prostanthera staurophylla,Low,E,0.35,,10,42,1.00,0.62,22,
Rhodomyrtus psidioides,Low,CE,0.68,,504,30,0.37,0.68,17,
Eucalyptus parvula,Low,V,0.39,,81,26,0.52,0.70,15,
Rhodamnia rubescens,Low,CE,0.71,,2769,33,0.29,0.66,14,
Epacris petrophila,Low,,0.12,,76,122,0.53,0.48,3,
Pimelea bracteata,Low,CE,0.04,,51,101,0.59,0.50,1,
Eucalyptus copulans,Unknown,E,1.00,,10,10,1.00,1.00,100,
Lepidosperma evansianum,Unknown,V,0.99,,10,10,1.00,1.00,99,
Epacris lithophila,Unknown,,0.98,,10,10,1.00,1.00,98,
Hibbertia pustulata,Unknown,,0.98,,10,10,1.00,1.00,98,
Zieria covenyi,Unknown,E,0.98,,10,10,1.00,1.00,98,
Genoplesium citriodorum  ,Unknown,,0.97,,10,10,1.00,1.00,97,
Hibbertia oxycraspedota,Unknown,,0.97,,10,10,1.00,1.00,97,
Boronia barkeriana subsp. gymnopetala,Unknown,,0.97,,10,10,1.00,1.00,97,
Euphrasia bowdeniae,Unknown,V,0.97,,10,10,1.00,1.00,97,
Epacris pinoidea,Unknown,,0.97,,10,10,1.00,1.00,97,
Hibbertia ericifolia subsp. acutifolia,Unknown,,0.96,,10,10,1.00,1.00,96,
Thelymitra kangaloonica,Unknown,CE,0.95,,10,10,1.00,1.00,95,
Pterostylis sp. Botany Bay (A.Bishop J221/1-13) NSW Herbarium,Unknown,E,0.95,,10,10,1.00,1.00,95,
Pomaderris adnata,Unknown,E,0.95,,10,10,1.00,1.00,95,
Hibbertia woronorana,Unknown,,0.94,,10,10,1.00,1.00,94,
Prostanthera junonis,Unknown,E,0.93,,10,10,1.00,1.00,93,
Wahlenbergia telfordii  ,Unknown,,0.92,,10,10,1.00,1.00,92,
Hibbertia intermedia,Unknown,,0.92,,10,10,1.00,1.00,92,
Leptospermum petraeum,Unknown,,0.91,,10,10,1.00,1.00,91,
Pittosporum kororoense,Unknown,CE,0.91,,10,10,1.00,1.00,91,
Thismia megalongensis  ,Unknown,,0.91,,10,10,1.00,1.00,91,
Leionema lachnaeoides,Unknown,E,0.90,,10,10,1.00,1.00,90,
Eucryphia jinksii  ,Unknown,,0.90,,10,10,1.00,1.00,90,
"Fontainea sp. Coffs Harbour (A.S.Benwell 341, NSW1102027) NSW Herbarium",Unknown,CE,0.91,,10,10,1.00,0.99,90,
Pomaderris walshii,Unknown,CE,0.97,,10,12,1.00,0.91,89,
Deyeuxia mesathera  ,Unknown,,0.89,,10,10,1.00,1.00,89,
Olearia rugosa subsp. distalilobata,Unknown,,0.88,,10,10,1.00,1.00,88,
Genoplesium morinum  ,Unknown,,0.88,,10,10,1.00,1.00,88,
Haloragodendron gibsonii,Unknown,,0.90,,10,11,1.00,0.97,88,
Epacris hamiltonii,Unknown,E,1.00,,14,10,0.87,1.00,87,
Philotheca papillata,Unknown,V,0.87,,10,10,1.00,1.00,87,
Epacris apiculata,Unknown,,0.99,,14,10,0.87,1.00,86,
Grevillea rivularis,Unknown,CE,0.97,,10,14,1.00,0.87,85,
Deyeuxia appressa,Unknown,E,0.85,,10,10,1.00,1.00,85,
Epacris pilosa,Unknown,,0.91,,12,10,0.93,1.00,84,
Cassinia accipitrum  ,Unknown,,0.84,,10,10,1.00,1.00,84,
Hibbertia cistiflora subsp. quadristaminea,Unknown,,0.97,,10,14,1.00,0.87,84,
Microtis angusii,Unknown,E,0.89,,10,12,1.00,0.94,84,
Callistemon megalongensis,Unknown,CE,0.83,,10,10,1.00,1.00,83,
Eucalyptus dissita,Unknown,V,0.82,,10,10,1.00,1.00,82,
Angophora exul,Unknown,E,0.81,,10,10,1.00,1.00,81,
Pterostylis hians  ,Unknown,,0.80,,10,10,1.00,1.00,80,
Hibbertia decumbens,Unknown,,0.94,,15,10,0.85,1.00,80,
Hibbertia notabilis,Unknown,,0.88,,10,13,1.00,0.91,80,
Grevillea diffusa subsp. constablei,Unknown,,0.96,,16,10,0.83,1.00,79,
Hibbertia hirta,Unknown,,0.83,,10,11,1.00,0.96,79,
Xanthosia scopulicola,Unknown,V,0.97,,17,10,0.81,1.00,79,
Brachyscome ascendens,Unknown,E,0.78,,10,10,1.00,1.00,78,
Typhonium sp. aff. brownii,Unknown,E,0.91,,10,15,1.00,0.85,78,
Grevillea caleyi,Unknown,CE,0.90,,14,10,0.87,0.98,77,
Banksia paludosa subsp. astrolux,Unknown,,0.88,,10,14,1.00,0.88,77,
Hibbertia rhynchocalyx,Unknown,,0.76,,10,10,1.00,1.00,76,
Genoplesium eriochilum  ,Unknown,,0.98,,19,10,0.78,1.00,76,
Grevillea rhizomatosa,Unknown,V,0.82,,12,10,0.93,1.00,76,
Genoplesium bishopii  ,Unknown,,0.76,,10,10,1.00,1.00,76,
Plantago palustris  ,Unknown,,0.90,,12,13,0.93,0.90,76,
Asterolasia rivularis,Unknown,,0.84,,10,13,1.00,0.90,76,
Baloghia marmorata,Unknown,V,0.75,,10,10,1.00,1.00,75,
Pterostylis lineata  ,Unknown,,0.96,,13,14,0.90,0.87,75,
Euphrasia ramulosa  ,Unknown,,0.87,,11,13,0.96,0.89,74,
Leionema sp. Colo River (P.H.Weston 2423),Unknown,,0.74,,10,10,1.00,1.00,74,
Epacris sparsa,Unknown,V,0.74,,10,10,1.00,1.00,74,
Pherosphaera fitzgeraldii,Unknown,E,0.94,,19,10,0.78,1.00,74,
Lysimachia vulgaris var. davurica,Unknown,E,0.87,,10,15,1.00,0.85,74,
Eucalyptus sp. Howes Swamp Creek (M.Doherty 26) NSW Herbarium,Unknown,E,0.73,,10,10,1.00,1.00,73,
