Taxon,EPBC status,MNES_DCCEEW maps
Abutilon julianae,Critically Endangered,40.24856957
Acacia ammophila,Vulnerable,2664.557166
Acacia anomala,Vulnerable,86.7589812
Acacia aphylla,Vulnerable,53.65963886
Acacia aprica,Endangered,2470.398156
Acacia araneosa,Vulnerable,88.14707576
Acacia aristulata,Endangered,56.92309447
Acacia ataxiphylla subsp. magna,Endangered,2143.988663
Acacia attenuata,Vulnerable,2338.937247
Acacia auratiflora,Endangered,156.4891501
Acacia awestoniana,Vulnerable,60.74305366
Acacia axillaris,Vulnerable,1359.408094
Acacia brachypoda,Endangered,66.78993642
Acacia bynoeana,Vulnerable,2999.270195
Acacia caerulescens,Vulnerable,233.4117579
Acacia carneorum,Vulnerable,50348.81164
Acacia chapmanii subsp. australis,Endangered,1.190117572
Acacia cochlocarpa subsp. cochlocarpa,Endangered,738.7712558
Acacia cochlocarpa subsp. velutinosa,Critically Endangered,2231.266307
Acacia constablei,Vulnerable,60.17846019
Acacia courtii,Vulnerable,94.96480299
Acacia cretacea,Endangered,18.71476698
Acacia crombiei,Vulnerable,7501.627995
Acacia curranii,Vulnerable,7466.233331
Acacia denticulosa,Vulnerable,194.0192852
Acacia depressa,Vulnerable,51.06666886
Acacia deuteroneura,Vulnerable,254.6539515
Acacia enterocarpa,Endangered,676.9884795
Acacia equisetifolia,Critically Endangered,150.8436446
Acacia eremophiloides,Vulnerable,11.61338093
Acacia flocktoniae,Vulnerable,630.0615207
Acacia forrestiana,Vulnerable,868.4522712
Acacia georgensis,Vulnerable,405.8425606
Acacia glandulicarpa,Vulnerable,6813.338996
Acacia gordonii,Endangered,222.0403504
Acacia grandifolia,Vulnerable,2085.196897
Acacia handonis,Vulnerable,899.3175939
Acacia imitans,Endangered,738.8212038
Acacia insolita subsp. recurva,Endangered,549.2525626
Acacia lanuginophylla,Endangered,2303.233323
Acacia latzii,Vulnerable,10970.54881
Acacia lauta,Vulnerable,492.1721429
Acacia leptalea,Endangered,295.8727041
Acacia leptoneura,Critically Endangered,0.179320768
Acacia lobulata,Endangered,1931.662763
Acacia macnuttiana,Vulnerable,1208.63652
Acacia meiantha,Endangered,35.64907682
Acacia menzelii,Vulnerable,804.3429297
Acacia peuce,Vulnerable,3385.881993
Acacia pharangites,Endangered,30.36676446
Acacia phasmoides,Vulnerable,326.7964676
Acacia pickardii,Vulnerable,12135.35463
Acacia pinguifolia,Endangered,2504.104722
Acacia porcata,Endangered,11.61338093
Acacia praemorsa,Vulnerable,235.5715388
Acacia praetermissa,Vulnerable,173.6263373
Acacia pubescens,Vulnerable,1444.699385
Acacia pubifolia,Vulnerable,457.5983835
Acacia purpureopetala,Critically Endangered,841.3486795
Acacia pycnostachya,Vulnerable,113.8192864
Acacia pygmaea,Endangered,175.7142682
Acacia recurvata,Endangered,100.747839
Acacia rhamphophylla,Endangered,31.42898909
Acacia rhetinocarpa,Vulnerable,1963.712065
Acacia ruppii,Endangered,604.8156041
Acacia sciophanes,Endangered,468.6082577
Acacia spilleriana,Endangered,373.9527949
Acacia splendens,Endangered,27.21094742
Acacia subflexuosa subsp. capillata,Endangered,30.76745273
Acacia terminalis subsp. terminalis MS,Endangered,179.075015
Acacia undoolyana,Vulnerable,103.5678426
Acacia unguicula,Critically Endangered,8.323179268
Acacia vassalii,Endangered,359.6859542
