EPBCA no.,EPBCA sp. name,species,EPBCA common name,Group,taxon_group,EBPCA_Status,EPBCA status,EPBCA_not_extinct,Other sci names,Listing date,listing criteria/,1,2,3,4,5,assessment notes,other notes
27797,Abutilon julianae,1,Norfolk Island Abutilon,Plant,1,CR,Critically Endangered,1,,11/25/2003,YES,Insufficient info,Insufficient info,Insufficient info,CR,Insufficient info,,
3763,Acacia ammophila,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
8153,Acacia anomala,1,"Grass Wattle, Chittering Grass Wattle",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
13553,Acacia aphylla,1,Leafless Rock Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
64821,Acacia aprica,1,Blunt Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
20767,Acacia araneosa,1,"Spidery Wattle, Balcanoona Wattle",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
64822,Acacia aristulata,1,Watheroo Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
64823,Acacia ataxiphylla subsp. magna,0,Large-fruited Tammin Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
10690,Acacia attenuata,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
64824,Acacia auratiflora,1,Orange-flowered Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
55562,Acacia awestoniana,1,Stirling Range Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
13563,Acacia axillaris,1,"Midlands Mimosa, Midlands Wattle",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
18662,Acacia baueri subsp. aspera,0,,Plant,1,EN,Endangered,1,,11/15/2023,YES,Insufficient info,EN (B1ab(v)+B2ab(v)),EN (C2a(i)),EN,Insufficient info,,
56297,Acacia blayana,1,Blay's Wattle,Plant,1,CR,Critically Endangered,1,,11/15/2023,YES,Insufficient info,CR (B1ab(iii)),Insufficient info,Insufficient info,Insufficient info,,
55594,Acacia brachypoda,1,Western Wheatbelt Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
8575,Acacia bynoeana,1,"Bynoe's Wattle, Tiny Wattle",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
21883,Acacia caerulescens,1,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
66685,Acacia carneorum,1,"Needle Wattle, Dead Finish, Purple-wood Wattle",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
65249,Acacia chapmanii subsp. australis,0, ,Plant,1,EN,Endangered,1,,8/18/2006,YES,VU,EN,EN,VU,Insufficient info,,
23877,Acacia cochlocarpa subsp. cochlocarpa,0,Spiral-fruited Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
65112,Acacia cochlocarpa subsp. velutinosa,0,Velvety Spiral Pod Wattle,Plant,1,CR,Critically Endangered,1,,8/18/2006,YES,Insufficient info,CR,CR,EN,Insufficient info,,
10798,Acacia constablei,1,Narrabarba Wattle,Plant,1,CR,Critically Endangered,1,,3/31/2023,YES,EN (A2a),CR (B1ab(v)),EN (C2a(i)),EN (D1),Insufficient info,,
56299,Acacia courtii,1,Northern Brother Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
10689,Acacia cretacea,1,Chalky Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
