original_name,aligned_name,accepted_name,suggested_name,genus,family,taxon_rank,taxonomic_dataset,taxonomic_status,taxonomic_status_aligned,aligned_reason,update_reason,subclass,taxon_distribution,scientific_name,taxon_ID,taxon_ID_genus,scientific_name_ID,canonical_name,row_number,number_of_collapsed_taxa
Eucalyptus brevipes,Eucalyptus brevipes,Eucalyptus brevipes,Eucalyptus brevipes,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus brevipes Brooker,https://id.biodiversity.org.au/node/apni/2908443,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/73530,Eucalyptus brevipes,569,NA
Eucalyptus broviniensis,Eucalyptus broviniensis,Eucalyptus broviniensis,Eucalyptus broviniensis,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Eucalyptus broviniensis A.R.Bean,https://id.biodiversity.org.au/node/apni/2899506,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/171703,Eucalyptus broviniensis,570,NA
Eucalyptus burdettiana,Eucalyptus burdettiana,Eucalyptus burdettiana,Eucalyptus burdettiana,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus burdettiana Blakely & H.Steedman,https://id.biodiversity.org.au/node/apni/2890002,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/73731,Eucalyptus burdettiana,571,NA
Eucalyptus cadens,Eucalyptus cadens,Eucalyptus cadens,Eucalyptus cadens,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Vic,Eucalyptus cadens J.D.Briggs & Crisp,https://id.biodiversity.org.au/node/apni/2914627,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/91249,Eucalyptus cadens,572,NA
Eucalyptus caleyi subsp. ovendenii,Eucalyptus caleyi subsp. ovendenii,Eucalyptus caleyi subsp. ovendenii,Eucalyptus caleyi subsp. ovendenii,Eucalyptus,Myrtaceae,subspecies,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Eucalyptus caleyi subsp. ovendenii L.A.S.Johnson & K.D.Hill,https://id.biodiversity.org.au/node/apni/2888204,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/118687,Eucalyptus caleyi subsp. ovendenii,573,NA
Eucalyptus camfieldii,Eucalyptus camfieldii,Eucalyptus camfieldii,Eucalyptus camfieldii,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Eucalyptus camfieldii Maiden,https://id.biodiversity.org.au/node/apni/2886929,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/94333,Eucalyptus camfieldii,574,NA
Eucalyptus canobolensis,Eucalyptus canobolensis,Eucalyptus canobolensis,Eucalyptus canobolensis,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Eucalyptus canobolensis (L.A.S.Johnson & K.D.Hill) J.T.Hunter,https://id.biodiversity.org.au/node/apni/2915939,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/155032,Eucalyptus canobolensis,575,NA
Eucalyptus ceracea,Eucalyptus ceracea,Eucalyptus ceracea,Eucalyptus ceracea,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus ceracea Brooker & Done,https://id.biodiversity.org.au/node/apni/2900234,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/112288,Eucalyptus ceracea,576,NA
Eucalyptus conglomerata,Eucalyptus conglomerata,Eucalyptus conglomerata,Eucalyptus conglomerata,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Eucalyptus conglomerata Maiden & Blakely,https://id.biodiversity.org.au/node/apni/2895822,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/113510,Eucalyptus conglomerata,577,NA
Eucalyptus copulans,Eucalyptus copulans,Eucalyptus copulans,Eucalyptus copulans,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Eucalyptus copulans L.A.S.Johnson & K.D.Hill,https://id.biodiversity.org.au/node/apni/2891931,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/118720,Eucalyptus copulans,578,NA
Eucalyptus coronata,Eucalyptus coronata,Eucalyptus coronata,Eucalyptus coronata,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus coronata C.A.Gardner,https://id.biodiversity.org.au/node/apni/2894498,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/114085,Eucalyptus coronata,579,NA
Eucalyptus crenulata,Eucalyptus crenulata,Eucalyptus crenulata,Eucalyptus crenulata,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Vic (native and doubtfully naturalised),Eucalyptus crenulata Blakely & Beuzev.,https://id.biodiversity.org.au/node/apni/2889454,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/114562,Eucalyptus crenulata,580,NA
Eucalyptus crispata,Eucalyptus crispata,Eucalyptus crispata,Eucalyptus crispata,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus crispata Brooker & Hopper,https://id.biodiversity.org.au/node/apni/2909251,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/118327,Eucalyptus crispata,581,NA
Eucalyptus crucis subsp. crucis,Eucalyptus crucis subsp. crucis,Eucalyptus crucis subsp. crucis,Eucalyptus crucis subsp. crucis,Eucalyptus,Myrtaceae,subspecies,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus crucis Maiden subsp. crucis,https://id.biodiversity.org.au/node/apni/2899782,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/114588,Eucalyptus crucis subsp. crucis,582,NA
Eucalyptus crucis subsp. praecipua,Eucalyptus crucis subsp. praecipua,Eucalyptus crucis subsp. praecipua,Eucalyptus crucis subsp. praecipua,Eucalyptus,Myrtaceae,subspecies,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus crucis subsp. praecipua Brooker & Hopper,https://id.biodiversity.org.au/taxon/apni/51289876,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/119588,Eucalyptus crucis subsp. praecipua,583,NA
Eucalyptus cuprea,Eucalyptus cuprea,Eucalyptus cuprea,Eucalyptus cuprea,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus cuprea Brooker & Hopper,https://id.biodiversity.org.au/node/apni/2894506,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/119605,Eucalyptus cuprea,584,NA
Eucalyptus dalveenica,Eucalyptus dalveenica,Eucalyptus dalveenica,Eucalyptus dalveenica,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,"Eucalyptus dalveenica T.L.Collins, R.L.Andrew & J.J.Bruhl",https://id.biodiversity.org.au/taxon/apni/51781999,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/51306587,Eucalyptus dalveenica,585,NA
Eucalyptus dolorosa,Eucalyptus dolorosa,Eucalyptus dolorosa,Eucalyptus dolorosa,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus dolorosa Brooker & Hopper,https://id.biodiversity.org.au/node/apni/2890457,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/119569,Eucalyptus dolorosa,586,NA
Eucalyptus forresterae,Eucalyptus forresterae,Eucalyptus forresterae,Eucalyptus forresterae,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Vic,Eucalyptus forresterae Molyneux & Rule,https://id.biodiversity.org.au/taxon/apni/51439802,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/229875,Eucalyptus forresterae,587,NA
Eucalyptus glaucina,Eucalyptus glaucina,Eucalyptus glaucina,Eucalyptus glaucina,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Eucalyptus glaucina (Blakely) L.A.S.Johnson,https://id.biodiversity.org.au/node/apni/2890884,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/61113,Eucalyptus glaucina,588,NA
Eucalyptus gunnii subsp. divaricata,Eucalyptus gunnii subsp. divaricata,Eucalyptus gunnii subsp. divaricata,Eucalyptus gunnii subsp. divaricata,Eucalyptus,Myrtaceae,subspecies,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Tas,Eucalyptus gunnii subsp. divaricata (McAulay & Brett) B.M.Potts,https://id.biodiversity.org.au/node/apni/7635790,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/194306,Eucalyptus gunnii subsp. divaricata,589,NA
Eucalyptus hallii,Eucalyptus hallii,Eucalyptus hallii,Eucalyptus hallii,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Eucalyptus hallii Brooker,https://id.biodiversity.org.au/taxon/apni/51782058,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/96443,Eucalyptus hallii,590,NA
Eucalyptus imlayensis,Eucalyptus imlayensis,Eucalyptus imlayensis,Eucalyptus imlayensis,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Eucalyptus imlayensis Crisp & Brooker,https://id.biodiversity.org.au/node/apni/2899202,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/71543,Eucalyptus imlayensis,591,NA
Eucalyptus impensa,Eucalyptus impensa,Eucalyptus x impensa,Eucalyptus x impensa,Eucalyptus,Myrtaceae,species,APC,accepted,taxonomic synonym,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2024-08-16),taxonomic synonym,Magnoliidae,WA,Eucalyptus x impensa Brooker & Hopper,https://id.biodiversity.org.au/node/apni/2908082,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/119583,Eucalyptus x impensa,592,NA
Eucalyptus infera,Eucalyptus infera,Eucalyptus infera,Eucalyptus infera,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Eucalyptus infera A.R.Bean,https://id.biodiversity.org.au/node/apni/2900453,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/117511,Eucalyptus infera,593,NA
Eucalyptus insularis,Eucalyptus insularis,Eucalyptus insularis,Eucalyptus insularis,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus insularis Brooker,https://id.biodiversity.org.au/taxon/apni/51289916,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/72804,Eucalyptus insularis,594,NA
Eucalyptus johnsoniana,Eucalyptus johnsoniana,Eucalyptus johnsoniana,Eucalyptus johnsoniana,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus johnsoniana Brooker & Blaxell,https://id.biodiversity.org.au/node/apni/2887734,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/109039,Eucalyptus johnsoniana,595,NA
