original_name,aligned_name,accepted_name,suggested_name,genus,family,taxon_rank,taxonomic_dataset,taxonomic_status,taxonomic_status_aligned,aligned_reason,update_reason,subclass,taxon_distribution,scientific_name,taxon_ID,taxon_ID_genus,scientific_name_ID,canonical_name,row_number,number_of_collapsed_taxa
Abutilon julianae,Abutilon julianae,Abutilon julianae,Abutilon julianae,Abutilon,Malvaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NI,Abutilon julianae Endl.,https://id.biodiversity.org.au/node/apni/2900707,https://id.biodiversity.org.au/taxon/apni/51777321,https://id.biodiversity.org.au/name/apni/56543,Abutilon julianae,1,NA
Acacia ammophila,Acacia ammophila,Acacia ammophila,Acacia ammophila,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Acacia ammophila Pedley,https://id.biodiversity.org.au/node/apni/2899480,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/58340,Acacia ammophila,2,NA
Acacia anomala,Acacia anomala,Acacia anomala,Acacia anomala,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia anomala C.A.Gardner ex Court,https://id.biodiversity.org.au/node/apni/2914483,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/58556,Acacia anomala,3,NA
Acacia aphylla,Acacia aphylla,Acacia aphylla,Acacia aphylla,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia aphylla Maslin,https://id.biodiversity.org.au/node/apni/2913504,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/58565,Acacia aphylla,4,NA
Acacia aprica,Acacia aprica,Acacia aprica,Acacia aprica,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia aprica Maslin & A.R.Chapm.,https://id.biodiversity.org.au/node/apni/2903843,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/149911,Acacia aprica,5,NA
Acacia araneosa,Acacia araneosa,Acacia araneosa,Acacia araneosa,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,SA,Acacia araneosa Whibley,https://id.biodiversity.org.au/node/apni/2919802,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/58598,Acacia araneosa,6,NA
Acacia aristulata,Acacia aristulata,Acacia aristulata,Acacia aristulata,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia aristulata Maslin,https://id.biodiversity.org.au/node/apni/2909621,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/150783,Acacia aristulata,7,NA
Acacia ataxiphylla subsp. magna,Acacia ataxiphylla subsp. magna,Acacia ataxiphylla subsp. magna,Acacia ataxiphylla subsp. magna,Acacia,Fabaceae,subspecies,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia ataxiphylla subsp. magna Maslin,https://id.biodiversity.org.au/node/apni/2905184,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/141458,Acacia ataxiphylla subsp. magna,8,NA
Acacia attenuata,Acacia attenuata,Acacia attenuata,Acacia attenuata,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Acacia attenuata Maiden & Blakely,https://id.biodiversity.org.au/node/apni/2887463,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/58907,Acacia attenuata,9,NA
Acacia auratiflora,Acacia auratiflora,Acacia auratiflora,Acacia auratiflora,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia auratiflora R.S.Cowan & Maslin,https://id.biodiversity.org.au/node/apni/2913715,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/150778,Acacia auratiflora,10,NA
Acacia awestoniana,Acacia awestoniana,Acacia awestoniana,Acacia awestoniana,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia awestoniana R.S.Cowan & Maslin,https://id.biodiversity.org.au/node/apni/2920288,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/117973,Acacia awestoniana,11,NA
Acacia axillaris,Acacia axillaris,Acacia axillaris,Acacia axillaris,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Tas,Acacia axillaris Benth.,https://id.biodiversity.org.au/node/apni/2911902,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/59024,Acacia axillaris,12,NA
Acacia baueri subsp. aspera,Acacia baueri subsp. aspera,Acacia baueri subsp. aspera,Acacia baueri subsp. aspera,Acacia,Fabaceae,subspecies,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Acacia baueri subsp. aspera (Maiden & Betche) Pedley,https://id.biodiversity.org.au/node/apni/2892219,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/59217,Acacia baueri subsp. aspera,13,NA
Acacia blayana,Acacia blayana,Acacia blayana,Acacia blayana,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Acacia blayana Tindale & Court,https://id.biodiversity.org.au/node/apni/2899631,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/118800,Acacia blayana,14,NA
Acacia brachypoda,Acacia brachypoda,Acacia brachypoda,Acacia brachypoda,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia brachypoda Maslin,https://id.biodiversity.org.au/node/apni/2920010,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/118007,Acacia brachypoda,15,NA
Acacia bynoeana,Acacia bynoeana,Acacia bynoeana,Acacia bynoeana,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Acacia bynoeana Benth.,https://id.biodiversity.org.au/node/apni/2897229,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/59969,Acacia bynoeana,16,NA
Acacia caerulescens,Acacia caerulescens,Acacia caerulescens,Acacia caerulescens,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Vic,Acacia caerulescens Maslin & Court,https://id.biodiversity.org.au/node/apni/2893725,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/59987,Acacia caerulescens,17,NA
Acacia carneorum,Acacia carneorum,Acacia carneorum,Acacia carneorum,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,"SA, NSW",Acacia carneorum Maiden,https://id.biodiversity.org.au/node/apni/2911484,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/164737,Acacia carneorum,18,NA
Acacia chapmanii subsp. australis,Acacia chapmanii subsp. australis,Acacia chapmanii subsp. australis,Acacia chapmanii subsp. australis,Acacia,Fabaceae,subspecies,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia chapmanii subsp. australis R.S.Cowan & Maslin,https://id.biodiversity.org.au/node/apni/2919009,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/153433,Acacia chapmanii subsp. australis,19,NA
Acacia cochlocarpa subsp. cochlocarpa,Acacia cochlocarpa subsp. cochlocarpa,Acacia cochlocarpa subsp. cochlocarpa,Acacia cochlocarpa subsp. cochlocarpa,Acacia,Fabaceae,subspecies,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia cochlocarpa Meisn. subsp. cochlocarpa,https://id.biodiversity.org.au/node/apni/2897998,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/153457,Acacia cochlocarpa subsp. cochlocarpa,20,NA
Acacia cochlocarpa subsp. velutinosa,Acacia cochlocarpa subsp. velutinosa,Acacia cochlocarpa subsp. velutinosa,Acacia cochlocarpa subsp. velutinosa,Acacia,Fabaceae,subspecies,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia cochlocarpa subsp. velutinosa Maslin & A.R.Chapm.,https://id.biodiversity.org.au/node/apni/2914824,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/152953,Acacia cochlocarpa subsp. velutinosa,21,NA
Acacia constablei,Acacia constablei,Acacia constablei,Acacia constablei,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Acacia constablei Tindale,https://id.biodiversity.org.au/node/apni/2918275,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/60740,Acacia constablei,22,NA
Acacia courtii,Acacia courtii,Acacia courtii,Acacia courtii,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Acacia courtii Tindale & Herscovitch,https://id.biodiversity.org.au/node/apni/2903240,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/118803,Acacia courtii,23,NA
Acacia cretacea,Acacia cretacea,Acacia cretacea,Acacia cretacea,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,SA,Acacia cretacea Maslin & Whibley,https://id.biodiversity.org.au/taxon/apni/51770483,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/60982,Acacia cretacea,24,NA
Acacia crombiei,Acacia crombiei,Acacia crombiei,Acacia crombiei,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Acacia crombiei C.T.White,https://id.biodiversity.org.au/node/apni/2891270,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/61004,Acacia crombiei,25,NA
Acacia curranii,Acacia curranii,Acacia curranii,Acacia curranii,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,"Qld, NSW",Acacia curranii Maiden,https://id.biodiversity.org.au/node/apni/2914331,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/61102,Acacia curranii,26,NA
Acacia dangarensis,Acacia dangarensis,Acacia dangarensis,Acacia dangarensis,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Acacia dangarensis Tindale & Kodela,https://id.biodiversity.org.au/node/apni/2915433,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/117590,Acacia dangarensis,27,NA
Acacia denticulosa,Acacia denticulosa,Acacia denticulosa,Acacia denticulosa,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia denticulosa F.Muell.,https://id.biodiversity.org.au/node/apni/2916341,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/61680,Acacia denticulosa,28,NA
Acacia depressa,Acacia depressa,Acacia depressa,Acacia depressa,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia depressa Maslin,https://id.biodiversity.org.au/node/apni/2892108,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/61761,Acacia depressa,29,NA
Acacia deuteroneura,Acacia deuteroneura,Acacia deuteroneura,Acacia deuteroneura,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Acacia deuteroneura Pedley,https://id.biodiversity.org.au/node/apni/2898721,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/61790,Acacia deuteroneura,30,NA
Acacia enterocarpa,Acacia enterocarpa,Acacia enterocarpa,Acacia enterocarpa,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,"SA, Vic",Acacia enterocarpa R.V.Sm.,https://id.biodiversity.org.au/node/apni/2901643,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/62586,Acacia enterocarpa,31,NA
Acacia equisetifolia,Acacia equisetifolia,Acacia equisetifolia,Acacia equisetifolia,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NT,Acacia equisetifolia Maslin & Cowie,https://id.biodiversity.org.au/node/apni/2890781,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/246583,Acacia equisetifolia,32,NA
Acacia eremophiloides,Acacia eremophiloides,Acacia eremophiloides,Acacia eremophiloides,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Acacia eremophiloides Pedley & P.I.Forst.,https://id.biodiversity.org.au/node/apni/2911272,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/62649,Acacia eremophiloides,33,NA
Acacia flocktoniae,Acacia flocktoniae,Acacia flocktoniae,Acacia flocktoniae,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Acacia flocktoniae Maiden,https://id.biodiversity.org.au/node/apni/2886174,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/63159,Acacia flocktoniae,34,NA
Acacia forrestiana,Acacia forrestiana,Acacia forrestiana,Acacia forrestiana,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia forrestiana E.Pritz.,https://id.biodiversity.org.au/node/apni/2914285,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/63207,Acacia forrestiana,35,NA
Acacia georgensis,Acacia georgensis,Acacia georgensis,Acacia georgensis,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Acacia georgensis Tindale,https://id.biodiversity.org.au/node/apni/2900025,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/63478,Acacia georgensis,36,NA
Acacia glandulicarpa,Acacia glandulicarpa,Acacia glandulicarpa,Acacia glandulicarpa,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,"SA, Vic",Acacia glandulicarpa Reader,https://id.biodiversity.org.au/node/apni/2894806,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/63594,Acacia glandulicarpa,37,NA
Acacia gordonii,Acacia gordonii,Acacia gordonii,Acacia gordonii,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Acacia gordonii (Tindale) Pedley,https://id.biodiversity.org.au/node/apni/2914687,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/63812,Acacia gordonii,38,NA
Acacia grandifolia,Acacia grandifolia,Acacia grandifolia,Acacia grandifolia,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Acacia grandifolia Pedley,https://id.biodiversity.org.au/node/apni/2897642,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/63868,Acacia grandifolia,39,NA
Acacia handonis,Acacia handonis,Acacia handonis,Acacia handonis,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Acacia handonis Pedley,https://id.biodiversity.org.au/node/apni/2898416,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/64171,Acacia handonis,40,NA
Acacia imitans,Acacia imitans,Acacia imitans,Acacia imitans,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia imitans Maslin,https://id.biodiversity.org.au/node/apni/2891980,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/151151,Acacia imitans,41,NA
Acacia insolita subsp. recurva,Acacia insolita subsp. recurva,Acacia insolita subsp. recurva,Acacia insolita subsp. recurva,Acacia,Fabaceae,subspecies,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia insolita subsp. recurva Maslin,https://id.biodiversity.org.au/node/apni/2900706,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/153115,Acacia insolita subsp. recurva,42,NA
Acacia kingiana,Acacia kingiana,Acacia kingiana,Acacia kingiana,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia kingiana Maiden & Blakely,https://id.biodiversity.org.au/node/apni/2896483,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/65055,Acacia kingiana,43,NA
Acacia lanigera var. gracilipes,Acacia lanigera var. gracilipes,Acacia lanigera var. gracilipes,Acacia lanigera var. gracilipes,Acacia,Fabaceae,variety,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,"NSW, Vic",Acacia lanigera var. gracilipes Benth.,https://id.biodiversity.org.au/node/apni/2899726,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/65124,Acacia lanigera var. gracilipes,44,NA
Acacia lanuginophylla,Acacia lanuginophylla,Acacia lanuginophylla,Acacia lanuginophylla,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia lanuginophylla R.S.Cowan & Maslin,https://id.biodiversity.org.au/node/apni/2904716,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/117986,Acacia lanuginophylla,45,NA
Acacia latzii,Acacia latzii,Acacia latzii,Acacia latzii,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,"NT, SA",Acacia latzii Maslin,https://id.biodiversity.org.au/node/apni/2906346,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/65314,Acacia latzii,46,NA
Acacia lauta,Acacia lauta,Acacia lauta,Acacia lauta,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Acacia lauta Pedley,https://id.biodiversity.org.au/node/apni/2886854,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/65324,Acacia lauta,47,NA
Acacia leptalea,Acacia leptalea,Acacia leptalea,Acacia leptalea,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia leptalea Maslin,https://id.biodiversity.org.au/node/apni/2890171,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/151309,Acacia leptalea,48,NA
Acacia leptoneura,Acacia leptoneura,Acacia leptoneura,Acacia leptoneura,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia leptoneura Benth.,https://id.biodiversity.org.au/node/apni/2909543,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/65504,Acacia leptoneura,49,NA
Acacia lobulata,Acacia lobulata,Acacia lobulata,Acacia lobulata,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia lobulata R.S.Cowan & Maslin,https://id.biodiversity.org.au/node/apni/2888889,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/117978,Acacia lobulata,50,NA
Acacia macnuttiana,Acacia macnuttiana,Acacia macnuttiana,Acacia macnuttiana,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Acacia macnuttiana Maiden & Blakely,https://id.biodiversity.org.au/node/apni/2901778,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/66509,Acacia macnuttiana,51,NA
Acacia meiantha,Acacia meiantha,Acacia meiantha,Acacia meiantha,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Acacia meiantha Tindale & Herscovitch,https://id.biodiversity.org.au/node/apni/2888344,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/118024,Acacia meiantha,52,NA
Acacia menzelii,Acacia menzelii,Acacia menzelii,Acacia menzelii,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,SA,Acacia menzelii J.M.Black,https://id.biodiversity.org.au/node/apni/2912054,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/66714,Acacia menzelii,53,NA
Acacia peuce,Acacia peuce,Acacia peuce,Acacia peuce,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,"NT, Qld",Acacia peuce F.Muell.,https://id.biodiversity.org.au/node/apni/2906202,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/68505,Acacia peuce,54,NA
Acacia pharangites,Acacia pharangites,Acacia pharangites,Acacia pharangites,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Acacia pharangites Maslin,https://id.biodiversity.org.au/node/apni/2918682,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/68523,Acacia pharangites,55,NA
Acacia phasmoides,Acacia phasmoides,Acacia phasmoides,Acacia phasmoides,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,"NSW, Vic",Acacia phasmoides J.H.Willis,https://id.biodiversity.org.au/node/apni/2904946,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/68526,Acacia phasmoides,56,NA
Acacia pickardii,Acacia pickardii,Acacia pickardii,Acacia pickardii,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,"NT, SA",Acacia pickardii Tindale,https://id.biodiversity.org.au/node/apni/2919690,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/68588,Acacia pickardii,57,NA
Acacia pinguifolia,Acacia pinguifolia,Acacia pinguifolia,Acacia pinguifolia,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,SA,Acacia pinguifolia J.M.Black,https://id.biodiversity.org.au/node/apni/2886680,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/68635,Acacia pinguifolia,58,NA
Acacia porcata,Acacia porcata,Acacia porcata,Acacia porcata,Acacia,Fabaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Acacia porcata P.I.Forst.,https://id.biodiversity.org.au/taxon/apni/51436634,https://id.biodiversity.org.au/taxon/apni/51770320,https://id.biodiversity.org.au/name/apni/117478,Acacia porcata,59,NA
