Species,Family,"Life Form
Code","Susceptibility
Rating"
Acacia longifolia,Mimosaceae,T,
Acacia paradoxa,Mimosaceae,MS,
Acacia pycnantha,Mimosaceae,T,
Acacia suaveolens,Mimosaceae,MS,
Acrotriche serrulata,Ericaceae,PS,S
Allocasuarina misera,Casuarinaceae,MS,S
Amperea xiphoclada,Euphorbiaceae,SS,"S, FR"
Argentipallium (Styphelia) humifusa,Ericaceae,SS,
Argentipallium obtusifolium,Asteraceae,MH,S
Austrostipa mollis,Poaceae,LTG,
Banksia marginata,Proteaceae,MS,S
Billardiera mutabilis,Pittosporaceae,SC,
Brunonia australis,Goodeniaceae,SH,
Burchardia umbellata,Colchicaceae,MH,
Caladenia carnea,Orchidaeceae,SH,
Caladenia transitoria,Orchidaeceae,SH,
Caledenia venusta,Orchidaeceae,SH,
Caleana major,Orchidaeceae,SH,
Cassytha glabella,Lauraceae,SC,
Cassytha pubescens subsp.,Lauraceae,SC,
Chamaescilla corymbosa,Asphodeliaceae,SH,"S, FR"
Chrysocephalum baxteri,Asteraceae,MH,
Comesperma calymega,Polygalaceae,LH,
Comesperma ericinum,Polygalaceae,SS,
Comesperma volubile,Polygalaceae,SC,
Conospermum mitchellii,Proteaceae,MS,
Corybas incurvus,Orchidaceae,SH,
Daviesia brevifolia,Fabaceae,SS,S
Dianella longifolia,Asphodelaceae,LNG,
Dillwynia cinerascens,Fabaceae,SS,
Dillwynia glaberrima,Fabaceae,SS,"S, HS"
Dillwynia sericea,Fabaceae,SS,"S, HS"
Drosera abberans,Droseraceae,SH,
Drosera auriculata,Droseraceae,MH,
Drosera pygmaea,Droseraceae,SH,
Epacris impressa,Ericaceae,MS,"S, LS"
Eucalyptus aromaphloia,Myrtaceae,T,
Eucalyptus baxteri,Myrtaceae,T,
Eucalyptus obliqua,Myrtaceae,T,"S, LS"
Eucalyptus tricarpa,Myrtaceae,T,
Eucalyptus willisii,Myrtaceae,T,S
Euryomyrtus ramosissima subsp. prostrata,Myrtaceae,PS,
Gahnia radula,Cyperaceae,LNG,
Glossodia major,Orchidaceae,SH,
Gompholobium ecostatum,Fabaceae,SS,
Gonocarpus tetragynus,Haloragaceae,MH,
Goodenia geniculata,Goodeniaceae,MH,
Goodenia lanata,Goodeniaceae,SH,S
Hakea decurrens,Proteaceae,MS,
Hakea ulicina,Proteaceae,MS,S
Hibbertia fasciculata var. prostrata,Dillenaceae,SS,S
Hibbertia riparia,Dillenaceae,SS,S
Hibbertia sericea s.l.,Dillenaceae,SS,
Hovea heterophylla,Fabaceae,SS,
Hypolaena fastigiata,Restionaceae,MNG,
Isolepis marginata,Cyperaceae,MTG,
Isopogon ceratophyllus,Proteaceae,SS,
Lasiopetalum baueri,Malvaceae,MS,
Laxmannia orientalis,Asparagaceae,MTG,
Lepidosperma filiforme,Cyperaceae,MTG,
Lepidosperma laterale,Cyperaceae,MTG,
Lepidosperma semiteres,Cyperaceae,MTG,
Leporella fimbriata,Orchidaceae,SH,
Leptospermum continentale,Myrtaceae,MS,S
Leptospermum myrsinoides,Myrtaceae,MS,S
Leucopogon ericoides,Ericaceae,SS,
Leucopogon glacialis,Ericaceae,SS,
Leucopogon virgatus,Ericaceae,SS,S
Lindsae linearis,Lindsaeaceae,GF,
Lomandra filiformis,Asparagaceae,MTG,
Lomandra micrantha,Asparagaceae,MTG,
Lomandra multiflora subsp. multiflora,Asparagaceae,MTG,
Microlaena stipoides,Poaceae,TTG,
Monotoca scoparia,Ericaceae,MS,
Opercularia varia,Rubiaceae,SH,
Pimelia humilis,Thymeleaceae,SS,
Pimelia linifolia subsp. linifolia,Thymeleaceae,SS,
Platylobium obtusangulum,Fabaceae,SS,S
Pultenaea mollis,Fabaceae,MS,
Pteridium esculentum,Dennstaedtiaceae,GF,
Pterostylis plumosa,Orchidaceae,SH,
Pyrorchis nigricans,Orchidaceae,SH,
Rytidosperma setaceum,Poaceae,MTG,
Sphaerolobium minus,Fabaceae,SS,
Spyridium parvifolium,Rhamnaceae,MS,
Tetratheca ciliata,Elaeocarpaceae,SS,S
Thelymitra antennifera,Orchidaceae,SH,
Thelymitra flexuosa,Orchidaceae,SH,
Thelymitra pallidiflora,Orchidaceae,SH,
Thelymitra rubra,Orchidaceae,SH,
Thysanotus patersonii,Asparagaceae,SC,
Viola cleistogamoides,Violaceae,SH,
Viola hederacea,Violaceae,SH,
Xanthorrhoea australis,Ashodeliaceae,LTG,"S, HS"
Xanthorrhoea minor subp. lutea,Ashodeliaceae,MTG,"S, HS"
Xanthosia huegelii,Apiaceae,PS,
Xanthosia tasmanica,Apiaceae,PS,
