Family,Species,Seed germination Treatment,Primary Nutrient acquisition strategy,Secondary Nutrient acquisition strategy,N-fixing,Seed storage,Fire response,Individual seed (mg
Fabaceae,Acacia pulchella,"HW, S",AM,None,Yes,Soil,Death,4.3
Fabaceae,Bossiaea eriocarpa,"HW, S",AM,Cluster,Yes,Soil,Death,2.1
Fabaceae,Daviesia nudiflora,"HW, S",Cluster,AM,Yes,Soil,Resprouter,23.9
Fabaceae,Gastrolobium spinosum,HW,ECM,AM,Yes,Soil,Death,8
Fabaceae,Gompholobium knightianum,"HW, S",AM,ECM,Yes,Soil,Death,2.2
Fabaceae,Gompholobium tomentosum,"HW, S",AM,ECM,Yes,Soil,Death,1.3
Fabaceae,Jacksonia floribunda,"HW, S",AM,ECM,Yes,Soil,Resprouter,7.6
Fabaceae,Jacksonia sternbergiana,"HW, S",AM,Cluster,Yes,Soil,Death,9.8
Fabaceae,Kennedia prostrata,"HW, S",AM,Cluster,Yes,Soil,Death,36.3
Fabaceae,Viminaria juncea,None,Cluster,AM,Yes,Soil,Death,6
Myrtaceae,Beaufortia elegans,None,ECM,AM,No,Canopy,Death,0.5
Myrtaceae,Calothamnus hirsutus,None,ECM,None,No,Canopy,Resprouter,0.04
Myrtaceae,Calytrix flavescens,Sm,AM,None,No,Soil,Death,1.7
Myrtaceae,Eremaea asterocarpa,None,ECM,AM,No,Canopy,Resprouter,1.3
Myrtaceae,Eucalyptus todtiana,None,ECM,AM,No,Canopy,Resprouter,8.2
Myrtaceae,Hypocalymma angustifolium,Sm,AM,ECM,No,Soil,Resprouter,0.32
Myrtaceae,Leptospermum erubescens,None,ECM,None,No,Canopy,Resprouter,0.04
Myrtaceae,Melaleuca seritia,None,ECM,AM,No,Canopy,Resprouter,0.04
Myrtaceae,Scholtzia laxiflora,None,AM,None,No,Soil,Resprouter,1.1
Myrtaceae,Verticordia densiflora,Sm,AM,None,No,Soil,Resprouter,2.5
Proteaceae,Banksia attenuata,None,Cluster,None,No,Canopy,Resprouter,103.7
Proteaceae,Banksia telmatiaea,None,Cluster,None,No,Canopy,Death,18.5
Proteaceae,Conospermum stoechadis,Sm,Cluster,None,No,Soil,Resprouter,5.1
Proteaceae,Grevillea eriostachya,Sm,Cluster,None,No,Soil,Resprouter,23.2
Proteaceae,Grevillea shuttleworthiana,Sm,Cluster,None,No,Soil,Resprouter,3.1
Proteaceae,Hakea costata,None,Cluster,None,No,Canopy,Death,8.9
Proteaceae,Hakea trifurcata,None,Cluster,None,No,Canopy,Death,16.3
Proteaceae,Lambertia multiflora,None,Cluster,None,No,Soil,Resprouter,26.3
Proteaceae,Petrophile drummondii,Sm,Cluster,None,No,Canopy,Death,11.7
Proteaceae,Stirlingia latifolia,None,Cluster,None,No,Soil,Resprouter,14.1
