Scientific Name,Native,Susceptibility,Susceptibility_numeric_approx,Susceptibilty_binary,Observation,References,Synonyms
Uromyrtus australis,Y,S*,4,1,N,Giblin and Carnegie 2014,
Uromyrtus lamingtonensis,Y,S*,4,1,N,Giblin and Carnegie 2014,
Uromyrtus metrosideros,Y,S*,4,1,N,Giblin and Carnegie 2014,
Uromyrtus tenella,Y,M,4,1,N,Pegg et al. 2014,
Verticordia chrysantha,Y,R-H,3,0,I,Morin et al. 2012,
Verticordia plumosa,Y,H,5,1,I,Morin et al. 2012,
Xanthostemon chrysanthus,Y,L-H,4,1,NI,Morin et al. 2012; Pegg et al. 2014,
Xanthostemon crenulatus,Y,R,1,0,N,"Pegg, unpublished data",
Xanthostemon formosus,Y,S*,4,1,N,Giblin and Carnegie 2014,
Xanthostemon fruticosus,N,S*,4,1,N,Pegg 2016,
Xanthostemon graniticus,Y,S*,4,1,N,Giblin and Carnegie 2014,
Xanthostemon oppositifolius,Y,H,5,1,N,Pegg et al. 2014,
Xanthostemon youngii,Y,M,4,1,I,Pegg et al. 2014,
