family,species,disease centre occurrence,relative importance in community,plant deaths,isolation of P. cinnamomi from plants,isolation of P. cinnamomi from soil,phytophthora_cinnamomi_susceptibility,phytophthora_cinnamomi_isolation_from_plant_tissue,habitat,source in manuscript
Anthericaceae,Thysanotus tenellus,5,3,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Anthericaceae,Tricoryne elatior,3,0,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Apiaceae,Xanthosia huegelii,7,3,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Cyperaceae,Lepidosperma sp.,5,3,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Cyperaceae,Mesomelaena tetragona,5,2,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Cyperaceae,Schoenus curvifolius,3,3,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Cyperaceae,Schoenus rigens,6,6,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Dasypogonaceae,Lomandra integra,9,4,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Dasypogonaceae,Lomandra nigricans,9,4,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Dasypogonaceae,Lomandra sonderi,15,6,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Dilleniaceae,Hibbertia racemosa,5,1,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Dilleniaceae,Hibbertia vaginata,10,2,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Epacridaceae,Leucopogon glabellus,6,2,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Epacridaceae,Leucopogon propinquus,8,0,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Goodeniaceae,Dampiera linearis,7,1,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Goodeniaceae,Lechenaultia biloba,5,2,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Goodeniaceae,Scaevola calliptera,4,0,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Haemodoraceae,Anigozanthos manglesii,5,3,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Haemodoraceae,Conostylis aculeata,13,8,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Haemodoraceae,Conostylis serrulata,4,0,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Haemodoraceae,Haemodorum paniculatum,5,0,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Iridaceae,Orthrosanthus laxus,4,1,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Lamiaceae,Hemiandra pungens,5,2,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Lauraceae,Cassytha flava,5,2,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Lauraceae,Cassytha glabella,11,8,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Loranthaceae,Nuytsia floribunda,14,2,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Mimosaceae,Acacia extensa,3,2,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Mimosaceae,Acacia huegelii,3,0,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Mimosaceae,Acacia semitrullata,4,2,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Myrtaceae,Agonis flexuosa,6,4,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Myrtaceae,Baeckea camphorosmae,4,4,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Myrtaceae,Eucalyptus calophylla,15,8,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Myrtaceae,Melaleuca preissiana,5,2,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Papilionaceae,Gompholobium tomentosum,24,10,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Papilionaceae,Hardenbergia comptoniana,4,1,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Papilionaceae,Hovea trisperma,8,0,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Papilionaceae,Kennedia prostrata,5,1,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Proteaceae,Dryandra nivea,6,2,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Proteaceae,Hakea lissocarpha,3,1,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Proteaceae,Persoonia aff. saccata,3,0,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Restionaceae,Leptocarpus scariosus,22,21,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
