species,Table_in_reference,emergence_control (%),emergence_control (SE),emergence_inoculated_Phytophthora (%),emergence_inoculated_Phytophthora (SE),survival_control (%),survival_control (SE),survival_inoculated_Phytophthora (%),survival_inoculated_Phytophthora (SE),Plant height (m)_WAH,Distribution,Susceptibility_McDougall_2005_or_Groves_2009,Susceptibility type,Seed treatment_Fryer_2006,Number seeds per punnet,Reduction in emergence,Reduction in survival at 3 months,Reduction in shoot growth,Reduction in root weight,Increase in root damage,Deaths of inoculated plants (%),Re-isolation of Phytophthora,Susceptibility Current Experiment,seed weight (mg) - mean,seed weight (mg) - SE,seed size (mm),viability - %,viability - SE,germination at 18/7C (%),germination at 18/7C (SE),germination at 23/12C (%),germination at 23/13C (SE),germination at 32/17C (%),germination at 32/17C (SE)
Olearia muelleri,3.1,,,,,,,,,1.5,"Wheatbelt, Geraldton, Esperance",Unknown,,None,15,,,,,,,,,,,,,,,,,,,
Rhagodia preissii,3.1,,,,,,,,,4,"Jarrah Forest, Wheatbelt, Geraldton",Unknown,,Smoke Water,150--180,,,,,,,,,,,,,,,,,,,
Acacia acuminata,3.1,,,,,,,,,7,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Unknown,,Hot Water,15,,,,,,,,,,,,,,,,,,,
Acacia dentifera,3.1,,,,,,,,,3,"Esperance, Jarrah Forest, Swan Coastal Plain",Unknown,,Hot Water,15,,,,,,,,,,,,,,,,,,,
Acacia drummondii,3.1,,,,,,,,,,"Jarrah Forest, Esperance",Resistant,field,Hot Water,15,,,,,,,,,,,,,,,,,,,
Acacia neurophylla,3.1,,,,,,,,,5,"Wheatbelt, Geraldton",Unknown,,Hot Water,15,,,,,,,,,,,,,,,,,,,
Acacia saligna,3.1,,,,,,,,,6,"Jarrah Forest, Wheatbelt, Esperance, Geraldton",Resistant,field,Hot Water,15,,,,,,,,,,,,,,,,,,,
Acacia pycnantha,3.1,,,,,,,,,8,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Unknown,,Hot Water,15,,,,,,,,,,,,,,,,,,,
Labichea lanceolata,3.1,,,,,,,,,3,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Unknown,,Hot Water,15,,,,,,,,,,,,,,,,,,,
Templetonia retusa,3.1,,,,,,,,,4,"Jarrah Forest, Swan Coastal Plain, Geraldton",Unknown,,Hot Water,15,,,,,,,,,,,,,,,,,,,
Hemiandra pungens,3.1,,,,,,,,,,"Jarrah Forest, Wheatbelt, Swan Coastal Plain, Geraldton",Resistant,field,Smoke Water,150--180,,,,,,,,,,,,,,,,,,,
Nuytsia floribunda,3.1,,,,,,,,,10,"Jarrah Forest, Wheatbelt, Swan Coastal Plain, Geraldton",Resistant,field,None,6,,,,,,,,,,,,,,,,,,,
Astartea scoparia,3.1,,,,,,,,,1.8,"Jarrah Forest, Wheatbelt, Swan Coastal plain",Unknown,,Smoke Water,150--180,,,,,,,,,,,,,,,,,,,
Callistemon phoeniceus,3.1,,,,,,,,,6,"Jarrah Forest, Wheatbelt, Esperance, Geraldton",Unknown,,None,150--180,,,,,,,,,,,,,,,,,,,
Calothamnus gilesii,3.1,,,,,,,,,3,"Wheatbelt, Geraldton",Unknown,,None,150--180,,,,,,,,,,,,,,,,,,,
Calothamnus hirsutus,3.1,,,,,,,,,1.5,"Jarrah Forest, Wheatbelt, Swan Coastal Plain, Geraldton",Unknown,,None,150--180,,,,,,,,,,,,,,,,,,,
Calothamnus quadrifidus,3.1,,,,,,,,,3,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Resistant,field,None,150--180,,,,,,,,,,,,,,,,,,,
Calothamnus sanguineus,3.1,,,,,,,,,2,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Resistant,field,None,150--180,,,,,,,,,,,,,,,,,,,
Eremaea pauciflora,3.1,,,,,,,,,4,"Jarrah Forest, Wheatbelt, Esperance, Geraldton",Unknown,,Smoke Water,150--180,,,,,,,,,,,,,,,,,,,
Eucalyptus macrocarpa,3.1,,,,,,,,,5,"Wheatbelt, Geraldton",Unknown,,None,15,,,,,,,,,,,,,,,,,,,
Hypocalymma angustifolium,3.1,,,,,,,,,1.5,"Jarrah Forest, Wheatbelt, Esperance",Resistant,field,Smoke Water,150--180,,,,,,,,,,,,,,,,,,,
Kunzea pulchella,3.1,,,,,,,,,3,"Jarrah Forest, Wheatbelt, Swan Coastal plain",Unknown,,None,150--180,,,,,,,,,,,,,,,,,,,
Kunzea recurva,3.1,,,,,,,,,2,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Susceptible,field,None,150--180,,,,,,,,,,,,,,,,,,,
Leptospermum erubescens,3.1,,,,,,,,,3,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Resistant,field,Smoke Water,150--180,,,,,,,,,,,,,,,,,,,
Melaleuca adnata,3.1,,,,,,,,,5,"Wheatbelt, Geraldton, Esperance",Unknown,,None,150--180,,,,,,,,,,,,,,,,,,,
Melaleuca conothamnoides,3.1,,,,,,,,,1.5,"Jarrah Forest, Wheatbelt, Geraldton",Unknown,,None,150--180,,,,,,,,,,,,,,,,,,,
Melaleuca preissiana,3.1,,,,,,,,,9,"Jarrah Forest, Wheatbelt, Swan Coastal Plain, Geraldton",Resistant,field,None,150--180,,,,,,,,,,,,,,,,,,,
Melaleuca seriata,3.1,,,,,,,,,,"Jarrah Forest, Wheatbelt, Swan Coastal plain",Resistant,field,None,150--180,,,,,,,,,,,,,,,,,,,
Regelia ciliata,3.1,,,,,,,,,2,"Jarrah Forest, Wheatbelt, Swan Coastal Plain, Geraldton",Unknown,,Smoke Water,150--180,,,,,,,,,,,,,,,,,,,
Regelia inops,3.1,,,,,,,,,2.5,"Jarrah Forest, Wheatbelt, Swan Coastal plain",Susceptible,field,Smoke Water,150--180,,,,,,,,,,,,,,,,,,,
Banksia caleyi,3.1,,,,,,,,,2,Esperance,Susceptible,glasshouse,None,10,,,,,,,,,,,,,,,,,,,
Banksia elderiana,3.1,,,,,,,,,4,"Wheatbelt, Esperance",Susceptible,glasshouse,None,10,,,,,,,,,,,,,,,,,,,
Banksia Iemanniana,3.1,,,,,,,,,5,Esperance,Susceptible,glasshouse,None,10,,,,,,,,,,,,,,,,,,,
Banksia repens,3.1,,,,,,,,,0.4,"Jarrah Forest, Wheatbelt, Esperance",Susceptible,field,None,10,,,,,,,,,,,,,,,,,,,
Banksia sessilis,3.1,,,,,,,,,8,"Jarrah Forest, Wheatbelt, Esperance",Susceptible,field,None,15,,,,,,,,,,,,,,,,,,,
Grevillea endlicheriana,3.1,,,,,,,,,3,"Jarrah Forest, Wheatbelt, Swan Coastal plain",Unknown,,Smoke Water,15,,,,,,,,,,,,,,,,,,,
Grevillea eriostachya,3.1,,,,,,,,,5,"Jarrah Forest, Wheatbelt, Swan Coastal Plain, Geraldton",Unknown,,Smoke Water,15,,,,,,,,,,,,,,,,,,,
Grevillea paniculata,3.1,,,,,,,,,3,"Jarrah Forest, Wheatbelt, Geraldton",Unknown,,Smoke Water,15,,,,,,,,,,,,,,,,,,,
Grevillea pterosperma,3.1,,,,,,,,,4,"Wheatbelt, Geraldton",Unknown,,Smoke Water,15,,,,,,,,,,,,,,,,,,,
Grevillea vestita,3.1,,,,,,,,,3,"Wheatbelt, Geraldton",Unknown,,Smoke Water,15,,,,,,,,,,,,,,,,,,,
Hakea anadenia,3.1,,,,,,,,,2,"Jarrah Forest, Swan Coastal Plain, Geraldton",Unknown,,None,15,,,,,,,,,,,,,,,,,,,
Hakea laurina,3.1,,,,,,,,,6,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Susceptible,field,None,8,,,,,,,,,,,,,,,,,,,
Hakea petiolaris,3.1,,,,,,,,,9,"Wheatbelt, Jarrah Forest, Swan Coastal plain",Resistant,field,N one,10,,,,,,,,,,,,,,,,,,,
Hakea ruscifolia,3.1,,,,,,,,,3,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Resistant,field,None,10,,,,,,,,,,,,,,,,,,,
