Family,Species,Plant height (m),Distribution,Susceptibility to P. cinnamomi,Susceptibility type,Seed treatment,Number seeds per punnet
Asteraceae,Olearia muelleri,1.5,"Wheatbelt, Geraldton, Esperance",Unknown,,None,15
Chenopodiaceae,Rhagodia preissii,4,"Jarrah Forest, Wheatbelt, Geraldton",Unknown,,Smoke Water,150--180
Fabaceae,Acacia acuminata,7,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Unknown,,Hot Water,15
Fabaceae,Acacia dentifera,3,"Esperance, Jarrah Forest, Swan Coastal Plain",Unknown,,Hot Water,15
Fabaceae,Acacia drummondii,,"Jarrah Forest, Esperance",Resistant,field,Hot Water,15
Fabaceae,Acacia neurophylla,5,"Wheatbelt, Geraldton",Unknown,,Hot Water,15
Fabaceae,Acacia saligna,6,"Jarrah Forest, Wheatbelt, Esperance, Geraldton",Resistant,field,Hot Water,15
Fabaceae,Acacia pycnantha,8,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Unknown,,Hot Water,15
Fabaceae,Labichea lanceolata,3,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Unknown,,Hot Water,15
Fabaceae,Templetonia retusa,4,"Jarrah Forest, Swan Coastal Plain, Geraldton",Unknown,,Hot Water,15
Lamiaceae,Hemiandra pungens,,"Jarrah Forest, Wheatbelt, Swan Coastal Plain, Geraldton",Resistant,field,Smoke Water,150--180
Loranthaceae,Nuytsia floribunda,10,"Jarrah Forest, Wheatbelt, Swan Coastal Plain, Geraldton",Resistant,field,None,6
Myrtaceae,Astartea scoparia,1.8,"Jarrah Forest, Wheatbelt, Swan Coastal plain",Unknown,,Smoke Water,150--180
Myrtaceae,Callistemon phoeniceus,6,"Jarrah Forest, Wheatbelt, Esperance, Geraldton",Unknown,,None,150--180
Myrtaceae,Calothamnus gilesii,3,"Wheatbelt, Geraldton",Unknown,,None,150--180
Myrtaceae,Calothamnus hirsutus,1.5,"Jarrah Forest, Wheatbelt, Swan Coastal Plain, Geraldton",Unknown,,None,150--180
Myrtaceae,Calothamnus quadrifidus,3,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Resistant,field,None,150--180
Myrtaceae,Calothamnus sanguineus,2,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Resistant,field,None,150--180
Myrtaceae,Eremaea pauciflora,4,"Jarrah Forest, Wheatbelt, Esperance, Geraldton",Unknown,,Smoke Water,150--180
Myrtaceae,Eucalyptus macrocarpa,5,"Wheatbelt, Geraldton",Unknown,,None,15
Myrtaceae,Hypocalymma angustifolium,1.5,"Jarrah Forest, Wheatbelt, Esperance",Resistant,field,Smoke Water,150--180
Myrtaceae,Kunzea pulchella,3,"Jarrah Forest, Wheatbelt, Swan Coastal plain",Unknown,,None,150--180
Myrtaceae,Kunzea recurva,2,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Susceptible,field,None,150--180
Myrtaceae,Leptospermum erubescens,3,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Resistant,field,Smoke Water,150--180
Myrtaceae,Melaleuca adnata,5,"Wheatbelt, Geraldton, Esperance",Unknown,,None,150--180
Myrtaceae,Melaleuca conothamnoides,1.5,"Jarrah Forest, Wheatbelt, Geraldton",Unknown,,None,150--180
