Botanical name,rating_encoded,rating_words,entity_type
Chloris spp ,+ ,low_risk,genus
Acacia aneura,~,no_known_risk,species
Acacia escelsa,~,no_known_risk,species
Acacia farnesiana,~,no_known_risk,species
Acacia georginae,+++,high_risk,species
Acacia glaucescens,++,moderate_risk,species
Acacia homalophylla,~,no_known_risk,species
Acacia karoo,~,no_known_risk,species
Acacia mearnsii,~,no_known_risk,species
Acacia nilotica,~,no_known_risk,species
Acacia paradoxa,~,no_known_risk,species
Acaena ovina,~,no_known_risk,species
Acetosa sagittata,~,no_known_risk,species
Aconitum napellus,+++,high_risk,species
Acroptilon repens ,++,moderate_risk,species
Adonis microcarpa,~,no_known_risk,species
Aesculus spp,+,low_risk,genus
Agapanthus spp,~,no_known_risk,genus
Agave spp,+,low_risk,genus
Ageratina adenophora,+,low_risk,species
Ageratum houstonianum,~,no_known_risk,species
Ageratum riparia,~,no_known_risk,species
Agrostis avenacea,+,low_risk,species
Ailanthus altissima,~,no_known_risk,species
Alhagi pseudalhagi,~,no_known_risk,species
Allium spp,+,low_risk,genus
Alocasia macrorrhiza,+,low_risk,species
Alternanthera pungens,~,no_known_risk,species
Amaranthus spp,+,low_risk,genus
Amaryllis belladonna,++,moderate_risk,species
Ambrosia artemisiifolia,+,low_risk,species
Ambrosia confertiflora,+,low_risk,species
Ambrosia psilostachya,+,low_risk,species
Ambrosia tenuifolia,+,low_risk,species
Ammi majus,+,low_risk,species
Amsinckia spp,++,moderate_risk,genus
Andropogon virginicus,~,no_known_risk,species
Angophora spp,~,no_known_risk,genus
Anredera cordifolia,~,no_known_risk,species
Anthemis cotula,+,low_risk,species
Apophyllum anomalum,~,no_known_risk,species
Araujia hortorum,+,low_risk,species
Arctotheca calendula,+,low_risk,species
Argemone mexicana,~,no_known_risk,species
Aristida spp,+,low_risk,genus
Asclepias curassavica,++,moderate_risk,species
Asclepias spp,+,low_risk,genus
Asphodelus fistulosus,~,no_known_risk,species
Atalaya hemiglauca,+,low_risk,species
Atriplex spp,+,low_risk,genus
Atropa belladonna,+++,high_risk,species
Avena spp,~,no_known_risk,genus
Baccharis halimifolia,+,low_risk,species
Bambusa spp,~,no_known_risk,genus
Bidens spp,+,low_risk,genus
Brachychiton populneus,+,low_risk,species
Brassica spp,+,low_risk,genus
Brugmansia candida,+,low_risk,species
Bryophyllum spp,++,moderate_risk,genus
Bursaria spinosa,~,no_known_risk,species
Buxus spp,+,low_risk,genus
Caesalpinia spp,++,moderate_risk,genus
Calandrina spp,+,low_risk,genus
Calicotome spinosa,~,no_known_risk,species
Callitris columellaris,~,no_known_risk,species
Callitris endlicheri,~,no_known_risk,species
Calotropis procera,++,moderate_risk,species
Cannabis sativa,+,low_risk,species
Capparis mitchellii,~,no_known_risk,species
Capsella bursa-pastoris,~,no_known_risk,species
Cardaria draba,+,low_risk,species
Cardiospermum spp,~,no_known_risk,genus
Carduus nutans,+,low_risk,species
Carduus pycnocephalus ,+,low_risk,species
Carex spp ,~ ,no_known_risk,genus
Carthamus lanatus ,~ ,no_known_risk,species
Carthamus leucocaulos ,~ ,no_known_risk,species
Cassia artemisioides ,++ ,moderate_risk,species
Cassia barclayana ,++ ,moderate_risk,species
Cassia eremophila ,++ ,moderate_risk,species
Cassia floribunda ,++ ,moderate_risk,species
Cassia occidentalis ,++ ,moderate_risk,species
Cassinia arcuata ,~ ,no_known_risk,species
Cassinia quinquefaria ,~ ,no_known_risk,species
Castanospermum australe ,+++ ,high_risk,species
Casuarina cristata ,~ ,no_known_risk,species
Cenchrus spp ,+ ,low_risk,genus
Cestrum spp ,+++ ,high_risk,genus
Chamaecytisus proliferus ,~ ,no_known_risk,species
Cheilanthes spp ,++ ,moderate_risk,genus
Chenopodium spp ,+ ,low_risk,genus
Chondrilla juncea ,~,no_known_risk,species
Chrysanthemoides  monilifera,~,no_known_risk,species
Cichorium intybus,~,no_known_risk,species
Cineraria lyrata,~,no_known_risk,species
Cinnamomum camphora,~,no_known_risk,species
Cirsium arvense,+,low_risk,species
Cirsium vulgare,+,low_risk,species
Citrullus colocynthis,+,low_risk,species
Citrullus lanatus,+,low_risk,species
Codonocarpus spp,~,no_known_risk,genus
Conium maculatum,+++,high_risk,species
Consolida ambigua,+++,high_risk,species
Convallaria majalis,++,moderate_risk,species
Convolvulus arvensis,~,no_known_risk,species
Conyza albida,~,no_known_risk,species
Coreopsis lanceolata,~,no_known_risk,species
Cortaderia spp,~,no_known_risk,genus
Cotoneaster spp,~,no_known_risk,genus
Cotula australis,~,no_known_risk,species
Craspedia spp,~,no_known_risk,genus
Crataegus spp,~,no_known_risk,genus
Crotolaria spp,++,moderate_risk,genus
Cryptostegia grandiflora,+++,high_risk,species
Cucumis myriocarpus,+,low_risk,species
Cuscuta spp,~,no_known_risk,genus
Cycas spp,~,no_known_risk,genus
Cynara cardunculus,~,no_known_risk,species
Cynodon spp,+,low_risk,genus
Cyperus aromaticus,~,no_known_risk,species
Cyperus rotundus,~,no_known_risk,species
Cytisus scoparius,~,no_known_risk,species
Danthonia spp,~,no_known_risk,genus
Daphne spp,+++,high_risk,genus
