No.,Speciesa,Mortality (%)b,No. inoculated,No. dead,No. dead plants yielding P. cinnamomi,No. survivingplants yielding P. cinnamomi,Average survival time and range (weeks),Log-rank (Mantel–Cox) test,No. control plants,No. control plants deadd,Category of susceptibilitye,Batch
1,Leptospermum continentale,26·7,15,4,4,10,16·0 (7–21),NS,5,0,MS,Batch 1 (inoculated in spring)
2,Leptospermum juniperinum,33·3,15,5,5,2,11·4 (7–21),NS,5,0,MS,Batch 1 (inoculated in spring)
3,Acacia paradoxa,6·7,15,1,1,12,5 (5–21),NS,5,0,SS,Batch 1 (inoculated in spring)
4,Acacia melanoxylon,6·7,15,1,1,11,21,NS,5,0,SS,Batch 1 (inoculated in spring)
5,Acacia verniciflua,46·7,15,8,7,6,9·6 (4–15),NS,5,0,MS,Batch 1 (inoculated in spring)
6,Correa decumbens,66·7,15,13,10,0,9·3 (5–14),S,5,0,MS,Batch 1 (inoculated in spring)
7,Prostanthera eurybioides,46·7,15,7,7,6,14·1 (4–21),NS,3,0,MS,Batch 1 (inoculated in spring)
8,Platylobium obtusangulum,83·3,6,6,5,0,7 (3–16),NS,2,2,HS,Batch 1 (inoculated in spring)
,Eucalyptus sieberi,86·7,15,15,13,0,4·8 (2–5),S,5,1,,Batch 1 (inoculated in spring)
9,Eucalyptus microcarpa,14·3,7,1,1,6,18,NS,3,0,SS,Batch 2 (inoculated in spring)
10,Eucalyptus dalrympleana,13·3,15,3,2,11,6 (5–18),NS,5,1,SS,Batch 2 (inoculated in spring)
11,Eucalyptus baxteri,86·7,15,15,13,0,5·3 (3–9),S,3,1,HS,Batch 2 (inoculated in spring)
12,Eucalyptus cladocalyx,20·0,15,4,3,10,10·5 (5–18),NS,4,0,MS,Batch 2 (inoculated in spring)
13,Eucalyptus viminalis var. viminalis,20·0,10,2,2,7,16·5 (16–17),NS,3,1,MS,Batch 2 (inoculated in spring)
14,Eucalyptus odorata,25·0,4,1,1,1,5,–,0,0,MS,Batch 2 (inoculated in spring)
15,Acacia leiophylla,13·3,15,4,2,5,12·8 (8–18),NS,5,0,SS,Batch 2 (inoculated in spring)
16,Leptospermum myrsinoides,26·7,15,5,5,9,14·4 (11–18),NS,4,1,MS,Batch 2 (inoculated in spring)
17,Pultenaea daphnoides,100,5,5,5,0,6·8 (2–10),NS,3,1,HS,Batch 2 (inoculated in spring)
18,Pultenaea largiflorens,80·0,5,5,4,0,3,S,3,0,HS,Batch 2 (inoculated in spring)
19,Pultenaea graveolens,87·5,8,8,7,0,6·3 (4–8),S,4,1,HS,Batch 2 (inoculated in spring)
20,Correa aemula,50·0,4,4,2,0,2·7 (2–4),–,0,0,MS,Batch 2 (inoculated in spring)
,Eucalyptus sieberi,80·0,15,14,12,1,12·5 (8–17),S,5,2,,Batch 2 (inoculated in spring)
21,Acacia enterocarpa,0,4,0,0,2,12,NS,3,0,RH,Batch 3 (inoculated in summer)
22,Acacia pinguifolia,0,5,0,0,2,12,NS,3,0,RH,Batch 3 (inoculated in summer)
23,Acacia spooneri,6·7,15,1,1,11,12,NS,5,0,SS,Batch 3 (inoculated in summer)
24,Allocasuarina robusta,80·0,15,14,12,0,5·5 (3–12),S,5,1,HS,Batch 3 (inoculated in summer)
25,Brachyscome diversifolia,0,9,2,0,0,12,NS,3,0,R,Batch 3 (inoculated in summer)
26,Banksia marginata,100,15,15,15,0,6·3 (3–12),S,5,2,HS,Batch 3 (inoculated in summer)
27,Kunzea pomifera,93·3,15,15,14,0,6 (3–12),S,5,2,HS,Batch 3 (inoculated in summer)
,Eucalyptus sieberi,100,15,15,15,0,6·4 (3–12),S,5,0,,Batch 3 (inoculated in summer)
28,Allocasuarina robusta,20,10,3,2,7,11·7 (7–20),NS,10,3,MS,Batch 4 (inoculated in winter)
29,Austrodanthonia carphoides,0,10,10,0,0,31·0 (20–36),–,10,10,IC,Batch 4 (inoculated in winter)
30,Allocasuarina verticillata,33·3,15,6,5,5,29·7 (27–36),NS,5,0,MS,Batch 5 (inoculated in winter)
31,Allocasuarina muelleriana,100,15,15,15,0,7 (4–12),S,5,0,HS,Batch 5 (inoculated in winter)
32,Prostanthera eurybioides,73·3,15,14,11,0,8·6 (3–29),NS,5,2,MS,Batch 6 (inoculated in winter)
33,Correa calycina,20·0,15,7,3,0,8·6 (3–29),NS,5,2,MS,Batch 6 (inoculated in winter)
34,Hakea rostrata,30·8,13,7,4,2,15·1 (3–44),NS,5,4,MS,Batch 6 (inoculated in winter)
35,Hakea rugosa,11·1,9,6,1,0,27·6 (3–44),S,3,3,IC,Batch 6 (inoculated in winter)
36,Pomaderris halmaturina ssp. halmaturina,40·0,10,6,4,4,19·7 (4–29),NS,5,1,MS,Batch 7 (inoculated in winter)
37,Olearia pannosa ssp. pannosa,45·5,11,8,5,3,21·3 (3–41),NS,3,1,MS,Batch 7 (inoculated in winter)
38,Oreomyrrhis eriopoda,10·0,10,10,1,0,24·4 (4–34),NS,4,3,IC,Batch 7 (inoculated in winter)
39,Prostanthera eurybioides,46·7,15,15,7,0,25·3 (3–35),NS,5,4,MS,Batch 7 (inoculated in winter)
40,Glycine tabacina,0,15,15,0,0,25·3 (3–35),NS,4,3,IC,Batch 7 (inoculated in winter)
