Family,Species,Distribution,EPBC Act,Putative IUCN category,Isolated from plant tissue,No response,Mild response,Severe response,Habitat suitability,Risk,Expert change / reason for change
ACANTHACEAE,Avicennia marina,"n,nt,q,s,v,w",,,Weste (2001),,,Weste (2001),Unsuitable,Low,Habitat suitability changed to Unsuitable because of the saline habitat in which it grows but deemed as based on EEO
AMARANTHACEAE,Ptilotus declinatus,w,,,,McDougall (1997),,,Suitable,Low,
AMARANTHACEAE,Ptilotus manglesii,w,,,,Groves et al. (2009),,Shearer & Dillon (1996),Suitable,Low,
ANARTHRIACEAE,Anarthria gracilis,w,,,Wills (1993),"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
ANARTHRIACEAE,Anarthria prolifera,w,,,Wills (1993),"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
ANARTHRIACEAE,Anarthria scabra,w,,,Wills (1993),"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
ANARTHRIACEAE,Lyginia barbata,w,,,,Barrett (pers. comm.),,,Suitable,Low,
ANARTHRIACEAE,Lyginia imberbis,w,,,,Groves et al. (2009),,,Suitable,Low,
ANNONACEAE,Goniothalamus australis,q,,V,,,,Worboys et al. (2003),Suitable,Moderate,
APIACEAE,Actinotus bellidioides,"t,v",,,"Podger et al. (1990), Podger & Brown (1989)",,Rudman (pers. comm.),,Suitable,Low,
APIACEAE,Actinotus helianthi,"n,q",,,Fraser (1956),,,,Suitable,Low,
APIACEAE,Actinotus rhomboideus,w,,,DBCA (2021),Barrett (pers. comm.),,,Suitable,Low,
APIACEAE,Apium prostratum,"n,q,s,t,v,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,
APIACEAE,Oschatzia saxifraga,t,,V,,,Rudman & Balmer (2008),,Suitable,Low,
APIACEAE,Pentapeltis peltigera,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,McDougall (1997),Suitable,Low,
APIACEAE,Platysace compressa,w,,,"Podger (1968), Shearer & Dillon (1995), Shivas (1989)",,,"Shearer & Dillon (1995), Titze & Palzer (1969), McDougall (1997)",Suitable,Low,
APIACEAE,Platysace heterophylla,"n,s,v",,,Weste (2001),,,Weste (2001),Suitable,Low,
APIACEAE,Platysace lanceolata,n,,,McDougall (pers. comm.),,McDougall (pers. comm.),,Suitable,Low,
APIACEAE,Platysace tenuissima,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,,Suitable,Low,
APIACEAE,Trachymene pilosa,"s,v,w",,,Crone et al. (2013),Crone et al. (2013),,,Suitable,Low,
