taxon_name,suggested_name,EPBCA sp. name,EPBCA status,taxon_distribution,EPBCA no.,species,EPBCA common name,Group,taxon_group,EBPCA_Status,EPBCA_not_extinct,Other sci names,Listing date,listing criteria/,1,2,3,4,5,assessment notes,other notes,accepted_name
Abutilon julianae,Abutilon julianae,Abutilon julianae,Critically Endangered,NI,27797,1,Norfolk Island Abutilon,Plant,1,CR,1,NA,11/25/2003,YES,Insufficient info,Insufficient info,Insufficient info,CR,Insufficient info,NA,NA,Abutilon julianae
Acacia ammophila,Acacia ammophila,Acacia ammophila,Vulnerable,Qld,3763,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia ammophila
Acacia anomala,Acacia anomala,Acacia anomala,Vulnerable,WA,8153,1,"Grass Wattle, Chittering Grass Wattle",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia anomala
Acacia aphylla,Acacia aphylla,Acacia aphylla,Vulnerable,WA,13553,1,Leafless Rock Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia aphylla
Acacia aprica,Acacia aprica,Acacia aprica,Endangered,WA,64821,1,Blunt Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia aprica
Acacia araneosa,Acacia araneosa,Acacia araneosa,Vulnerable,SA,20767,1,"Spidery Wattle, Balcanoona Wattle",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia araneosa
Acacia aristulata,Acacia aristulata,Acacia aristulata,Endangered,WA,64822,1,Watheroo Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia aristulata
Acacia ataxiphylla subsp. magna,Acacia ataxiphylla subsp. magna,Acacia ataxiphylla subsp. magna,Endangered,WA,64823,0,Large-fruited Tammin Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia ataxiphylla subsp. magna
Acacia attenuata,Acacia attenuata,Acacia attenuata,Vulnerable,Qld,10690,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia attenuata
Acacia auratiflora,Acacia auratiflora,Acacia auratiflora,Endangered,WA,64824,1,Orange-flowered Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia auratiflora
Acacia awestoniana,Acacia awestoniana,Acacia awestoniana,Vulnerable,WA,55562,1,Stirling Range Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia awestoniana
Acacia axillaris,Acacia axillaris,Acacia axillaris,Vulnerable,Tas,13563,1,"Midlands Mimosa, Midlands Wattle",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia axillaris
Acacia baueri subsp. aspera,Acacia baueri subsp. aspera,Acacia baueri subsp. aspera,Endangered,NSW,18662,0,NA,Plant,1,EN,1,NA,11/15/2023,YES,Insufficient info,EN (B1ab(v)+B2ab(v)),EN (C2a(i)),EN,Insufficient info,NA,NA,Acacia baueri subsp. aspera
Acacia blayana,Acacia blayana,Acacia blayana,Critically Endangered,NSW,56297,1,Blay's Wattle,Plant,1,CR,1,NA,11/15/2023,YES,Insufficient info,CR (B1ab(iii)),Insufficient info,Insufficient info,Insufficient info,NA,NA,Acacia blayana
Acacia brachypoda,Acacia brachypoda,Acacia brachypoda,Endangered,WA,55594,1,Western Wheatbelt Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia brachypoda
Acacia bynoeana,Acacia bynoeana,Acacia bynoeana,Vulnerable,NSW,8575,1,"Bynoe's Wattle, Tiny Wattle",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia bynoeana
Acacia caerulescens,Acacia caerulescens,Acacia caerulescens,Vulnerable,Vic,21883,1,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia caerulescens
Acacia carneorum,Acacia carneorum,Acacia carneorum,Vulnerable,"SA, NSW",66685,1,"Needle Wattle, Dead Finish, Purple-wood Wattle",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia carneorum
Acacia chapmanii subsp. australis,Acacia chapmanii subsp. australis,Acacia chapmanii subsp. australis,Endangered,WA,65249,0,NA,Plant,1,EN,1,NA,8/18/2006,YES,VU,EN,EN,VU,Insufficient info,NA,NA,Acacia chapmanii subsp. australis
Acacia cochlocarpa subsp. cochlocarpa,Acacia cochlocarpa subsp. cochlocarpa,Acacia cochlocarpa subsp. cochlocarpa,Endangered,WA,23877,0,Spiral-fruited Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia cochlocarpa subsp. cochlocarpa
Acacia cochlocarpa subsp. velutinosa,Acacia cochlocarpa subsp. velutinosa,Acacia cochlocarpa subsp. velutinosa,Critically Endangered,WA,65112,0,Velvety Spiral Pod Wattle,Plant,1,CR,1,NA,8/18/2006,YES,Insufficient info,CR,CR,EN,Insufficient info,NA,NA,Acacia cochlocarpa subsp. velutinosa
Acacia constablei,Acacia constablei,Acacia constablei,Critically Endangered,NSW,10798,1,Narrabarba Wattle,Plant,1,CR,1,NA,3/31/2023,YES,EN (A2a),CR (B1ab(v)),EN (C2a(i)),EN (D1),Insufficient info,NA,NA,Acacia constablei
Acacia courtii,Acacia courtii,Acacia courtii,Vulnerable,NSW,56299,1,Northern Brother Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia courtii
