Species name adjusted,Species name,Common name,Group,EPBC Act status,IUCN threat level 1,IUCN threat level 1 description,IUCN threat level 2 (or finest level available),IUCN threat level 2 description (or finest level available),IUCN threat level 3 (or finest level available),IUCN threat level 3 description (or finest level available),Broad level threat,Sub category threat,Timing,Scope,Severity,Timing score,"Sum of timing, scope, severity",Impact score,Expert threat notes
Saccolaimus saccolaimus nudicluniatus,Saccolaimus saccolaimus nudicluniatus,"Bare-rumped sheath-tailed bat, bare-rumped sheathtail bat",Mammals,VU,2,Agriculture and aquaculture,2.3,Livestock farming and ranching,2.3,Livestock farming and ranching,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Short term,3,3,1,7,Medium,Vegetation change-livestock grazing
Sankowskya stipularis,Sankowskya stipularis,NA,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (pigs),Invasive species and diseases,Invasive ungulate,Ongoing,3,1,3,7,Medium,Pigs
Sannantha crenulata,Sannantha crenulata,Fern-leaf baeckea,Plants,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Unspecified weeds
Scaevola macrophylla,Scaevola macrophylla,Large-flowered scaevola,Plants,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,1,3,7,Medium,Disappeared! recovery actions extremely limited beyond ongoing surveys; short-lived disturbance weed that recruits after fire
Selaginella andrewsii,Selaginella andrewsii,Tallebudgera spikemoss,Plants,VU,2,Agriculture and aquaculture,2.3,Livestock farming and ranching,2.3,Livestock farming and ranching,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,3,1,3,7,Medium,Stock trampling
Senecio evansianus,Senecio evansianus,A daisy,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Weeds; kikuyu; has not been found in recent years - possibly some taxonomic clarification needed
Senecio macrocarpus,Senecio macrocarpus,"Large-fruit fireweed, large-fruit groundsel",Plants,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Unspecified weeds
Setonix brachyurus,Setonix brachyurus,Quokka,Mammals,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (foxes),Invasive species and diseases,Invasive predator,Ongoing,2,2,3,7,Medium,Foxes
Setonix brachyurus,Setonix brachyurus,Quokka,Mammals,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,Ongoing,2,2,3,7,Medium,No threat info
Setonix brachyurus,Setonix brachyurus,Quokka,Mammals,VU,8,"Invasive and other problematic species, genes and diseases",8.2,Problematic native species/diseases,8.2.1,Unspecified species (native browsers),Disrupted ecosystem and population processes,Problematic native species,Ongoing,2,2,3,7,Medium,Competition from native animals
Setonix brachyurus,Setonix brachyurus,Quokka,Mammals,VU,2,Agriculture and aquaculture,2,Agriculture and aquaculture,2,Agriculture and aquaculture,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,3,1,3,7,Medium,Other habitat degradation
Sinumelon bednalli,Sinumelon bednalli,Bednall's land snail,Invertebrates,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,2,2,3,7,Medium,Increase in fire frequency/intensity
Solanum dissectum,Solanum dissectum,NA,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,2,2,3,7,Medium,Named species
Solanum johnsonianum,Solanum johnsonianum,NA,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,2,2,3,7,Medium,Named species
Solanum sulphureum,Solanum sulphureum,NA,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Weeds - aggressive pasture grasses
Sphaerolobium acanthos,Sphaerolobium acanthos,Grampians globe-pea,Plants,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Ongoing,3,1,3,7,Medium,Phytophthora -suspected cause of dieback
Sphaerolobium acanthos,Sphaerolobium acanthos,Grampians globe-pea,Plants,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (goats),Invasive species and diseases,Invasive ungulate,Ongoing,3,1,3,7,Medium,Goats and deer
Sphaerolobium acanthos,Sphaerolobium acanthos,Grampians globe-pea,Plants,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (deer),Invasive species and diseases,Invasive ungulate,Ongoing,3,1,3,7,Medium,Goats and deer
Spicospina flammocaerulea,Spicospina flammocaerulea,Sunset frog,Frogs,VU,2,Agriculture and aquaculture,2,Agriculture and aquaculture,2,Agriculture and aquaculture,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,2,2,3,7,Medium,Habitat destruction modification
Spicospina flammocaerulea,Spicospina flammocaerulea,Sunset frog,Frogs,VU,7,Natural system modifications,7.1,Fire and fire suppression,7.1,Fire and fire suppression,Adverse fire regimes,Other change in fire regime/trend unspecified,Ongoing,3,1,3,7,Medium,Inappropriate fire regimes
Spyridium lawrencei,Spyridium lawrencei,Small-leaf spyridium,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Weeds; no ongoing decline documented due to recovery actions in habitat recovering well from recent fires
Sternula nereis nereis,Sternula nereis nereis,Eastern australian fairy tern,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (rats),Invasive species and diseases,Invasive rodent,Ongoing,1,3,3,7,Medium,Black rat
Sternula nereis nereis,Sternula nereis nereis,Eastern australian fairy tern,Birds,VU,6,Human intrusions and disturbance,6.1,Recreational activities,6.1,Recreational activities,Overexploitation and other direct harm from human activities,Human intrusion,Ongoing,1,3,3,7,Medium,Dog walking
Sternula nereis nereis,Sternula nereis nereis,Eastern australian fairy tern,Birds,VU,7,Natural system modifications,7.2,Dams and water management/use,7.2,Dams and water management/use,Changed surface and groundwater regimes,Dams and altered flow regimes,Ongoing,1,3,3,7,Medium,Large dams
Sternula nereis nereis,Sternula nereis nereis,Eastern australian fairy tern,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (foxes),Invasive species and diseases,Invasive predator,Ongoing,1,3,3,7,Medium,Red fox
Sternula nereis nereis,Sternula nereis nereis,Eastern australian fairy tern,Birds,VU,1,Residential and commercial development,1.3,Tourism and recreation areas,1.3,Tourism and recreation areas,"Habitat loss, fragmentation and degradation",Urban and commercial development and maintenance,Ongoing,1,3,3,7,Medium,Tourism and recreational development
Sternula nereis nereis,Sternula nereis nereis,Eastern australian fairy tern,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (cats),Invasive species and diseases,Invasive predator,Ongoing,1,3,3,7,Medium,Cats
Sternula nereis nereis,Sternula nereis nereis,Eastern australian fairy tern,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.2,Problematic native species/diseases,8.2.2,Named species (silver gull),Disrupted ecosystem and population processes,Problematic native species,Ongoing,2,2,3,7,Medium,Silver gull
Stipiturus malachurus intermedius,Stipiturus malachurus intermedius,Fleurieu peninsula southern emu-wren,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Ongoing,3,1,3,7,Medium,Phytophthora
Stipiturus malachurus intermedius,Stipiturus malachurus intermedius,Fleurieu peninsula southern emu-wren,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (rats),Invasive species and diseases,Invasive rodent,Ongoing,3,1,3,7,Medium,Black rat
Stipiturus malachurus intermedius,Stipiturus malachurus intermedius,Fleurieu peninsula southern emu-wren,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (cats),Invasive species and diseases,Invasive predator,Ongoing,1,3,3,7,Medium,Cats
Stipiturus malachurus intermedius,Stipiturus malachurus intermedius,Fleurieu peninsula southern emu-wren,Birds,EN,6,Human intrusions and disturbance,6.1,Recreational activities,6.1,Recreational activities,Overexploitation and other direct harm from human activities,Human intrusion,Ongoing,1,3,3,7,Medium,Recreational activities -dog walking
Stipiturus malachurus intermedius,Stipiturus malachurus intermedius,Fleurieu peninsula southern emu-wren,Birds,EN,7,Natural system modifications,7.2,Dams and water management/use,7.2.9,Small Dams,Changed surface and groundwater regimes,Dams and altered flow regimes,Ongoing,2,2,3,7,Medium,Small dams - assumes that and without environmental legislation and more small dams would have been built and leading to habitat loss
Stipiturus malachurus intermedius,Stipiturus malachurus intermedius,Fleurieu peninsula southern emu-wren,Birds,EN,2,Agriculture and aquaculture,2.3,Livestock farming and ranching,2.3.2,"Small-holder grazing, ranching or farming","Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,1,3,3,7,Medium,Small-holder grazing and ranching or farming
