Species name adjusted,Species name,Common name,Group,EPBC Act status,IUCN threat level 1,IUCN threat level 1 description,IUCN threat level 2 (or finest level available),IUCN threat level 2 description (or finest level available),IUCN threat level 3 (or finest level available),IUCN threat level 3 description (or finest level available),Broad level threat,Sub category threat,Timing,Scope,Severity,Timing score,"Sum of timing, scope, severity",Impact score,Expert threat notes
Acacia aprica,Acacia aprica,Blunt wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia ataxiphylla subsp. magna,Acacia ataxiphylla subsp. magna,Large-fruited tammin wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia auratiflora,Acacia auratiflora,Orange-flowered wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia awestoniana,Acacia awestoniana,Stirling range wattle,Plants,VU,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia brachypoda,Acacia brachypoda,NA,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia chapmanii subsp. australis,Acacia chapmanii subsp. australis,NA,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia cochlocarpa subsp. cochlocarpa,Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia cochlocarpa subsp. velutinosa,Acacia cochlocarpa subsp. velutinosa,NA,Plants,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia cretacea,Acacia cretacea,Chalky wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia glandulicarpa,Acacia glandulicarpa,Hairy-pod wattle,Plants,VU,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia insolita subsp. recurva,Acacia insolita subsp. recurva,NA,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia lanuginophylla,Acacia lanuginophylla,NA,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia leptalea,Acacia leptalea,Chinocup wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia leptoneura,Acacia leptoneura,NA,Plants,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Only 2 plants left and possibly some in seedbank
Acacia lobulata,Acacia lobulata,Chiddarcooping wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia pharangites,Acacia pharangites,NA,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia spilleriana,Acacia spilleriana,Spiller's wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Apparently needs fire to recruit
Acacia subflexuosa subsp. capillata,Acacia subflexuosa subsp. capillata,Hairy-stemmed zig-zag wattle,Plants,EN,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Ongoing,3,3,3,9,High,Huge decline due to slashing and grading of roadside habitat
Acacia subflexuosa subsp. capillata,Acacia subflexuosa subsp. capillata,Hairy-stemmed zig-zag wattle,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Acacia terminalis subsp. terminalis ms,Acacia terminalis subsp. terminalis ms,Sunshine wattle (sydney region),Plants,EN,1,Residential and commercial development,1.1,Housing and urban areas,1.1,Housing and urban areas,"Habitat loss, fragmentation and degradation",Urban and commercial development and maintenance,Ongoing,3,3,3,9,High,Housing and urban areas
Acacia volubilis,Acacia volubilis,"Tangled wattle, tangle wattle",Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Documented ongoing decline
Acacia woodmaniorum,Acacia woodmaniorum,NA,Plants,EN,3,Energy production and mining,3.2,Mining and quarrying,3.2,Mining and quarrying,"Habitat loss, fragmentation and degradation",Energy production and mining,Ongoing,3,3,3,9,High,Mining has or will destroy >30% of population
Acanthiza iredalei rosinae,Acanthiza iredalei rosinae,Gulf st vincent slender-billed thornbill,Birds,VU,11,Climate change and severe weather,11.1,Habitat shifting and alteration,11.1,Habitat shifting and alteration,Climate change and severe weather,Sea-level rise,Ongoing,3,3,3,9,High,Habitat shifting and alteration -sea level rise
Acanthiza pusilla archibaldi,Acanthiza pusilla archibaldi,King Island brown thornbill,Birds,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,3,3,3,9,High,Increase in fire frequency/intensity
Acanthornis magnus greenianus,Acanthornis magnus greenianus,King island scrubtit,Birds,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,3,3,3,9,High,Increase in fire frequency/intensity
Amytornis dorotheae,Amytornis dorotheae,Carpentarian grasswren,Birds,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,3,3,3,9,High,Increase in fire frequency/intensity - management ad hoc and ill-coordinated
Amytornis modestus obscurior,Amytornis modestus obscurior,Grey range thick-billed grasswren,Birds,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (foxes),Invasive species and diseases,Invasive predator,Ongoing,3,3,3,9,High,Foxes
Amytornis modestus obscurior,Amytornis modestus obscurior,Grey range thick-billed grasswren,Birds,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (cats),Invasive species and diseases,Invasive predator,Ongoing,3,3,3,9,High,Cats
Amytornis modestus obscurior,Amytornis modestus obscurior,Grey range thick-billed grasswren,Birds,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (rabbits),Invasive species and diseases,Invasive rabbit,Ongoing,3,3,3,9,High,European rabbit
Amytornis woodwardi,Amytornis woodwardi,White-throated grasswren,Birds,VU,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,3,3,3,9,High,Increase in fire frequency/intensity
Antechinus argentus,Antechinus argentus,Silver-headed antechinus,Mammals,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (pigs),Invasive species and diseases,Invasive ungulate,Ongoing,3,3,3,9,High,Habitat disturbance and competition by pigs
Antechinus argentus,Antechinus argentus,Silver-headed antechinus,Mammals,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (horses),Invasive species and diseases,Invasive ungulate,Ongoing,3,3,3,9,High,Habitat disturbance bycattle -bos taurusand horses -equus caballus
Azorella macquariensis,Azorella macquariensis,"Macquarie azorella, macquarie cushions",Plants,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (disease),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Dieback -seems to be due to a secondary pathogen responding to environmental stresses on azorella; is still active across the island
Banksia anatona,Banksia anatona,Cactus dryandra,Plants,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Phytophthora in all populations
Banksia brownii,Banksia brownii,"Brown's banksia, feather-leaved banksia",Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Phytophthora and aerial canker
Banksia brownii,Banksia brownii,"Brown's banksia, feather-leaved banksia",Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (aerial canker),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Phytophthora and aerial canker
Banksia cuneata,Banksia cuneata,"Matchstick banksia, quairading banksia",Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Lack of recruitment
Banksia fuscobractea,Banksia fuscobractea,Dark-bract banksia,Plants,CR,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Ongoing,3,3,3,9,High,Roads and railroads
Banksia ionthocarpa,Banksia ionthocarpa,Kamballup dryandra,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Banksia montana,Banksia montana,Stirling range dryandra,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Phytophthora
Banksia oligantha,Banksia oligantha,NA,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Banksia serratuloides subsp. perissa,Banksia serratuloides subsp. perissa,Northern serrate dryandra,Plants,CR,7,Natural system modifications,7.1,Fire and fire suppression,7.1,Fire and fire suppression,Adverse fire regimes,Other change in fire regime/trend unspecified,Ongoing,3,3,3,9,High,Not well understood but demonstrated decline due to wildfire at one popn and lack of recruitment at others
Banksia vincentia,Banksia vincentia,NA,Plants,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,3,3,3,9,High,Numerous plants killed in unplanned burn in very small popn
Banksia vincentia,Banksia vincentia,NA,Plants,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Phytophthora
Bertmainius tingle,Bertmainius tingle,Tingle pygmy trapdoor spider,Invertebrates,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,3,3,3,9,High,Increase in fire frequency/intensity
Brachionichthys hirsutus,Brachionichthys hirsutus,Spotted handfish,Fish,CE,5,Biological resource use,5.4,Fishing and harvest aquatic resources,5.4.3,Unintentional effects: subsistence/small scale (species being assessed is not the target) [harvest],"Habitat loss, fragmentation and degradation",Fisheries,Ongoing,3,3,3,9,High,Habitat modifications as a result of recreational fisheries impacts
Brachionichthys hirsutus,Brachionichthys hirsutus,Spotted handfish,Fish,CE,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (northern sea star),Invasive species and diseases,Invasive invertebrate,Ongoing,3,3,3,9,High,Northern sea star
Calyptorhynchus banksii graptogyne,Calyptorhynchus banksii graptogyne,South-eastern red-tailed black-cockatoo,Birds,EN,11,Climate change and severe weather,11.2,Droughts,11.2,Droughts,Climate change and severe weather,Increased frequency/severity of droughts,Ongoing,3,3,3,9,High,Increased frequency or length of droughts
Calyptorhynchus banksii naso,Calyptorhynchus banksii naso,Forest red-tailed black-cockatoo,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (european honey bees),Invasive species and diseases,Invasive invertebrate,Ongoing,3,3,3,9,High,European honey bee
Cinclosoma punctatum anachoreta,Cinclosoma punctatum anachoreta,Mount lofty ranges spotted quail-thrush,Birds,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,3,3,3,9,High,Increase in fire frequency/intensity
Crocidura trichura,Crocidura trichura,Christmas Island Shrew,Mammals,CR (PE),8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (disease),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Novel disease
Darwinia collina,Darwinia collina,NA,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.2,Problematic native species/diseases,8.2.2,Named species (quokka),Disrupted ecosystem and population processes,Problematic native species,Ongoing,3,3,3,9,High,Quokka grazing
Darwinia collina,Darwinia collina,NA,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Phytophthora
Dasyurus maculatus gracilis,Dasyurus maculatus gracilis,"Spotted-tailed quoll (north queensland), yarri",Mammals,VU,11,Climate change and severe weather,11,Climate change and severe weather,11,Climate change and severe weather,Climate change and severe weather,Climate change and severe weather-Unspecified,Ongoing,3,3,3,9,High,Climate change severe weather events
Dasyurus maculatus maculatus (SE mainland population),Dasyurus maculatus maculatus (SE mainland populations),"Spot-tailed Quoll, Spotted-tail Quoll, Tiger Quoll (South eastern mainland population)",Mammals,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (foxes),Invasive species and diseases,Invasive predator,Ongoing,3,3,3,9,High,Foxes
Daviesia bursarioides,Daviesia bursarioides,Three springs daviesia,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Needs disturbance to recruit; fire difficult to implement
Daviesia cunderdin,Daviesia cunderdin,Cunderdin daviesia,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Daviesia dielsii,Daviesia dielsii,Diels' daviesia,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Daviesia glossosema,Daviesia glossosema,Maroon-flowered daviesia,Plants,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Phytophtora
Drakaea elastica,Drakaea elastica,"Glossy-leafed hammer orchid, glossy-leaved hammer orchid,  warty hammer orchid",Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Duma horrida subsp. abdita,Duma horrida subsp. abdita,Remote thorny lignum,Plants,CR,7,Natural system modifications,7.2,Dams and water management/use,7.2,Dams and water management/use,Changed surface and groundwater regimes,Dams and altered flow regimes,Ongoing,3,3,3,9,High,Salinity
Epthianura crocea tunneyi,Epthianura crocea tunneyi,Alligator rivers yellow chat,Birds,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.3,Trend unknown/unrecorded,Adverse fire regimes,Other change in fire regime/trend unspecified,Ongoing,3,3,3,9,High,Trend unknown/unrecorded
Epthianura crocea tunneyi,Epthianura crocea tunneyi,Alligator rivers yellow chat,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (water buffalo),Invasive species and diseases,Invasive ungulate,Ongoing,3,3,3,9,High,Water buffalo
Eremophila glabra subsp. Scaddan (C. Turley s.n. 10/11/2005),Eremophila glabra subsp. Scaddan (C. Turrey s.n. 10/11/2005),NA,Plants,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Eremophila koobabbiensis,Eremophila koobabbiensis,"Koobabbie eremophila, koobabbie poverty bush",Plants,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Eremophila nivea,Eremophila nivea,Silky eremophila,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Eremophila pinnatifida,Eremophila pinnatifida,Pinnate-leaf eremophila,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Eremophila scaberula,Eremophila scaberula,Rough emu bush,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Eucalyptus argophloia,Eucalyptus argophloia,"Queensland white gum, queensland western white gum, lapunyah, scrub gum, white gum",Plants,VU,2,Agriculture and aquaculture,2.3,Livestock farming and ranching,2.3,Livestock farming and ranching,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,3,3,3,9,High,Livestock farming and ranching
"Eucalyptus sp. cattai (gregson s.n., 28 aug 1954)","Eucalyptus sp. cattai (gregson s.n., 28 aug 1954)",NA,Plants,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Suppression in fire frequency/intensity
Galaxias fuscus,Galaxias fuscus,Barred galaxias,Fish,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (rainbow trout),Invasive species and diseases,Invasive fish,Ongoing,3,3,3,9,High,Named species
Galaxias fuscus,Galaxias fuscus,Barred galaxias,Fish,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (brown trout),Invasive species and diseases,Invasive fish,Ongoing,3,3,3,9,High,Named species
Galaxias fuscus,Galaxias fuscus,Barred galaxias,Fish,EN,11,Climate change and severe weather,11.4,Storms and flooding,11.4,Storms and flooding,Climate change and severe weather,Storms and flooding,Ongoing,3,3,3,9,High,Storms and flooding
Galaxias rostratus,Galaxias rostratus,"Flathead galaxias, beaked minnow, flat-headed galaxias, flat-headed jollytail, flat-headed minnow",Fish,CR,11,Climate change and severe weather,11.2,Droughts,11.2,Droughts,Climate change and severe weather,Increased frequency/severity of droughts,Ongoing,3,3,3,9,High,Droughts
Gentiana bredboensis,Gentiana bredboensis,Bredbo gentian,Plants,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Competition from exotic grasses and shrubs due to lack of fire
Glyphis garricki,Glyphis garricki,"Northern river shark, new guinea river shark",Fish,EN,5,Biological resource use,5.4,Fishing and harvest aquatic resources,5.4.1,Intentional Use: subsistence/small scale (species being assessed is the target) [harvest],Overexploitation and other direct harm from human activities,Direct harvest,Ongoing,3,3,3,9,High,Both recreational fishing and indigenous community fishing
Glyphis glyphis,Glyphis glyphis,Speartooth shark,Fish,CE,5,Biological resource use,5.4,Fishing and harvest aquatic resources,5.4.1,Intentional Use: subsistence/small scale (species being assessed is the target) [harvest],Overexploitation and other direct harm from human activities,Direct harvest,Ongoing,3,3,3,9,High,Both recreational fishing and indigenous community fishing
Grevillea calliantha,Grevillea calliantha,"Foote's grevillea, cataby grevillea, black magic grevillea",Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Most pons declining due to lack of disturbance to stimulate regeneration
Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,Leadbeater's possum,Mammals,CR,7,Natural system modifications,7.1,Fire and fire suppression,7.1,Fire and fire suppression,Adverse fire regimes,Other change in fire regime/trend unspecified,Ongoing,3,3,3,9,High,Inappropriate fire regimes
Hemiandra rutilans,Hemiandra rutilans,"Sargents snakebush, colourful snakebush",Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,3,3,9,High,Lack of disturbance; no extant plants known
Hesperocolletes douglasi,Hesperocolletes douglasi,Douglas' broad-headed bee,Invertebrates,CR,2,Agriculture and aquaculture,2.3,Livestock farming and ranching,2.3.2,"Small-holder grazing, ranching or farming","Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,3,3,3,9,High,Small-holder grazing and ranching or farming -land clearing and overgrazing
Isopogon uncinatus,Isopogon uncinatus,"Albany cone bush, hook-leaf isopogon",Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Phytophthora
Lambertia echinata subsp. echinata,Lambertia echinata subsp. echinata,Prickly honeysuckle,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Phytophthora
Lambertia fairallii,Lambertia fairallii,Fairall's honeysuckle,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Phytophthora
Lepidodactylus listeri,Lepidodactylus listeri,"Christmas island gecko, lister's gecko",Reptiles,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (wolf snakes),Invasive species and diseases,Invasive reptile,Ongoing,3,3,3,9,High,Wolf snake
Leucopogon gnaphalioides,Leucopogon gnaphalioides,Stirling range beard heath,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Phytophthora
Lichenostomus melanops cassidix,Lichenostomus melanops cassidix,Helmeted honeyeater,Birds,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,3,3,3,9,High,Increase in fire frequency/intensity
Lichenostomus melanops cassidix,Lichenostomus melanops cassidix,Helmeted honeyeater,Birds,CR,12,Other options,12,Other options,12,Other options,Disrupted ecosystem and population processes,Genetic introgression/hybridisation,Ongoing,3,3,3,9,High,Other threat -lack of genetic variability
Litoria kroombitensis,Litoria kroombitensis,Kroombit treefrog,Frogs,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (chytrid fungus),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Disease
Litoria lorica,Litoria lorica,Armoured mistfrog,Frogs,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (chytrid fungus),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Disease
Litoria nyakalensis,Litoria nyakalensis,"Mountain mistfrog, nyakala frog",Frogs,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (chytrid fungus),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Disease
Litoria piperata,Litoria piperata,Peppered tree frog,Frogs,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (chytrid fungus),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Disease
Litoria spenceri,Litoria spenceri,Spotted tree frog,Frogs,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (chytrid fungus),Invasive species and diseases,Disease,Ongoing,3,3,3,9,High,Disease
Litoria spenceri,Litoria spenceri,Spotted tree frog,Frogs,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (fish),Invasive species and diseases,Invasive fish,Ongoing,3,3,3,9,High,Predation by fish
Macrotis lagotis,Macrotis lagotis,Greater bilby,Mammals,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (dingo/ dog/ wild dog),Invasive species and diseases,Invasive predator,Ongoing,3,3,3,9,High,Predation by dingoes wild dogs
Manorina melanotis,Manorina melanotis,Black-eared miner,Birds,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,3,3,3,9,High,Increase in fire frequency/intensity
