Orchid species,Myrtaceous host list (literature review),Myrtaceous host list (AVH data),Status,score,N records with specific hosts,% myrtaceous hosts,At least one host is rated and has rating wholly or partly in HS or ES,Orchid distribution wholly or substantially in myrtle rust zone,Threatened species listing status (jurisdiction: category),
Dockrillia sulphurea*,,Welchiodendron sp.,Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,5,40%,DD,Yes,,
Dockrillia teretifolia*,,"Melaleuca sp., Melaleuca styphelioides* (DD), Syzygium tierneyanum* (RT)",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,47,6%,No/DD,Yes,,
Drymoanthus adversus,,"Leptospermum scoparium* (DD), Metrosideros sp.",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,18,11%,DD,New Zealand,,
"Durabaculum bigibbum (syn. Dendrobium bigibbum*). These records likely include Durabaculum phalaenopsis, which is a separate species (Jones 2021), but not differentiated in the herbarium records).",Melaleuca spp. (1),"Corymbia clarksoniana* (DD), Eucalyptus sp., Eugenia reinwardtiana* (ES), Lophostemon sp., Melaleuca leucadendra* (RT-HS), Melaleuca sp.",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,29,45%,Yes,Yes,EPBC Act: VU,
Durabaculum dicuphum (syn. Dendrobium dicuphum*),Melaleuca spp. (1),"Eucalyptus tectifica* (DD) (syn. Eucalyptus spenceriana), Melaleuca acacioides* (DD), Melaleuca cajuputi* (DD), Melaleuca leucadendra* (RT-HS), Melaleuca nervosa* (HS), Melaleuca sp., Syzygium minutuliflorum* (RT), Tristaniopsis sp., Xanthostemon eucalyptoides* (DD), Welchiodendron sp.",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,66,42%,Yes,Yes,,
Flickingeria nativitatis*,Syzygium nervosum* (HS),,Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,–,LR,Yes,No,,
Grastidium baileyi*,,Xanthostemon sp.,Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,4,25%,DD,Yes,,
Oberonia complanata*,,"Callistemon sp., Leptospermum sp., Melaleuca styphelioides* (DD)",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,11,45%,DD,Yes,,
Oberonia palmicola*,,"Backhousia myrtifolia* (RT-MS), Melaleuca sp.",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,7,29%,No/DD,Yes,,
Oberonia titania*,,"Melaleuca alternifolia* (DD), Backhousia myrtifolia* (RT-MS)",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,8,38%,No/DD,Yes,,
Octarrhena pusilla*,,Eugenia sp.,Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,5,40,DD,Yes,,
