Scientific Name,Native,Susceptibility,Observation,References,original_source,Synonyms,accepted_name,reason,taxon_rank,accepted_or_suggested_name,notes
Acca sellowiana,N,R,I,Morin et al. 2012,Morin_2012,NA,Acca sellowiana,Exact match of taxon name to an APNI-listed canonical name once punctuation and filler words are removed (2024-10-28),species,Acca sellowiana,
Agonis flexuosa,Y,H,NI,Giblin and Carnegie 2014; Pegg et al. 2014,Giblin_2014; Pegg_2014,NA,Agonis flexuosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Agonis flexuosa,
Allosyncarpia ternata,Y,L-M,I,Morin et al. 2012,Morin_2012,NA,Allosyncarpia ternata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Allosyncarpia ternata,
Angophora costata,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Angophora costata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Angophora costata,
Angophora floribunda,Y,L-H,NI,Morin et al. 2012,Morin_2012,NA,Angophora floribunda,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Angophora floribunda,
Angophora subvelutina,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Angophora subvelutina,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Angophora subvelutina,
Archirhodomyrtus beckleri,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Archirhodomyrtus beckleri,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Archirhodomyrtus beckleri,
Asteromyrtus brassii,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Asteromyrtus brassii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Asteromyrtus brassii,
Asteromyrtus magnifica,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Asteromyrtus magnifica,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Asteromyrtus magnifica,
Austromyrtus dulcis,Y,M-H,NI,Morin et al. 2012; Giblin and Carnegie 2014,Morin_2012; Giblin_2014,NA,Austromyrtus dulcis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Austromyrtus dulcis,
Austromyrtus dulcis x tenuifolia 'copper tops',H,S*,N,NSW BioAtlas: Myrtle Rust Records,NSW BioAtlas: Myrtle Rust Records,NA,Austromyrtus dulcis x tenuifolia 'copper tops',Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2024-10-28),genus,Austromyrtus x [Austromyrtus dulcis x tenuifolia 'copper tops'],add substitution
Austromyrtus sp.,Y,M-H,NI,"Pegg, unpublished data","Pegg, unpublished data",NA,Austromyrtus sp.,Exact match of taxon name ending with `sp.` to an APC genus (2024-10-28),genus,Austromyrtus sp.,
Austromyrtus sp. Lockerbie scrub,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Austromyrtus sp. Lockerbie scrub,Exact match of the first word of the taxon name to an APC-accepted genus (2024-10-28),genus,Austromyrtus sp. [Austromyrtus sp. Lockerbie scrub],add substitution
Austromyrtus tenuifolia,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Austromyrtus tenuifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Austromyrtus tenuifolia,
Backhousia angustifolia,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Backhousia angustifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Backhousia angustifolia,
Backhousia bancroftii,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Backhousia bancroftii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Backhousia bancroftii,
Backhousia citriodora,Y,R-H,NI,"Sandu and Park 2013; Giblin and Carnegie, 2014",Sandhu_2013; Giblin_2014,Leptospermum citriodora,Backhousia citriodora,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Backhousia citriodora,
Backhousia enata,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Backhousia enata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Backhousia enata,
Backhousia gundarara,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Backhousia gundarara,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Backhousia gundarara,
Backhousia hughesii,Y,M,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Backhousia hughesii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Backhousia hughesii,
Backhousia leptopetala,Y,H,N,Pegg et al. 2014,Pegg_2014,Choricarpia leptopetala,Backhousia leptopetala,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Backhousia leptopetala,
Backhousia myrtifolia,Y,R-H,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Backhousia myrtifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Backhousia myrtifolia,
Backhousia oligantha,Y,H,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Backhousia oligantha,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Backhousia oligantha,
Backhousia sciadophora,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Backhousia sciadophora,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Backhousia sciadophora,
Backhousia subargentea,Y,M,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Backhousia subargentea,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Backhousia subargentea,
Backhousia tetraptera,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Backhousia tetraptera,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Backhousia tetraptera,
Baeckea gunniana,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Baeckea gunniana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Baeckea gunniana,
Baeckea leptocaulis,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Baeckea leptocaulis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Baeckea leptocaulis,
Baeckea linifolia,Y,MS,N,Pegg et al. 2014,Pegg_2014,NA,Baeckea linifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Baeckea linifolia,
Barongia lophandra,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Barongia lophandra,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Barongia lophandra,
Beaufortia schaueri,Y,H,I,Morin et al. 2012,Morin_2012,NA,Beaufortia schaueri,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Beaufortia schaueri,
Beaufortia sparsa,Y,H,I,Morin et al. 2012,Morin_2012,NA,Beaufortia sparsa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Beaufortia sparsa,
Callistemon citrinus,Y,R-H,I,Morin et al. 2012; Sandhu and Park 2013,Morin_2012; Sandhu_2013,NA,Callistemon citrinus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon citrinus,
Callistemon formosus,Y,M,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,Melaleuca formosa,Callistemon formosus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon formosus,
Callistemon linearifolius,Y,M-H,I,Morin et al. 2012,Morin_2012,NA,Callistemon linearifolius,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon linearifolius,
Callistemon linearis,Y,R-S*,I,Morin et al. 2012,Morin_2012,NA,Callistemon linearis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon linearis,
Callistemon pachyphyllus,Y,M,N,Pegg et al. 2014,Pegg_2014,Melaleuca pachyphylla,Callistemon pachyphyllus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon pachyphyllus,
Callistemon pallidus,Y,H,I,Sandhu and Park 2013,Sandhu_2013,Melaleuca pallida,Callistemon pallidus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon pallidus,
Callistemon pinifolius,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Callistemon pinifolius,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon pinifolius,
Callistemon polandii,Y,H,N,Pegg et al. 2014,Pegg_2014,Melaleuca polandii,Callistemon polandii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon polandii,
Callistemon rigidus,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Callistemon linearis,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon linearis,
Callistemon salignus,Y,M,N,Pegg et al. 2014,Pegg_2014,Melaleuca salicina,Callistemon salignus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon salignus,
Callistemon sieberi,Y,H,N,Pegg et al. 2014,Pegg_2014,Melaleuca paludicola,Callistemon sieberi,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon sieberi,
Callistemon sp. 'Rock of Gibreltar',Y,S*,N,MR Working Group 2016,MR Working Group 2016,NA,Callistemon sp. Rock of Gibraltar (L.M.Copeland 3618),Exact match of the first three words of the taxon name to an APC-accepted canonical name (2024-10-28),species,Callistemon sp. Rock of Gibraltar (L.M.Copeland 3618),
Callistemon sp. 'taree pink',Y,S*,N,NSW BioAtlas: Myrtle Rust Records,NSW BioAtlas: Myrtle Rust Records,NA,Callistemon sp. 'taree pink',Exact match of the first word of the taxon name to an APC-accepted genus (2024-10-28),genus,Callistemon sp. [Callistemon sp. 'taree pink'],add substitution
Callistemon viminalis,Y,R-H,I,Morin et al. 2012; Sandhu and Park 2013,Morin_2012; Sandhu_2013,NA,Callistemon viminalis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon viminalis,
Callistemon viridiflorus,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,Melaleuca virens,Callistemon viridiflorus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Callistemon viridiflorus,
Calothamnus gilesii,Y,S*,N,MR Working Group 2016,MR Working Group 2016,NA,Calothamnus gilesii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Calothamnus gilesii,
Calothamnus quadrifidus,Y,R-H,NI,Morin et al. 2012,Morin_2012,NA,Calothamnus quadrifidus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Calothamnus quadrifidus,
Calothamnus torulosus,Y,S*,N,MR Working Group 2016,MR Working Group 2016,NA,Calothamnus torulosus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Calothamnus torulosus,
Calytrix tetragona,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Calytrix tetragona,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Calytrix tetragona,
Chamelaucium uncinatum,Y,H,NI,Morin et al. 2012; Sandu and Park 2013; Pegg et al. 2014; Workshop 2016,Morin_2012; Sandhu_2013; Pegg_2014; Workshop 2016,NA,Chamelaucium uncinatum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Chamelaucium uncinatum,
Corymbia calophylla,Y,R-L,I,Morin et al. 2012,Morin_2012,NA,Corymbia calophylla,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Corymbia calophylla,
Corymbia citriodora,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Corymbia citriodora,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Corymbia citriodora,
Corymbia citriodora  x C. torelliana,H,L-H,I,Morin et al. 2012,Morin_2012,NA,Corymbia citriodora  x C. torelliana,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2024-10-28),genus,Corymbia x [Corymbia citriodora x C. torelliana],add substitution
