family,scientific_name,taxon_name,mycorrhizal_type,veg_dominant
Acanthaceae,Brunoniella australis (Cav.) Bremek.,Brunoniella australis,NM-AM,
Aizoaceae,Carpobrotus glaucescens (Haw.) Schwantes,Carpobrotus glaucescens,NM,
Apiaceae,Platysace ericoides (Sieber ex Spreng.) C.Norman,Platysace ericoides,EcM-AM,
Apiaceae,Platysace lanceolata (Labill.) Druce,Platysace lanceolata,EcM-AM,
Apiaceae,Platysace linearifolia (Cav.) C.Norman,Platysace linearifolia,EcM-AM,
Apiaceae,Trachymene incisa Rudge,Trachymene incisa,AM,
Apiaceae,Xanthosia pilosa Rudge,Xanthosia pilosa,AM,
Apocynaceae,Hoya australis R.Br. ex Traill,Hoya australis,AM,
Apocynaceae,Leichhardtia fraseri (Benth.) P.I.Forst.B256,Marsdenia fraseri,AM,
Apocynaceae,Parsonsia straminea (R.Br.) F.Muell.,Parsonsia straminea,AM,
Araliaceae,Astrotricha latifolia Benth.,Astrotricha latifolia,AM,
Araliaceae,Astrotricha longifolia Benth.,Astrotricha longifolia,AM,
Asteraceae,Cyanthillium cinereum (L.) H.Rob.,Cyanthillium cinereum,AM,
Asteraceae,Eclipta prostrata (L.) L.,Eclipta prostrata,NM-AM,
Asteraceae,Rutidosis murchisonii F.Muell.,Rutidosis murchisonii,EcM-AM,
Asteraceae,Sphaeromorphaea australis (Less.) Kitam.,Sphaeromorphaea australis,Uncertain,
Blandfordiaceae,Blandfordia grandiflora R.Br.,Blandfordia grandiflora,AM,
Burmanniaceae,Burmannia disticha L.,Burmannia disticha,AM,
Byttneriaceae,Commersonia fraseri J.Gay,Commersonia fraseri,AM,
Campanulaceae,Lobelia anceps L.f.,Lobelia anceps,OM,
Campanulaceae,Lobelia purpurascens R.Br.,Lobelia purpurascens,OM,
Casuarinaceae,Allocasuarina emuina L.A.S.Johnson,Allocasuarina emuina,EcM-AM,
Casuarinaceae,Allocasuarina littoralis (Salisb.) L.A.S.Johnson,Allocasuarina littoralis,EcM-AM,dominant
Casuarinaceae,Allocasuarina thalassoscopica L.A.S.Johnson,Allocasuarina thalassoscopica,EcM-AM,
Centrolepidaceae,Centrolepis strigosa (R.Br.) Roem. & Schult.,Centrolepis strigosa,NM-AM,
Clusiaceae,Hypericum gramineum G.Forst.,Hypericum gramineum,AM,
Colchicaceae,Burchardia umbellata R.Br.,Burchardia umbellata,AM,
Colchicaceae,Wurmbea dioica (R.Br.) F.Muell.,Wurmbea dioica,AM,
Commelinaceae,Commelina lanceolata R.Br.,Commelina lanceolata,NM-AM,
Commelinaceae,Murdannia graminea (R.Br.) G.Brueckn.,Murdannia graminea,NM,
Convolvulaceae,Polymeria calycina R.Br.,Polymeria calycina,AM,
Cunoniaceae,Bauera capitata Ser. ex DC.,Bauera capitata,AM,
