family,scientific_name,taxon_name,mycorrhizal_type,veg_dominant
Cyperaceae,Machaerina articulata (R.Br.) T.Koyama,Baumea articulata,AM,
Cyperaceae,Machaerina muelleri (C.B.Clarke) T.Koyama,Baumea mulleri,AM,
Cyperaceae,Machaerina rubiginosa (Spreng.) T.Koyama,Baumea rubiginosa,AM,
Cyperaceae,Machaerina teretifolia (R.Br.) T.Koyama,Baumea teretifolia,AM,
Cyperaceae,Carex maculata Boott,Carex maculata,NM-AM,
Cyperaceae,Caustis blakei Kuek.,Caustis blakei,NM-AM,
Cyperaceae,Caustis recurvata Spreng.,Caustis recurvata,NM-AM,dominant
Cyperaceae,Chorizandra sphaerocephala R.Br.,Chorizandra sphaerocephala,NM-AM,
Cyperaceae,Cladium procerum S.T.Blake,Cladium procerum,NM-AM,
Cyperaceae,Cyathochaeta diandra (R.Br.) Nees,Cyathochaeta diandra,NM,
Cyperaceae,Cyperus exaltatus Retz.,Cyperus exaltatus,NM-AM,
Cyperaceae,Cyperus polystachyos Rottb.,Cyperus polystachyos,NM-AM,
Cyperaceae,Fimbristylis dichotoma (L.) Vahl,Fimbristylis dichotoma,NM-AM,
Cyperaceae,Fimbristylis pauciflora R.Br.,Fimbristylis pauciflora,NM-AM,
Cyperaceae,Fuirena umbellata Rottb.,Fuirena umbellata,NM-AM,
Cyperaceae,Gahnia aspera (R.Br.) Spreng.,Gahnia aspera,NM-AM,
Cyperaceae,Gahnia clarkei Benl,Gahnia clarkei,NM-AM,
Cyperaceae,Gahnia sieberiana Kunth,Gahnia sieberiana,NM-AM,
Cyperaceae,Lepidosperma laterale R.Br.,Lepidosperma laterale,NM-AM,
Cyperaceae,Lepidosperma longitudinale Labill.,Lepidosperma longitudinale,NM-AM,
Cyperaceae,Lepidosperma quadrangulatum A.A.Ham.,Lepidosperma quadrangulatum,NM-AM,
Cyperaceae,Lepironia articulata (Retz.) Domin,Lepironia articulata,NM-AM,
Cyperaceae,Ptilothrix deusta (R.Br.) K.L.Wilson,Ptilothrix deusta,NM-AM,dominant
Cyperaceae,Rhynchospora rubra (Lour.) Makino,Rhynchospora rubra,NM-AM,
Cyperaceae,Schoenoplectus tabernaemontani (C.C.Gmel.) Palla,"Schoenoplectus""pithy sedge""",NM-AM,
Cyperaceae,Schoenus apogon Roem. & Schult.,Schoenus apogon,NM-AM,
Cyperaceae,Schoenus brevifolius R.Br.,Schoenus brevifolius,NM-AM,dominant
Cyperaceae,Schoenus lepidosperma (F.Muell) K.L.Wilson,Schoenus lepidosperma,NM-AM,
Cyperaceae,Schoenus ornithopodioides (Kuek.) S.T.Blake,Schoenus ornithopodioides,NM-AM,
Cyperaceae,"Anthelepis paludosa (R.Br.) R.L.Barrett, K.L.Wilson & J.J.Bruhl",Schoenus paludosus,NM-AM,
Cyperaceae,Schoenus scabripes Benth.,Schoenus scabripes,NM-AM,
Cyperaceae,Schoenus sparteus R.Br.,Schoenus sparteus,NM-AM,
Cyperaceae,Schoenus vaginatus F.Muell. ex Benth.,Schoenus vaginatus,NM-AM,
Cyperaceae,Scleria mackaviensis Boeckeler,Scleria mackaviensis,NM-AM,
Dilleniaceae,Hibbertia acicularis (Labill.) F.Muell.,Hibbertia acicularis,AM,
Dilleniaceae,Hibbertia aspera DC.,Hibbertia aspera,AM,
Dilleniaceae,Hibbertia fasciculata R.Br. ex DC.,Hibbertia fasciculata,AM,
Dilleniaceae,Hibbertia linearis R.Br. ex DC.,Hibbertia linearis,AM,
Dilleniaceae,Hibbertia salicifolia (DC.) F.Muell.,Hibbertia salicifolia,AM,
Dilleniaceae,Hibbertia scandens (Willd.) Gilg,Hibbertia scandens,AM,
Dilleniaceae,Hibbertia stricta (DC.) R.Br. ex F.Muell.,Hibbertia stricta,AM,
Dilleniaceae,Hibbertia vestita A.Cunn. ex Benth.,Hibbertia vestita,AM,
Dioscoreaceae,Dioscorea transversa R.Br.,Dioscorea transversa,AM,
Droseraceae,Drosera binata Labill.,Drosera binata,NM,
Droseraceae,Drosera burmanni Vahl,Drosera burmannii,NM,
Droseraceae,Drosera lunata Buch.-Ham. ex DC.,Drosera peltata,NM,
Droseraceae,Drosera pygmaea DC.,Drosera pygmaea,NM,
Droseraceae,Drosera spatulata Labill.,Drosera spathulata,NM,
Elaeocarpaceae,Elaeocarpus reticulatus Sm.,Elaeocarpus reticulatus,AM,
Elaeocarpaceae,Tetratheca thymifolia Sm.,Tetratheca thymifolia,AM,
Ericaceae,Acrotriche aggregata R.Br.,Acrotriche aggregata,ErM,
Ericaceae,Agiortia pedicellata (C.T.White) Quinn,Agiortia pedicellata,ErM,
Ericaceae,Brachyloma daphnoides (Sm.) Benth.,Brachyloma daphnoides,uncertain,
Ericaceae,Brachyloma scortechinii F.Muell.,Brachyloma scortechinii,uncertain,
Ericaceae,Epacris microphylla R.Br.,Epacris microphylla,ErM,
Ericaceae,Epacris obtusifolia Sm.,Epacris obtusifolia,ErM,
Ericaceae,Epacris pulchella Cav.,Epacris pulchella,ErM,
Ericaceae,Styphelia deformis (R.Br.) Spreng.,Leucopogon deformis,ErM,
Ericaceae,Styphelia ericoides Sm.,Leucopogon ericoides,ErM,
Ericaceae,"Styphelia sieberi (DC.) Hislop, Crayn & Puente-Lel",Leucopogon juniperinus,ErM,
Ericaceae,Styphelia leptospermoides (R.Br.) Spreng.,Leucopogon leptospermoides,ErM,
Ericaceae,Styphelia margarodes (R.Br.) Spreng.,Leucopogon margarodes,ErM,
Ericaceae,Leucopogon parviflorus (Andrews) Lindl.,Leucopogon parviflorus,ErM,
Ericaceae,Leucopogon pimeleoides A.Cunn. ex DC.,Leucopogon pimeleoides,ErM,
Ericaceae,Styphelia rupicola (C.T.White) Sleumer,Leucopogon rupicola,ErM,
Ericaceae,Leucopogon virgatus (Labill.) R.Br.,Leucopogon virgatus,ErM,
Ericaceae,Monotoca scoparia (Sm.) R.Br.,Monotoca scoparia,ErM,
Ericaceae,Monotoca sp. (Fraser Island P.Baxter 777),Monotoca sp Fraser Island,ErM,
Ericaceae,Sprengelia sprengelioides (R.Br.) Druce,Sprengelia sprengelioides,ErM,
Ericaceae,Styphelia viridis Andrews,Styphelia viridis,ErM,
Ericaceae,Woollsia pungens (Cav.) F.Muell.,Woollsia pungens,ErM,
Ericacee,Melichrus procumbens (Cav.) Druce,Melichrus procumbens,ErM,
Eriocaulaceae,Eriocaulon australe R.Br.,Eriocaulon australe,AM,
Eriocaulaceae,Eriocaulon scariosum Sm.,Eriocaulon scariosum,AM,
Euphorbiaceae,Amperea xiphoclada (Sieber ex Spreng.) Druce,Amperea xiphoclada,uncertain,
Euphorbiaceae,Bertya sharpeana Guymer,Bertya shapeana,AM,
Euphorbiaceae,Ricinocarpos pinifolius Desf.,Ricinocarpos pinifolius,AM,
Goodeniaceae,Dampiera stricta (Sm.) R.Br.,Dampiera stricta,EcM-AM,
Goodeniaceae,Goodenia bellidifolia Sm.,Goodenia bellidifolia,EcM-AM,
Goodeniaceae,Goodenia rotundifolia R.Br.,Goodenia rotundifolia,EcM-AM,
Goodeniaceae,Goodenia stelligera R.Br.,Goodenia stelligera,EcM-AM,
Goodeniaceae,Goodenia mystrophylla K.A.Sheph.,Velleia spathulata,AM,
Haemodoraceae,Haemodorum austroqueenslandicum Domin,Haemodorum austroqueenslandicum,NM,
Haemodoraceae,Haemodorum tenuifolium A.Cunn. ex Benth.,Haemodorum tenuifolium,NM,
Haloragaceae,Gonocarpus chinensis (Lour.) Orchard,Gonocarpus chinensis,AM,
Haloragaceae,Gonocarpus effusus Orchard,Gonocarpus effusus,AM,
Haloragaceae,Gonocarpus humilis Orchard,Gonocarpus humilis,AM,
Haloragaceae,Gonocarpus micranthus Thunb.,Gonocarpus micranthus,AM,
Hemerocallidaceae,Dianella caerulea Sims,Dianella caerulea,AM,
Hemerocallidaceae,Dianella longifolia R.Br.,Dianella longifolia,AM,
Hemerocallidaceae,Dianella nervosa R.J.F.Hend.,Dianella nervosa,AM,
Hemerocallidaceae,Dianella rara R.Br.,Dianella rara,AM,
Hemerocallidaceae,Dianella revoluta R.Br.,Dianella revoluta,AM,
Hemerocallidaceae,,Dianella sp 600400408,AM,
Hemerocallidaceae,Geitonoplesium cymosum (R.Br.) A.Cunn. ex Hook.,Geitonoplesium cymosum,AM,
Hypoxidaceae,Curculigo ensifolia R.Br.,Curculigo ensifolia,AM,
Hypoxidaceae,Hypoxis pratensis R.Br.,Hypoxis pratensis,AM,
Iridaceae,Patersonia fragilis (Labill.) Asch. & Graebn.,Patersonia fragilis,AM,
Iridaceae,Patersonia glabrata R.Br.,Patersonia glabrata,AM,
Iridaceae,Patersonia sericea R.Br.,Patersonia sericea,AM,
Johnsoniaceae,Caesia parviflora R.Br.,Caesia parviflora,AM,
Johnsoniaceae,Tricoryne elatior R.Br.,Tricoryne elatior,AM,
Juncaceae,Juncus continuus L.A.S.Johnson,Juncus continuus,NM-AM,
Lamiaceae,Clerodendrum floribundum R.Br.,Clerodendrum floribundum,AM,
Lamiaceae,Coleus graveolens (R.Br.) A.J.Paton,Coleus graveolens,AM,
Lamiaceae,Westringia tenuicaulis C.T.White & W.D.Francis,Westringia tenuicaulis,AM,
Lauraceae,Cassytha filiformis L.,Cassytha filiformis,NM,
Lauraceae,Cassytha glabella R.Br.,Cassytha glabella,NM,
Lauraceae,Cassytha pubescens R.Br.,Cassytha pubescens,NM,
Laxmanniaceae,Eustrephus latifolius R.Br.,Eustrephus latifolius,AM,
Laxmanniaceae,Laxmannia compacta Conran & P.I.Forst.,Laxmannia compacta,AM,
Laxmanniaceae,Lomandra confertifolia (F.M.Bailey) Fahn subsp. confertifolia,Lomandra confertifolia,NM-AM,
Laxmanniaceae,Lomandra confertifolia subsp. pallida A.T.Lee,Lomandra confertifolia,NM-AM,
Laxmanniaceae,Lomandra elongata (Benth.) Ewart,Lomandra elongata,NM-AM,
Laxmanniaceae,Lomandra filiformis (Thunb.) Britten,Lomandra filiformis,NM-AM,
Laxmanniaceae,Lomandra longifolia Labill.,Lomandra longifolia,NM-AM,
Laxmanniaceae,Lomandra multiflora (R.Br.) Britten,Lomandra multiflora,NM-AM,
Laxmanniaceae,Sowerbaea juncea Andrews,Sowerbaea juncea,AM,
Laxmanniaceae,Thysanotus tuberosus R.Br.,Thysanotus tuberosus,Thysanotus,
Leguminosae,Acacia attenuata Maiden & Blakely,Acacia attenuatta,EcM-AM,
Leguminosae,Acacia baueri Benth.,Acacia baueri,EcM-AM,
Leguminosae,Acacia cincinnata F.Muell.,Acacia cincinnata,EcM-AM,
Leguminosae,Acacia complanata A.Cunn. ex Benth.,Acacia complanata,EcM-AM,
Leguminosae,Acacia concurrens Pedley,Acacia concurrens,EcM-AM,
Leguminosae,Acacia disparrima M.W.McDonald & Maslin,Acacia disparrima,EcM-AM,
Leguminosae,Acacia falcata Willd.,Acacia falcata,EcM-AM,
Leguminosae,Acacia flavescens A.Cunn. ex Benth.,Acacia flavescens,EcM-AM,
Leguminosae,Acacia hubbardiana Pedley,Acacia hubbardiana,EcM-AM,
Leguminosae,Acacia juncifolia Benth.,Acacia juncifolia,EcM-AM,
Leguminosae,Acacia leiocalyx (Domin) Pedley,Acacia leiocalyx,EcM-AM,
Leguminosae,Acacia longissima H.L.Wendl.,Acacia longissima,EcM-AM,
Leguminosae,Acacia maidenii F.Muell.,Acacia maidenii,EcM-AM,
Leguminosae,Acacia myrtifolia (Sm.) Willd.,Acacia myrtifolia,EcM-AM,
Leguminosae,Acacia oshanesii F.Muell. & Maiden,Acacia oshanesii,EcM-AM,
Leguminosae,Acacia penninervis Sieber ex DC.,Acacia penninervis,EcM-AM,
Leguminosae,Acacia sophorae (Labill.) R.Br.,Acacia sophorae,EcM-AM,
Leguminosae,Acacia suaveolens (Sm.) Willd.,Acacia suaveolens,EcM-AM,
Leguminosae,Acacia ulicifolia (Salisb.) Court,Acacia ulicifolia,EcM-AM,
Leguminosae,Aotus ericoides (Vent.) G.Don,Aotus ericoides,EcM-AM,
Leguminosae,Aotus lanigera A.Cunn. ex Benth.,Aotus lanigera,EcM-AM,
Leguminosae,Bossiaea ensata Sieber ex DC.,Bossiaea ensata,AM,
Leguminosae,Bossiaea heterophylla Vent.,Bossiaea heterophylla,AM,
Leguminosae,Chorizema parviflorum Benth.,Chorizema parviflorum,EcM-AM,
Leguminosae,Daviesia umbellulata Sm.,Daviesia umbellulata,EcM-AM,
Leguminosae,Daviesia wyattiana F.M.Bailey,Daviesia wyattiana,EcM-AM,
Leguminosae,Desmodium gunnii Benth. ex Hook.f.,Desmodium gunnii,AM,
Leguminosae,Dillwynia floribunda Sm.,Dillwynia floribunda,EcM-AM,
Leguminosae,Dillwynia glaberrima Sm.,Dillwynia glabberina,EcM-AM,
Leguminosae,Dillwynia retorta (J.C.Wendl.) Druce,Dillwynia retorta,EcM-AM,
Leguminosae,Glycine clandestina J.C.Wendl.,Glycine clandestina,AM,
Leguminosae,Glycine tabacina (Labill.) Benth.,Glycine tabacina,AM,
Leguminosae,Gompholobium pinnatum Sm.,Gompholobium pinnatum,EcM-AM,
Leguminosae,Gompholobium virgatum Sieber ex DC.,Gompholobium virgatum,EcM-AM,
Leguminosae,Hardenbergia violacea (Schneev.) Stearn,Hardenbergia violacea,AM,
Leguminosae,Hovea acutifolia A.Cunn. ex G.Don,Hovea acutifolia,AM,
Leguminosae,Jacksonia scoparia R.Br.,Jacksonia scoparia,EcM-AM,
Leguminosae,Jacksonia stackhousei F.Muell.,Jacksonia stackhousei,EcM-AM,
Leguminosae,Mirbelia rubiifolia (Andrews) G.Don,Mirbelia rubifolia,EcM-AM,
Leguminosae,Phyllota phylicoides (Sieber ex DC.) Benth.,Phyllota phylicoides,EcM-AM,
Leguminosae,Platylobium formosum Sm.,Platylobium formosum,EcM-AM,
Leguminosae,Podolobium ilicifolium (Andrews) Crisp & P.H.Weston,Podolobium ilicifolium,EcM-AM,
Leguminosae,Pultenaea myrtoides A.Cunn. ex Benth.,Pultenaea myrtoides,EcM-AM,
Leguminosae,Pultenaea robusta (H.B.Will.) de Kok,Pultenaea robusta,EcM-AM,
Leguminosae,Pultenaea villosa Willd.,Pultenaea villosa,EcM-AM,
Leguminosae,Viminaria juncea (Schrad.) Hoffmanns.,Viminaria juncea,EcM-AM,
Lentibulariaceae,Utricularia lateriflora R.Br.,Utricularia lateriflora,NM-AM,
Loganiaceae,Logania albiflora (Andrews & Jacks.) Druce,Logania albiflora,uncertain,
Loganiaceae,Mitrasacme alsinoides R.Br.,Mitrasacme alsinoides,AM,
Loganiaceae,Mitrasacme paludosa R.Br.,Mitrasacme paludosa,AM,
Loranthaceae,Amyema bifurcata (Benth.) Tiegh.,Amyema bifurcata,NM,
Loranthaceae,Amyema congener (Sieber ex Schult. & Schult.f.) Tiegh.,Amyema congener,NM,
Loranthaceae,Diplatia furcata Barlow,Diplatia furcata,NM,
Loranthaceae,,Mistletoe speciesX,,
Macarthuriaceae,Macarthuria complanata E.M.Ross,Macarthuria complanata,uncertain,
Macarthuriaceae,Macarthuria neocambrica F.Muell.,Macarthuria neocambrica,uncertain,
Malvaceae,Hibiscus splendens C.Fraser ex Graham,Hibiscus splendens,AM,
Melastomataceae,Melastoma malabathricum L. subsp. malabathricum,Melastoma malabathricum,AM,
Menyanthaceae,Liparophyllum exaltatum (Sol. ex Sims) Tippery & Les,Liparophyllum exaltatum,NM-AM,
Menyanthaceae,Nymphoides exiliflora (F.Muell.) Kuntze,Nymphoides exiliflora,NM-AM,
Myrtaceae,Angophora woodsiana F.M.Bailey,Angophora woodsiana,EcM-AM,
Myrtaceae,Austromyrtus dulcis (C.T.White) L.S.Sm.,Austromyrtus dulcis,AM,
Myrtaceae,Baeckea frutescens L.,Baeckea frutescens,EcM-AM,dominant
Myrtaceae,Baeckea imbricata (Gaertn.) Druce,Baeckea imbricata,EcM-AM,
Myrtaceae,Calytrix tetragona Labill.,Calytrix tetragona,EcM-AM,
Myrtaceae,Corymbia gummifera (Gaertn.) K.D.Hill & L.A.S.Johnson,Corymbia gummifera,EcM-AM,dominant
Myrtaceae,Corymbia intermedia (R.T.Baker) K.D.Hill & L.A.S.Johnson,Corymbia intermedia,EcM-AM,dominant
Myrtaceae,Corymbia trachyphloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia trachyphloia,EcM-AM,
Myrtaceae,Eucalyptus bancroftii (Maiden) Maiden,Eucalyptus bancroftii,EcM-AM,
Myrtaceae,Eucalyptus carnea R.T.Baker,Eucalyptus carnea,EcM-AM,dominant
Myrtaceae,Eucalyptus exserta F.Muell.,Eucalyptus exserta,EcM-AM,dominant
Myrtaceae,Eucalyptus kabiana L.A.S.Johnson & K.D.Hill,Eucalyptus kabiana,EcM-AM,
Myrtaceae,Eucalyptus latisinensis K.D.Hill,Eucalyptus latisinensis,EcM-AM,dominant
Myrtaceae,Eucalyptus racemosa Cav.,Eucalyptus racemosa,EcM-AM,
Myrtaceae,Eucalyptus resinifera Sm.,Eucalyptus resinifera,EcM-AM,
Myrtaceae,Eucalyptus robusta Sm.,Eucalyptus robusta,EcM-AM,
Myrtaceae,Eucalyptus robusta Sm. x Eucalyptus tereticornis Sm.,Eucalyptus robustaXtereticornis,EcM-AM,
Myrtaceae,Eucalyptus seeana Maiden,Eucalyptus seeana,EcM-AM,
Myrtaceae,Eucalyptus siderophloia Benth.,Eucalyptus siderophloia,EcM-AM,
Myrtaceae,Eucalyptus tereticornis Sm.,Eucalyptus tereticornis,EcM-AM,
Myrtaceae,Homoranthus virgatus A.Cunn. ex Schauer,Homoranthus virgatus,EcM-AM,
Myrtaceae,Leptospermum juniperinum Sm.,Leptospermum juniperinum,EcM-AM,
Myrtaceae,Leptospermum luehmannii F.M.Bailey,Leptospermum leuhmanii,EcM-AM,
Myrtaceae,Leptospermum liversidgei R.T.Baker & H.G.Sm.,Leptospermum liversidgei,EcM-AM,dominant
Myrtaceae,Leptospermum microcarpum Cheel,Leptospermum microcarpum,EcM-AM,
Myrtaceae,Leptospermum petersonii F.M.Bailey,Leptospermum petersonii,EcM-AM,
Myrtaceae,Leptospermum polygalifolium Salisb.,Leptospermum polygalifolium,EcM-AM,
Myrtaceae,Leptospermum semibaccatum Cheel,Leptospermum semibaccatum,EcM-AM,dominant
Myrtaceae,Leptospermum speciosum Schauer,Leptospermum speciosum,EcM-AM,
Myrtaceae,Leptospermum trinervium (Sm.) Joy Thomps.,Leptospermum trinervium,EcM-AM,dominant
Myrtaceae,Leptospermum whitei Cheel,Leptospermum whitei,EcM-AM,
Myrtaceae,Lophostemon confertus (R.Br.) Peter G.Wilson & J.T.Waterh.,Lophostemon confertus,EcM-AM,dominant
Myrtaceae,Lophostemon suaveolens (Sol. ex Gaertn.) Peter G.Wilson & J.T.Waterh.,Lophostemon suaveolens,EcM-AM,
Myrtaceae,Melaleuca nodosa (Gaertn.) Sm.,Melaleuca nodosa,EcM-AM,
Myrtaceae,Melaleuca pachyphylla (Cheel) Craven,Melaleuca pachyphylla,EcM-AM,
Myrtaceae,Melaleuca quinquenervia (Cav.) S.T.Blake,Melaleuca quinquenervia,EcM-AM,dominant
Myrtaceae,Melaleuca sieberi Schauer,Melaleuca sieberi,EcM-AM,
Myrtaceae,Melaleuca thymifolia Sm.,Melaleuca thymifolia,EcM-AM,
Myrtaceae,Melaleuca viridiflora Sol. ex Gaertn.,Melaleuca viridiflora,EcM-AM,
Myrtaceae,Micromyrtus littoralis A.R.Bean,Micromyrtus littoralis,EcM-AM,
Myrtaceae,Ochrosperma lineare (C.T.White) Trudgen,Ochrosperma lineare,EcM-AM,
Myrtaceae,Triplarina volcanica A.R.Bean subsp. volcanica,Triplarina volcanica,EcM-AM,
Olacaceae,Olax retusa Benth.,Olax retusa,AM,
Oleaceae,Notelaea ovata R.Br.,Notelaea ovata,AM,
Onagraceae,Ludwigia octovalvis (Jacq.) P.H.Raven,Ludwigia octovalvis,NM-AM,
Orobanchaceae,Buchnera urticifolia R.Br.,Buchnera urticifolia,NM-AM,
Philydraceae,Philydrum lanuginosum Banks & Sol. ex Gaertn.,Philydrum lanuginosum,AM,
Phyllanthaceae,Glochidion ferdinandi (Muell.Arg.) F.M.Bailey,Glochidion ferdinandi,AM,
Phyllanthaceae,Phyllanthus hirtellus F.Muell. ex Muell.Arg.,Phyllanthus hirtellus,AM,
Phyllanthaceae,Poranthera microphylla Brongn.,Poranthera microphylla,EcM-AM,
Picrodendraceae,Micrantheum ericoides Desf.,Micrantheum ericoides,AM,
Picrodendraceae,Pseudanthus ligulatus Halford & R.J.F.Hend.,Pseudanthus ligulataus,AM,
Picrodendraceae,Pseudanthus orientalis F.Muell.,Pseudanthus orientalis,AM,
Pittosporaceae,Billardiera scandens Sm.,Billardiera scandens,AM,
Poaceae,Alloteropsis semialata (R.Br.) Hitchc.,Alloteropsis semialata,AM,
Poaceae,Aristida benthamii Henrard,Aristida benthamii,AM,
Poaceae,Aristida queenslandica Henrard,Aristida queenslandica,AM,
Poaceae,Aristida vagans Cav.,Aristida vagans,AM,
Poaceae,Aristida warburgii Mez,Aristida warburgii,AM,
Poaceae,Arundinella montana S.T.Blake,Arundinella montana,AM,
Poaceae,Capillipedium spicigerum S.T.Blake,Capillipedium spicigerum,AM,
Poaceae,Chrysopogon sylvaticus C.E.Hubb.,Chrysopogon sylvaticus,NM-AM,
Poaceae,Cymbopogon refractus (R.Br.) A.Camus,Cymbopogon refractus,AM,
Poaceae,Dichelachne montana Endl.,Dichelachne montana,uncertain,
Poaceae,Digitaria diminuta Hughes,Digitaria diminuta,AM,
Poaceae,Digitaria parviflora (R.Br.) Hughes,Digitaria parviflora,AM,
Poaceae,Entolasia marginata (R.Br.) Hughes,Entolasia marginata,AM,
Poaceae,Entolasia stricta (R.Br.) Hughes,Entolasia stricta,AM,
Poaceae,Eragrostis brownii (Kunth) Nees ex Wight,Eragrostis brownii,NM-AM,
Poaceae,Eremochloa bimaculata Hack.,Eremochloa bimaculata,AM,
Poaceae,Eriachne glabrata (Maiden) W.Hartley,Eriachne glabrata,AM,
Poaceae,Eriachne pallescens R.Br.,Eriachne pallescens,AM,
Poaceae,Imperata cylindrica (L.) Raeusch.,Imperata cylindrica,AM,
Poaceae,Ischaemum australe R.Br.,Ischaemum australe,AM,
Poaceae,Leersia hexandra Sw.,Leersia hexandra,AM,
Poaceae,Micraira subulifolia F.Muell.,Micraira subulifolia,AM,
Poaceae,Microlaena stipoides (Labill.) R.Br.,Microlaena stipoides,uncertain,
Poaceae,Panicum effusum R.Br.,Panicum effusum,AM,
Poaceae,Panicum simile Domin,Panicum simile,AM,
Poaceae,Paspalidium distans (Trin.) Hughes,Paspalidium distans,NM-AM,
Poaceae,Paspalidium gracile (R.Br.) Hughes,Paspalidium gracile,NM-AM,
Poaceae,Themeda triandra Forssk.,Themeda triandra,AM,
Poaceae,Tripogon loliiformis (F.Muell.) C.E.Hubb.,Tripogon loliiformis,AM,
Polygalaceae,Comesperma defoliatum F.Muell.,Comesperma defoliatum,AM,
Polygalaceae,Comesperma hispidulum Pedley,Comesperma hispidulum,AM,
Portulacaceae,Calandrinia pickeringii A.Gray,Calandrinia pickeringii,NM,
Proteaceae,Banksia aemula R.Br.,Banksia aemula,NM,dominant
Proteaceae,Banksia conferta A.S.George,Banksia conferta,NM,
Proteaceae,Banksia integrifolia L.f.,Banksia integrifolia,NM,
Proteaceae,Banksia oblongifolia Cav.,Banksia oblongifolia,NM,dominant
Proteaceae,Banksia robur Cav.,Banksia robur,NM,dominant
Proteaceae,Banksia serrata L.f.,Banksia serrata,NM,
Proteaceae,Banksia spinulosa Sm.,Banksia spinulosa,NM,
Proteaceae,Conospermum taxifolium C.F.Gaertn.,Conospermum taxifolium,NM,
Proteaceae,Grevillea reptans Makinson,Grevillea reptans,NM,
Proteaceae,Hakea actites W.R.Barker,Hakea actites,NM,dominant
Proteaceae,Hakea benthamii I.M.Turner,Hakea benthamii,NM,
Proteaceae,Hakea florulenta Meisn.,Hakea florulenta,NM,
Proteaceae,Lomatia silaifolia (Sm.) R.Br.,Lomatia silaifolia,NM,
Proteaceae,Persoonia sericea A.Cunn. ex R.Br.,Persoonia sericea,NM,
Proteaceae,Persoonia stradbrokensis Domin,Persoonia stradbrokensis,NM,
Proteaceae,Persoonia tenuifolia R.Br.,Persoonia tenuifolia,NM,
Proteaceae,Persoonia virgata R.Br.,Persoonia virgata,NM,dominant
Proteaceae,Petrophile shirleyae F.M.Bailey,Petrophile shirleyae,NM,
Proteaceae,Strangea linearis Meisn.,Strangea linearis,NM,
Restionaceae,Baloskion pallens (R.Br.) B.G.Briggs & L.A.S.Johnson,Baloskion pallens,NM-AM,
Restionaceae,Baloskion tenuiculme (S.T.Blake) B.G.Briggs & L.A.S.Johnson,Baloskion tenuiculme,NM-AM,dominant
Restionaceae,Baloskion tetraphyllum (Labill.) B.G.Briggs & L.A.S.Johnson,Baloskion tetraphyllum,NM-AM,
