species,susceptibility,threatened status
Adenanthos velutinus,susceptible,Threatened taxa
Jacksonia quairading,susceptible,Threatened taxa
Leucopogon gnaphalioides,susceptible,Threatened taxa
Verticordia helichrysantha,susceptible,Threatened taxa
Verticordia plumosa var. vassensis,susceptible,Threatened taxa
Verticordia plumosa var. ananeotes,susceptible,Threatened taxa
Daviesia glossosema,susceptible,Threatened taxa
Banksia fuscobractea,susceptible,Threatened taxa
Banksia anatona,susceptible,Threatened taxa
Adenanthos pungens,susceptible,Threatened taxa
Banksia brownii,susceptible,Threatened taxa
Jacksonia velveta,susceptible,Threatened taxa
Lambertia orbifolia subsp. orbifolia,susceptible,Threatened taxa
Daviesia megacalyx,susceptible,Threatened taxa
Lambertia echinata subsp. occidentalis,susceptible,Threatened taxa
Lambertia orbifolia subsp. Scott River Plains,susceptible,Threatened taxa
Banksia sphaerocarpa var. dolichostyla,susceptible,Threatened taxa
Chamelaucium sp. Cataby,susceptible,Threatened taxa
Lambertia fairallii,susceptible,Threatened taxa
Daviesia euphorbioides,susceptible,Threatened taxa
Banksia verticillata,susceptible,Threatened taxa
Banksia cuneata,susceptible,Threatened taxa
Daviesia bursarioides,susceptible,Threatened taxa
Jacksonia pungens,susceptible,Threatened taxa
Banksia pseudoplumosa,susceptible,Threatened taxa
Andersonia gracilis,susceptible,Threatened taxa
Pultenaea pauciflora,susceptible,Threatened taxa
Melaleuca sciotostyla,susceptible,Threatened taxa
Banksia mimica,susceptible,Threatened taxa
Banksia mucronulata subsp. retrorsa,susceptible,Threatened taxa
Daviesia obovata,susceptible,Threatened taxa
Gastrolobium vestitum,susceptible,Threatened taxa
Grevillea corrugata,susceptible,Threatened taxa
Lambertia echinata subsp. echinata,susceptible,Threatened taxa
Gastrolobium lehmannii,susceptible,Threatened taxa
Gastrolobium hamulosum,susceptible,Threatened taxa
Persoonia micranthera,susceptible,Threatened taxa
Hakea aculeata,susceptible,Threatened taxa
Sphenotoma drummondii,susceptible,Threatened taxa
Grevillea rara,susceptible,Threatened taxa
Verticordia fimbrilepis subsp. fimbrilepis,susceptible,Threatened taxa
Verticordia hughanii,susceptible,Threatened taxa
Chorizema humile,susceptible,Threatened taxa
Chorizema varium,susceptible,Threatened taxa
Petrophile latericola,susceptible,Threatened taxa
Darwinia collina,susceptible,Threatened taxa
Banksia montana,susceptible,Threatened taxa
Darwinia chapmaniana,susceptible,Threatened taxa
Banksia oligantha,susceptible,Threatened taxa
Banksia rufa subsp. pumila,susceptible,Threatened taxa
Verticordia carinata,susceptible,Threatened taxa
Daviesia microcarpa,susceptible,Threatened taxa
Hemiandra gardneri,susceptible,Threatened taxa
Adenanthos labillardieri,susceptible,Priority taxa
Banksia acanthopoda,susceptible,Priority taxa
Banksia splendida subsp. splendida,susceptible,Priority taxa
Banksia subpinnatifida var. subpinnatifida,susceptible,Priority taxa
Conospermum spectabile,susceptible,Priority taxa
Grevillea rudis,susceptible,Priority taxa
Lambertia rariflora subsp. lutea,susceptible,Priority taxa
Verticordia attenuata,susceptible,Priority taxa
Isopogon latifolius,susceptible,Priority taxa
Grevillea eriobotrya,susceptible,Priority taxa
Banksia drummondii subsp. macrorufa,susceptible,Priority taxa
Banksia sessilis var. cordata,susceptible,Priority taxa
Daviesia lineata,susceptible,Priority taxa
Banksia solandri,susceptible,Priority taxa
Banksia epica,susceptible,Priority taxa
Banksia meisneri subsp. ascendens,susceptible,Priority taxa
Banksia sclerophylla,susceptible,Priority taxa
Banksia serra,susceptible,Priority taxa
Banksia aculeata,susceptible,Priority taxa
Banksia scabrella,susceptible,Priority taxa
Banksia calophylla,susceptible,Priority taxa
Banksia foliosissima,susceptible,Priority taxa
Banksia hirta,susceptible,Priority taxa
Banksia rufa subsp. flavescens,susceptible,Priority taxa
Grevillea kenneallyi,susceptible,Priority taxa
Banksia prolata subsp. prolata,susceptible,Priority taxa
Grevillea saccata,susceptible,Priority taxa
Andersonia echinocephala,susceptible,Priority taxa
Banksia rufa subsp. chelomacarpa,susceptible,Priority taxa
Banksia benthamiana,susceptible,Priority taxa
Jacksonia calycina,susceptible,Priority taxa
Hakea hookeriana,susceptible,Priority taxa
Melaleuca ringens,susceptible,Priority taxa
Banksia corvijuga,susceptible,Priority taxa
Banksia concinna,susceptible,Priority taxa
Banksia splendida subsp. macrocarpa,susceptible,Priority taxa
Banksia insulanemorecincta,susceptible,Priority taxa
Eucalyptus quaerenda,susceptible,Priority taxa
Hibbertia porongurupensis,susceptible,Priority taxa
Banksia prolata subsp. calcicola,susceptible,Priority taxa
Hemiandra sp. Watheroo,susceptible,Priority taxa
Banksia prolata subsp. archeos,susceptible,Priority taxa
Banksia seneciifolia,susceptible,Priority taxa
Banksia tricuspis,susceptible,Priority taxa
Banksia trifontinalis,susceptible,Priority taxa
Banksia laricina,susceptible,Common though geographically restricted taxa
Lambertia ericifolia,susceptible,Common though geographically restricted taxa
Grevillea althoferorum,susceptible,Common though geographically restricted taxa
Banksia victoriae,susceptible,Common though geographically restricted taxa
Banksia hookeriana,susceptible,Common though geographically restricted taxa
Gastrolobium rubrum,susceptible,Common though geographically restricted taxa
Stylidium coroniforme,susceptible,Common though geographically restricted taxa
Banksia polycephala,susceptible,Common though geographically restricted taxa
