Species,susceptibility_classification,hexadecanoid acid presence,Susceptibility S0,Susceptibility S1,Susceptibility S2,Susceptibility S3,Classification,ID (%),wax_epicuticular_morphology
Eucalyptus botryoides,susceptible,,44.44,20.83,26.39,8.33,Susceptible,45.65,
Eucalyptus brassiana,low_resistance,,91.67,1.39,2.78,4.17,Low resistance,9,
Eucalyptus camaldulensis,low_resistance,,70.83,19.44,8.33,1.39,Low resistance,18.65,tubes threads
Eucalyptus cloeziana,low_resistance,,75,11.11,12.5,1.39,Low resistance,18.65,
Eucalyptus deglupta,susceptible,,34.72,19.44,34.72,11.11,Susceptible,56.58,
Eucalyptus dunni,low_resistance,,72.22,20.83,5.56,1.39,Low resistance,16.72,
Eucalyptus exserta,low_resistance,,98.61,1.39,0,0,Low resistance,0.64,
Eucalyptus grandis,susceptible,high,47.22,25,20.83,6.94,Susceptible,40.51,platelets
Eucalyptus microcorys,low_resistance,,83.33,12.5,2.78,1.39,LOW resistance,10.29,
Eucalyptus paniculata,low_resistance,,91.67,5.56,1.39,1.39,Low resistance,5.79,
Eucalyptus pellita,low_resistance,,93.06,2.78,2.78,1.39,Low resistance,5.79,
Eucalyptus phaeotricha,susceptible,high,45.83,26.39,4.17,23.61,Susceptible,48.87,wax_sheet
Eucalyptus pilularis,low_resistance,,75,19.44,1.39,4.17,Low resistance,16.08,
Eucalyptus propinqua,low_resistance,,94.44,2.78,1.39,1.39,Low resistance,450,
Eucalyptus resinifera,high_resistance,,100,0,0,0,High resistance,0,
Eucalyptus robusta,low_resistance,,97.22,0,0,2.78,Low resistance,3.86,platelets
Eucalyptus saligna,low_resistance,,65.28,31.94,2.78,0,Low resistance,17.36,
Eucalyptus tereticornis,low_resistance,,87.5,6.94,4.17,1.39,Low resistance,9,
Eucalyptus toreliodora,high_resistance,,100,0,0,0,High resistance,0,
Eucalyptus urograndis,low_resistance,,83.33,11.11,5.56,0,Low resistance,10.29,platelets
Eucalyptus urophylla,low_resistance,,93.06,4.17,1.39,1.39,Low resistance,5.14,platelets
