Species,cuticle thickness (mean),cuticle thickness (SD),cuticle thickness (replicates),cuticle thickness (number of leaf sections),Total nitrogen (%),Total phosphorus (%),Total potassium (%),Total sulphur (%),Total calcium (%),Total magnesium (%),Total sodium (%),Total copper (ug/g),Total zinc (ug/g),Total manganese (ug/g),Total iron (ug/g),Total boron (ug/g),Ether soluble extracts (%),Crude lignin content (%),Lignin to nitrogen ratio
Acacia melanoxylon,4.4,1.1,95,19,2.7,0.07,0.54,0.33,0.57,0.23,0.17,4,12,460,53,23,7,31.9,11.8
Atherosperma moschatum,1.3,0.3,101,20,1.7,0.09,1.2,0.01,1.1,0.24,0.04,5,14,1600,93,19,11.2,21,12.4
Eucalyptus regnans,6.9,2,109,22,1.8,0.09,0.48,0.12,0.27,0.16,0.06,8,11,210,57,14,22.5,25.7,14.3
Lomatia fraseri,4.1,1.6,99,20,1.2,0.07,0.74,0.12,0.74,0.14,0.01,4,7,1200,170,10,7.1,28.2,23.5
Nothofagus cunninghamii,2.2,0.6,95,19,1.4,0.09,0.58,0.09,0.47,0.18,0.04,4,26,520,130,16,7.9,35,25
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
