"Species","Family","la","ls","size","hw","life.span","cs","cim","vs","rp","seed.size","n2","n_mine","nm","om","em","am"
"Stylidium androsaceum","Stylidiaceae",1,1,2,"Normal","Annual","No_organs","herbaceous dicots",0,"springish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Stylidium ciliatum","Stylidiaceae",1,1,2,"Normal","Perennial","Organs","herbaceous dicots",1,"springish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Stylidium hispidum","Stylidiaceae",1,1,2,"Normal","Perennial","Organs","herbaceous dicots",1,"springish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Stylidium perpusillum","Stylidiaceae",1,1,1,"Normal","Annual","No_organs","herbaceous dicots",0,"springish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Stylidium scariosum","Stylidiaceae",2,1,3,"Normal","Perennial","Organs","herbaceous dicots",1,"springish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Stylidium tenue","Stylidiaceae",2,1,2,"Normal","Perennial","Organs","herbaceous dicots",1,"winterish",1,"No","No",FALSE,FALSE,FALSE,TRUE
"Styphelia tenuiflora","Ericaceae",1,2,4,"Normal","Perennial","No_organs","semi-woody dicots",0,"winterish",3,"No","No",FALSE,FALSE,TRUE,FALSE
"Templetonia drummondii","Fabaceae",3,2,2,"Skinny","Perennial","Organs","semi-woody dicots",1,"springish",3,"Yes","No",FALSE,FALSE,FALSE,TRUE
"Tetrarrhena laevis","Poaceae",3,1,3,"Skinny","Perennial","Organs","herbaceous monocots",2,"springish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Tetratheca hirsuta","Elaeocarpaceae",2,2,3,"Skinny","Perennial","Organs","semi-woody dicots",0,"springish",2,"No","No",FALSE,FALSE,FALSE,TRUE
"Thelymitra crinita","Orchidaceae",3,1,4,"Skinny","Perennial","Organs","herbaceous monocots",0,"springish",1,"No","No",FALSE,TRUE,FALSE,FALSE
"Thelymitra macrophylla","Orchidaceae",4,1,3,"Skinny","Perennial","Organs","herbaceous monocots",0,"springish",1,"No","No",FALSE,TRUE,FALSE,FALSE
"Thysanotus dichotomus","Asparagaceae",0,1,4,"Skinny","Perennial","Organs","herbaceous monocots",1,"springish",3,"No","No",FALSE,TRUE,FALSE,FALSE
"Thysanotus multiflorus","Asparagaceae",3,1,3,"Normal","Perennial","Organs","herbaceous monocots",1,"springish",3,"No","No",FALSE,TRUE,FALSE,FALSE
"Thysanotus patersonii","Asparagaceae",2,1,3,"Normal","Perennial","Organs","herbaceous monocots",0,"winterish",2,"No","No",FALSE,TRUE,FALSE,FALSE
"Thysanotus scaber","Asparagaceae",3,1,3,"Normal","Perennial","Organs","herbaceous monocots",0,"springish",2,"No","No",FALSE,TRUE,FALSE,FALSE
"Thysanotus sparteus","Asparagaceae",1,1,4,"Fat","Perennial","Organs","herbaceous monocots",1,"summerish",3,"No","No",FALSE,TRUE,FALSE,FALSE
"Trachymene pilosa","Araliaceae",1,1,2,"Fat","Annual","No_organs","herbaceous dicots",0,"springish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Trichocline spathulata","Asteraceae",1,1,4,"Fat","Perennial","Organs","herbaceous dicots",0,"summerish",2,"No","No",FALSE,FALSE,FALSE,TRUE
"Tripterococcus brunonis","Celastraceae",1,1,3,"Skinny","Perennial","No_organs","herbaceous dicots",0,"springish",4,"No","No",FALSE,FALSE,FALSE,TRUE
"Xanthorrhoea gracilis","Xanthorrhoeacae",4,3,5,"Skinny","Perennial","Organs","pseudo-woody monocot",0,"springish",2,"No","No",FALSE,FALSE,FALSE,TRUE
"Xanthorrhoea preissii","Xanthorrhoeacae",4,3,5,"Skinny","Perennial","Organs","pseudo-woody monocot",0,"summerish",2,"No","No",FALSE,FALSE,FALSE,TRUE
"Xanthosia huegelii","Apiaceae",2,2,2,"Normal","Perennial","Organs","herbaceous dicots",0,"springish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Xanthosia singuliflora","Apiaceae",2,2,2,"Normal","Perennial","Organs","herbaceous dicots",0,"springish",3,"No","No",FALSE,FALSE,FALSE,TRUE
