species,None,Low,Moderate,High,Paddock,None (prop),Low (prop),Mod (prop),High (prop),Paddock (prop),decline (prop_,woodiness
Eriachne triseta,4,3,5,0,0,0.8,0.75,1,0,0,0.8,herbaceous
Planchonia careya,4,2,2,0,1,0.8,0.5,0.4,0,0.2,0.8,woody
Eucalyptus tetrodonta,5,3,3,1,0,1,0.75,0.6,0.2,0,0.8,woody
Aristida holathera*,3,0,0,0,0,0.6,0,0,0,0,0.6,herbaceous
Heteropogon triticeus,3,1,0,0,0,0.6,0.25,0,0,0,0.6,herbaceous
Sauropus paucifolius,3,2,1,0,0,0.6,0.5,0.2,0,0,0.6,herbaceous
Alphitonia excelsa,3,2,4,0,0,0.6,0.5,0.8,0,0,0.6,woody
Corymbia porrecta,4,2,2,1,0,0.8,0.5,0.4,0.2,0,0.6,woody
Ficus opposita,4,0,1,1,1,0.8,0,0.2,0.2,0.2,0.6,woody
Pandanus spiralis,4,4,2,1,0,0.8,1,0.4,0.2,0,0.6,woody
Bonamia brevifolia,2,0,0,0,0,0.4,0,0,0,0,0.4,herbaceous
Cartonema spicatum,2,0,1,0,0,0.4,0,0.2,0,0,0.4,herbaceous
Chrysopogon fallax,2,1,0,0,0,0.4,0.25,0,0,0,0.4,herbaceous
Commelina ensifolia,2,0,0,0,0,0.4,0,0,0,0,0.4,herbaceous
Fimbristylis xyridis,2,0,0,0,0,0.4,0,0,0,0,0.4,herbaceous
Thysanotus banksii,2,0,0,0,0,0.4,0,0,0,0,0.4,herbaceous
Acacia lamprocarpa,2,1,1,0,0,0.4,0.25,0.2,0,0,0.4,woody
Brachychiton diversifolius,2,1,1,0,0,0.4,0.25,0.2,0,0,0.4,woody
Brachychiton megaphyllus,2,0,0,0,0,0.4,0,0,0,0,0.4,woody
Calytrix exstipulata,2,0,1,0,0,0.4,0,0.2,0,0,0.4,woody
Grevillea decurrens,2,0,0,0,0,0.4,0,0,0,0,0.4,woody
Livistona humilis,2,0,0,0,0,0.4,0,0,0,0,0.4,woody
