taxon_name,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Acacia leptoneura, situated high in the landscape at 335 m elevation ,,,,,,,,,,,,,,,,,,,,
Atriplex yeelirrie, is found only within a palaeovalley of the Yilgarn craton that contains significant nearsurface uranium mineralisation ,,,,,,,,,,,,,,,,,,,,
Bossiaea peninsularis, occurs on sandy soils surrounding salt marshes and lakes near Lake Brimpton and Karkoo on Eyre Peninsula in South Australia Te et al 2009 The species is currently only known from two roadside populations ,,,,,,,,,,,bog lakes roadside,marshes lakes roadside,,,saline,salt,sand,sandy,,
Bruguiera x hainesii, coastal ,,,,,,,,,coastal,coastal,,,,,,,,,,
Choretrum spicatum subsp. spicatum, e margins of a dry lagoon ,,,,,,,dry,dry,,,,,,,,,,,,
Pherosphaera fitzgeraldii, restricted to the spray zones and seeps around waterfalls ,,,,,,,wet,waterfalls,,,,,,,,,,,,
Solanum dissectum, found in openforest and woodland habitats where brigalow Acacia harpophylla andor lapunyah Eucalyptus thozetiana characterise the dominant vegetation types on solodic clay soils Bean 2004 Queensland Herbarium 2012 cited in DEHP 2015 ,,,,,,,,,,,forest_open woodland,openforest woodland,,,,,clay,clay,,
Solanum johnsonianum, found in openforest and woodland habitats where brigalow Acacia harpophylla dominates or codominates on heavy crackingclaysoils Bean 2004 ,,,,,,,,,,,forest_open woodland,openforest woodland,,,,,clay_cracking,crackingclaysoils crackingclays,,
Epacris sparsa, of sparse heath based on historical population data 1970 2017 and data from plots and transects 201723 ,,,,,,,,,,,heath,heath,,,,,,,,
Eucalyptus pachycalyx subsp. banyabba, slight rises on shallow to skeletal sandstone soils in drysclerophyllforests and woodlands OEH 2018 P Sheringham pers comm 27 July 2021 The subspecies can be locally dominant though sparse over a low heathy understorey OEH 2018 In Banyabba NR Banyabba shinybarked gum is found in very openwoodlands on sandstone benches ,,,,,,,dry,drys,swales,rises,forest_dry_sclerophyll woodland_open woodland,drysclerophyllforests openwoodlands openwoodlands woodlands,,,sandstone,sandstone,sand skeletal,sands skeletal,,
Geniostoma huttonii, narrow exposed ridges off the two mountain peaks in the southern mountains ,,,,,,,,,mountains ridges,mountain ridges,,,,,,,,,,
Grevillea bracteosa subsp. howatharra, grows in heavysoils consisting of clay loam with laterite in open sunny positions Olde  Marriot 2008 Associated species include Grevillea pinaster G petrophiloides pink pokers Gastrolobium spinosum prickly poison Banksia fraseri B sessilis parrot bush Ecdeiocolea monostachya Allocasuarina humilis dwarf sheoak Pityrodia terminalis native foxglove Acacia congesta and Stenanthemum pomaderroides ,,,,,,,,,,,,,,,lateritic,laterite,soil_heavy clay loam,heavysoils clay loam,,
Hibbertia abyssus," distinctive geological substrate consisting of Pallinup Siltstone and silica caprock over ultramafic rock The population occurred in shallow redbrown light clay in EucalyptusBanksiaMelaleuca open malleeshrublands Wege and Thiele 2009
Sandstonesiltstone rocky terrain and saprolite breakaway   Mallee woodland over orangebrown sandyclay over silcrete rock ",,,,,,,,,breakaways,breakaway,shrubland_mallee mallee rocky woodland,malleeshrublands mallees breakaway rocky woodland,,,,,clay clay_sandy soil_rocky,clay sandyclay rocky,,
Hibbertia praemorsa, grows in heath or open heathy woodland At Wingello the species grows in shallow sandy soil on undisturbed sandstone rock shelves with heathy vegetation At Hakea Bundanoon the species grows in heath or heathy eucalyptwoodland in association with  dactyloides Leptospermum trinervium Lambertia formosa finger hakea flakybarked teatree  Banksia serrata  mountain devil and oldman banksia At the Budawangs the species grows Eucalyptus multicaulis on a steep rockyslope with northwest aspect in shrubland dominated by  Eriostemon H dactyloides B spinulosa  whipstick ash sp finger hakea and hairpin banksia ,,,,,,,,,slopes_rocky mountains,rockyslope mountain,woodland_eucalypt heath shrubland rocky woodland,eucalyptwoodland heath shrubland rockys woodland,,,sandstone,sandstone,sand soil_rocky,sands sandy rockys,,
Olearia arckaringensis, example of Badlands or Breakaway topography ,,,,,,,,,,,,,,,,,,,,
