Host name,New host record,Tribe,Disease susceptibility rating,Flower/fruit infection,Rust spore type
Acmena hemilampra,,Syzygieae,RT,,2
Acmena ingens,×,Syzygieae,RT,,2
Acmena smithii,,Syzygieae,RT-MS,×,2
Acmenosperma claviflorum,,Syzygieae,MS,,2 3
Agonis flexuosa,,Leptospermeae,ES,,2 3
Anetholea (Backhousia) anisata,,Backhousieae,RT-HS,,2 3
Asteromyrtus brassii,,Leptospermeae,RT,,2
Austromyrtus dulcis,,Myrteae,RT-HS,×,2
Austromyrtus sp. (Lockerbie Scrub),×,Myrteae,RT,,2
Austromyrtus tenuifolia,,Myrteae,RT,,2
Backhousia angustifolia,,Backhousieae,RT,,2
Backhousia bancroftii,×,Backhousieae,RT,,2
Backhousia citriodora,,Backhousieae,MS-HS,×,2 3
Backhousia gundara (Prince Regent),×,Backhousieae,RT,,2
Backhousia hughesii,×,Backhousieae,MS,,2
Backhousia leptopetala,,Backhousieae,HS,,2 3
Backhousia myrtifolia,,Backhousieae,MS,,2
Backhousia oligantha,×,Backhousieae,HS,,2
Backhousia sciadophora,,Backhousieae,RT,,2
Backhousia subargentea,,Backhousieae,RT,,2
Chamelaucium uncinatum,,Chamelaucieae,ES,×,2
Corymbia citriodora subsp. variegatad,,Eucalypteae,RT,,2
Corymbia ficifolia × C. ptychocarpa d,×,Eucalypteae,RT,,2
Corymbia henryi d,,Eucalypteae,RT,,2
Corymbia torelliana d,,Eucalypteae,RT,,2
Darwinia citriodora,,Chamelaucieae,MS,,2 3
Decaspermum humile,,Myrteae,ES,,2 3
Decaspermum humile (North Qld form),×,Myrteae,RT,,2
Eucalyptus carnea,×,Eucalypteae,RT-HS,,2
Eucalyptus cloeziana d,,Eucalypteae,RT,,2
Eucalyptus curtisii,×,Eucalypteae,RT-HS,,2
Eucalyptus grandis,,Eucalypteae,RT-MS,,2
Eucalyptus planchoniana d,×,Eucalypteae,RT-MS,,2
Eucalyptus tereticornis d,,Eucalypteae,RT,,2
Eucalyptus tindaliae d,,Eucalypteae,MS,,2
Eugenia natalitia,×,Myrteae,MS,,2
Eugenia reinwardtiana,,Myrteae,ES,×,2 3
Eugenia uniflora,,Myrteae,MS,×,2
Eugenia zeyheri d,×,Myrteae,MS,,2
