s/no,soil.age,species,nfixtype,pNP.umol/g(fresh)/h,pNP.umol/g(dry)/h,leaf.d15N[‰],leaf.N.mg.g,leaf.P.mg.g,leaf.N:P,cooccuring.ref.sp.used,cooccuring.ref.avg.15N,ndfa.net.B=-1.4,ndfa.aft.redesig
121,BL,Acacia pulchella,legume,41.48860399,126.2462072,,,0.259602991,,Melaleuca leuropoma,-0.659606724,,
229,BL,Acacia pulchella,legume,17.48059528,59.86069058,,,0.308237329,,Melaleuca leuropoma,-0.659606724,,
233,BL,Acacia pulchella,legume,13.91807954,44.65383852,,,0.546647773,,Melaleuca leuropoma,-0.659606724,,
239,BL,Acacia pulchella,legume,118.6369182,551.4110284,,,0.305699388,,Melaleuca leuropoma,-0.659606724,,
241,BL,Acacia pulchella,legume,35.48650729,120.3278121,,,0.298074525,,Melaleuca leuropoma,-0.659606724,,
231,BL,Acacia pulchella,legume,31.81674295,157.5392127,-0.080525796,21.49908103,0.403229955,53.31717241,Melaleuca leuropoma,-0.659606724,-0.460662544,0
119,BL,Acacia pulchella,legume,54.86666667,238.9663182,2.008832295,19.04659331,0.328867081,57.91577938,Melaleuca leuropoma,-0.659606724,-2.773589234,0
123,BL,Acacia pulchella,legume,53.1496063,211.5987461,2.308950085,26.35118059,0.448913944,58.6998487,Melaleuca leuropoma,-0.659606724,-3.105820674,0
237,BL,Acacia pulchella,legume,57.358933,297.2755331,1.786491448,23.09301195,0.348569359,66.25083747,Melaleuca leuropoma,-0.659606724,-2.527457141,0
235,BL,Acacia pulchella,legume,68.65799288,198.3739382,0.500057809,22.72665272,0.338679853,67.10364528,Melaleuca leuropoma,-0.659606724,-1.103370618,0
147,BL,Allocasuarina humilis,actino,3.383838384,6.599684791,,,0.245709643,,Melaleuca leuropoma,-0.659606724,,
149,BL,Allocasuarina humilis,actino,6.436011905,14.02399481,,,0.198847024,,Melaleuca leuropoma,-0.659606724,,
151,BL,Allocasuarina humilis,actino,2.894211577,6.875296349,,,0.257247115,,Melaleuca leuropoma,-0.659606724,,
143,BL,Allocasuarina humilis,actino,12.31884058,19.95305164,-0.989174142,6.598966638,0.29518738,22.35517873,Melaleuca leuropoma,-0.659606724,0.545214343,0.545214343
411,BL,Allocasuarina humilis,actino,12.12832176,26.96735138,-1.901214647,5.977124686,0.238992558,25.00966865,Melaleuca leuropoma,-0.659606724,1.554846362,1
405,BL,Allocasuarina humilis,actino,21.26136074,55.81958102,-3.420260216,5.389355286,0.196659643,27.40448017,Melaleuca leuropoma,-0.659606724,3.236435102,1
409,BL,Allocasuarina humilis,actino,15.84156092,44.28256631,-2.997323731,8.444111307,0.264669806,31.90432424,Melaleuca leuropoma,-0.659606724,2.768242939,1
407,BL,Allocasuarina humilis,actino,19.96165262,59.4551615,,,0.117752937,,Melaleuca leuropoma,-0.659606724,,
153,BL,Allocasuarina humilis,actino,2.625570776,5.628976995,-1.159189204,9.712335727,0.23775375,40.85039974,Melaleuca leuropoma,-0.659606724,0.733421609,0.733421609
145,BL,Allocasuarina humilis,actino,5.021367521,11.5877712,-2.842779377,10.45376007,0.227593554,45.93170539,Melaleuca leuropoma,-0.659606724,2.5971618,1
271,BL,Astroloma xerophyllum,non,25.40298632,106.8538313,-1.96200774,5.656392573,0.308372685,18.34271597,,,,
285,BL,Astroloma xerophyllum,non,7.896485024,18.45283869,-2.878085536,8.241418955,0.316054735,26.07592307,,,,
273,BL,Astroloma xerophyllum,non,8.092529472,18.26329609,-0.200734156,6.947462289,0.265037959,26.21308402,,,,
279,BL,Astroloma xerophyllum,non,9.38812058,18.86197742,-0.57171919,9.072554348,0.308843291,29.37591527,,,,
277,BL,Astroloma xerophyllum,non,14.60358373,27.98291493,0.632161413,11.58995723,0.339016899,34.18696019,,,,
G1,BL,Conostylis crassinervia,non,8.148148148,14.22447115,2.221269372,11.69582105,0.415925652,28.11998008,,,,
G10,BL,Conostylis crassinervia,non,7.619047619,11.7530276,1.989518698,10.314325,0.364424422,28.30305648,,,,
G2,BL,Conostylis crassinervia,non,15.85487528,25.48848061,1.88843891,11.55312766,0.322515518,35.82192799,,,,
G3,BL,Conostylis crassinervia,non,6.069759079,10.71133955,2.242468115,11.19120105,0.308243333,36.30638477,,,,
G4,BL,Conostylis crassinervia,non,16.92307692,30.47091413,,,0.451548414,,,,,
G5,BL,Conostylis crassinervia,non,22.98412698,31.73350866,,,0.359122144,,,,,
G6,BL,Conostylis crassinervia,non,17.64137539,65.25806791,,,0.250798293,,,,,
G7,BL,Conostylis crassinervia,non,8.602150538,17.4291939,,,0.255455405,,,,,
G8,BL,Conostylis crassinervia,non,13.37373737,22.34033578,,,0.390657908,,,,,
G9,BL,Conostylis crassinervia,non,10.51643192,17.97031689,,,0.349759386,,,,,
257,BL,Hibbertia hypericoides,non,3.340261366,9.076352795,-0.409531203,6.643876434,0.303523179,21.88918967,,,,
107,BL,Hibbertia hypericoides,non,14.73577236,32.83514493,-0.11614588,8.06392437,0.356735614,22.60476401,,,,
259,BL,Hibbertia hypericoides,non,9.549952456,29.27922386,1.095720641,8.510594128,0.365626858,23.27672036,,,,
261,BL,Hibbertia hypericoides,non,24.97272232,89.78956338,,,0.298168676,,,,,
263,BL,Hibbertia hypericoides,non,5.957027813,15.46737046,,,0.411065804,,,,,
265,BL,Hibbertia hypericoides,non,10.22376658,25.55941646,,,0.380352996,,,,,
267,BL,Hibbertia hypericoides,non,8.017075367,32.3269168,,,0.320371274,,,,,
269,BL,Hibbertia hypericoides,non,3.48368927,7.53091651,,,0.424738813,,,,,
111,BL,Hibbertia hypericoides,non,8.333333333,24.69931271,-0.27725775,10.1513255,0.374890262,27.07812533,,,,
109,BL,Hibbertia hypericoides,non,6.310211946,10.8407812,0.366297057,7.819984099,0.265604289,29.44223577,,,,
451,BL,Jacksonia floribunda,legume,18.62560327,70.1199182,-1.188744727,11.24170213,0.288625201,38.94913573,Melaleuca leuropoma,-0.659606724,0.766139676,0.766139676
