scientific name,species,distribution,habitat,Susceptibility category range,habitat,myrtle_rust_susceptibility
Angophora costata (Gaertn.) Britten,Angophora costata,"NSW, QLD, VIC",Dry sclerophyll forest,Resistant to high,Dry sclerophyll forest,Resistant high
Callistemon citrinus (Curtis) Skeels,Callistemon citrinus,"NSW, QLD, VIC",Swampy woodland,Resistant to high,Swampy woodland,Resistant high
Callistemon viminalis (Gaertn.) G.Don,Callistemon viminalis,"NSW, QLD",Wet forest,Resistant to high,Wet forest,Resistant high
Corymbia citriodora Hook,Corymbia citriodora,"NSW, QLD",Dry sclerophyll forest,Resistant to high,Dry sclerophyll forest,Resistant high
Eucalyptus moluccana Roxb,Eucalyptus moluccana ,"NSW, QLD",Grassy woodland,Resistant to high,Grassy woodland,Resistant high
Eucalyptus saligna Sm,Eucalyptus saligna,"NSW, QLD",Wet forest,Resistant to moderate,Wet forest,Resistant medium
Leptospermum trinervium (Sm.) Joy Thomps,Leptospermum trinervium,"NSW, QLD, VIC",Dry sclerophyll forest,Resistant to high,Dry sclerophyll forest,Resistant high
