vial,stage,sp,rep,repeat,nm,ecto,hyp,ves,arb,total,total.am,arbuscles%,hyphae%,vesicles%,AM%,EM%
,B,Melaleuca leuropoma,10,1,134,16,0,0,0,150,0,0,0,0,0,10.66666667
71,QM,Acacia lasiocarpa,1,1,110,26,8,9,5,158,22,3.164556962,5.063291139,5.696202532,13.92405063,16.4556962
72,QM,Acacia lasiocarpa,3,1,97,36,9,9,2,153,20,1.307189542,5.882352941,5.882352941,13.07189542,23.52941176
73,QM,Acacia lasiocarpa,4,1,102,24,11,11,3,151,25,1.986754967,7.284768212,7.284768212,16.55629139,15.89403974
74,QM,Acacia lasiocarpa,5,1,109,22,12,10,2,155,24,1.290322581,7.741935484,6.451612903,15.48387097,14.19354839
75,QM,Acacia lasiocarpa,6,1,122,8,10,10,3,153,23,1.960784314,6.535947712,6.535947712,15.03267974,5.22875817
76,QM,Acacia lasiocarpa,7,1,121,4,14,14,6,159,34,3.773584906,8.805031447,8.805031447,21.3836478,2.51572327
77,QM,Acacia lasiocarpa,12,1,118,20,6,3,5,152,14,3.289473684,3.947368421,1.973684211,9.210526316,13.15789474
78,QM,Acacia lasiocarpa,13,1,98,12,9,8,6,133,23,4.511278195,6.766917293,6.015037594,17.29323308,9.022556391
79,QM,Acacia lasiocarpa,14,1,89,33,9,6,1,138,16,0.724637681,6.52173913,4.347826087,11.5942029,23.91304348
80,QM,Acacia lasiocarpa,15,1,117,14,7,7,5,150,19,3.333333333,4.666666667,4.666666667,12.66666667,9.333333333
81,QM,Acacia lasiocarpa,16,1,78,15,7,7,3,110,17,2.727272727,6.363636364,6.363636364,15.45454545,13.63636364
2,QM,Allocasuarina lehmanniana,1,1,141,4,3,2,2,152,7,1.315789474,1.973684211,1.315789474,4.605263158,2.631578947
3,QM,Allocasuarina lehmanniana,2,1,139,2,8,7,1,157,16,0.636942675,5.095541401,4.458598726,10.1910828,1.27388535
4,QM,Allocasuarina lehmanniana,3,1,148,1,1,1,0,151,2,0,0.662251656,0.662251656,1.324503311,0.662251656
5,QM,Allocasuarina lehmanniana,4,1,114,5,13,13,1,146,27,0.684931507,8.904109589,8.904109589,18.49315068,3.424657534
86,QM,Allocasuarina lehmanniana,5,1,146,4,0,0,0,150,0,0,0,0,0,2.666666667
36,QM,Allocasuarina lehmanniana,6,1,103,5,6,6,0,120,12,0,5,5,10,4.166666667
37,QM,Allocasuarina lehmanniana,7,1,140,10,0,0,0,150,0,0,0,0,0,6.666666667
38,QM,Allocasuarina lehmanniana,8,1,141,7,1,1,0,150,2,0,0.666666667,0.666666667,1.333333333,4.666666667
39,QM,Allocasuarina lehmanniana,9,1,143,7,0,0,0,150,0,0,0,0,0,4.666666667
40,QM,Allocasuarina lehmanniana,10,1,100,4,0,0,0,104,0,0,0,0,0,3.846153846
26,QM,Acantocarpus preissii,1,1,148,2,0,0,0,150,0,0,0,0,0,1.333333333
88,QM,Acantocarpus preissii,1,1,84,12,2,0,2,100,4,2,2,0,4,12
