Species,Field susceptibility
Eucalyptus calophylla,R
Eucalyptus maculata,R
Acacia pulchella,R
Gahnia radula,R
Juncus bufonius,R
Zea mays,R
Triticum aestivum,R
Eucalyptus marginata,S
Eucalyptus sieberi,S
Acacia melanoxylon,S
Themeda australis,S
Xanthorrhoea australis,S
Xanthorrhoea resinosa,S
