species,susceptibility,change_abundance-GridB,change_abundance-GridC
Aotus ericoides,susceptible,decreased,decreased
Banksia marginata,susceptible,decreased,decreased
Cassytha glabella,,,decreased
Conospermum mitchellii,susceptible,decreased,decreased
Dillwynia glaberrima,susceptible,decreased,decreased
Epacris impressa,susceptible,decreased,decreased
Hibbertia prostrata,susceptible,decreased,decreased
Leucopogon virgatus,,decreased,decreased
Monotoca scoparia,,decreased,decreased
Stylidium graminifolium,,,decreased
Tetratheca ciliata,,,decreased
Xanthorrhoea australis,susceptible,decreased,decreased
Acacia suaveolens,not_susceptible,,increased
Allocasuarina misera,susceptible,,increased
Burchardia umbellata,,increased,increased
Calytrix tetpugonia,,,increased
Chamaescilla corymbosa,,,increased
Drosera macrantha,,,increased
Gahnia radula,,increased,increased
Gonocarpus tetragynus,,increased,increased
Goodenia geniculata,,,increased
Hakea ulcina,,,increased
Lepidosperma filiforme,,,increased
Lindsaea linearis,,increased,increased
Pultenaea humilis,,increased,increased
Schoenus tenuissimus,,increased,increased
Sphaerolobium vimineum,,,increased
Stipa mollis,,,increased
Davesia brevifolia,susceptible,,
Eucalyptis willisii,susceptible,,
Isopogon ceratophyllus,susceptible,decreased,
Sprengelia incarnata,susceptible,,
Tetratheca ciliata,susceptible,,
Leptospermum continentale,not_susceptible,increased,
Lomandra filiformis,,increased,
Opercularia varia,,increased,
Rhytidosporum procumbens,,increased,
Xanthosia pusilla,,increased,
Tetrarrhena distichophylla,,,increased
