family,genera,,,
Balanophoraceae,Balanophora,lacks roots,Heywood et al. 1996,
Apodanthaceae,Pilostyles,lacks roots,,internal parasite
Lauraceae,Cassytha,lacks roots,,haustaurial parasite
Loranthaceae,Amyema,,,Parasitic epiphytes attached to branches by haustoria
Loranthaceae,Decaisnina ,,,Parasitic epiphytes attached to branches by haustoria
Loranthaceae,Dendrophthoe,,,Parasitic epiphytes attached to branches by haustoria
Loranthaceae,Lysiana,,,Parasitic epiphytes attached to branches by haustoria
Loranthaceae,Nuytsia,,,tree with root haustoria
Santalaceae,Exocarpus,,,Hemiparasites - Parasitic plants with root haustoria
Santalaceae,Leptomeria,,,Hemiparasites - Parasitic plants with root haustoria
Santalaceae,Santalum,,,Hemiparasites - Parasitic plants with root haustoria
Scrophulariaceae,"Buchnera, Parentucellia (weed) Striga ",,,Root hemi-parasites
Scrophulariaceae,"Euphrasia, Glossostigma, Limosella",,,Aquatic Glossostigma spp. - Clayton & Bagyaraj 1984 (NZ). Euphrasia - Johnson & Ryan 2000 (Alpine).
