Family,Species,Distribution,EPBC Act,Putative IUCN category,Isolated from plant tissue,No response,Mild response,Severe reposnse,Habitat suitability,Risk,Expert change / reason for change,suggested_name,accepted_name,family,taxon_distribution
ACANTHACEAE,Avicennia marina,"n,nt,q,s,v,w",,,Weste (2001),,,Weste (2001),Unsuitable,Low,Habitat suitability changed to Unsuitable because of the saline habitat in which it grows but deemed as based on EEO,Avicennia marina,Avicennia marina,Acanthaceae,"WA, NT, SA, Qld, NSW, LHI, Vic"
AMARANTHACEAE,Ptilotus declinatus,w,,,,McDougall (1997),,,Suitable,Low,,Ptilotus declinatus,Ptilotus declinatus,Amaranthaceae,WA
AMARANTHACEAE,Ptilotus manglesii,w,,,,Groves et al. (2009),,Shearer & Dillon (1996),Suitable,Low,,Ptilotus manglesii,Ptilotus manglesii,Amaranthaceae,WA
ANARTHRIACEAE,Anarthria gracilis,w,,,Wills (1993),"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,,Anarthria gracilis,Anarthria gracilis,Anarthriaceae,WA
ANARTHRIACEAE,Anarthria prolifera,w,,,Wills (1993),"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,,Anarthria prolifera,Anarthria prolifera,Anarthriaceae,WA
ANARTHRIACEAE,Anarthria scabra,w,,,Wills (1993),"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,,Anarthria scabra,Anarthria scabra,Anarthriaceae,WA
ANARTHRIACEAE,Lyginia barbata,w,,,,Barrett (pers. comm.),,,Suitable,Low,,Lyginia barbata,Lyginia barbata,Anarthriaceae,WA
ANARTHRIACEAE,Lyginia imberbis,w,,,,Groves et al. (2009),,,Suitable,Low,,Lyginia imberbis,Lyginia imberbis,Anarthriaceae,WA
ANNONACEAE,Goniothalamus australis,q,,V,,,,Worboys et al. (2003),Suitable,Moderate,,Goniothalamus australis,Goniothalamus australis,Annonaceae,Qld
APIACEAE,Actinotus bellidioides,"t,v",,,"Podger et al. (1990), Podger & Brown (1989)",,Rudman (pers. comm.),,Suitable,Low,,Actinotus bellidioides,Actinotus bellidioides,Apiaceae,"Vic (presumed extinct), Tas"
APIACEAE,Actinotus helianthi,"n,q",,,Fraser (1956),,,,Suitable,Low,,Actinotus helianthi,Actinotus helianthi,Apiaceae,"Qld, NSW, Vic (naturalised)"
APIACEAE,Actinotus rhomboideus,w,,,DBCA (2021),Barrett (pers. comm.),,,Suitable,Low,,Actinotus rhomboideus,Actinotus rhomboideus,Apiaceae,WA
APIACEAE,Apium prostratum,"n,q,s,t,v,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Apium prostratum [alternative possible names: Apium annuum (pro parte misapplied) | Apium insulare (pro parte misapplied)],Apium prostratum,Apiaceae,"WA, SA, Qld, NSW, Vic, Tas"
APIACEAE,Oschatzia saxifraga,t,,V,,,Rudman & Balmer (2008),,Suitable,Low,,Oschatzia saxifraga,Oschatzia saxifraga,Apiaceae,Tas
APIACEAE,Pentapeltis peltigera,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,McDougall (1997),Suitable,Low,,Pentapeltis peltigera,Pentapeltis peltigera,Apiaceae,WA
APIACEAE,Platysace compressa,w,,,"Podger (1968), Shearer & Dillon (1995), Shivas (1989)",,,"Shearer & Dillon (1995), Titze & Palzer (1969), McDougall (1997)",Suitable,Low,,Platysace compressa,Platysace compressa,Apiaceae,WA
APIACEAE,Platysace heterophylla,"n,s,v",,,Weste (2001),,,Weste (2001),Suitable,Low,,Platysace heterophylla,Platysace heterophylla,Apiaceae,"SA, NSW, Vic"
APIACEAE,Platysace lanceolata,n,,,McDougall (pers. comm.),,McDougall (pers. comm.),,Suitable,Low,,Platysace lanceolata,Platysace lanceolata,Apiaceae,"Qld, NSW, ACT, Vic"
APIACEAE,Platysace tenuissima,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,,Suitable,Low,,Platysace tenuissima,Platysace tenuissima,Apiaceae,WA
APIACEAE,Trachymene pilosa,"s,v,w",,,Crone et al. (2013),Crone et al. (2013),,,Suitable,Low,,Trachymene pilosa,Trachymene pilosa,Araliaceae,"WA, SA, Vic"
APIACEAE,Xanthosia atkinsoniana,"n,w",,,,"Shearer & Dillon (1996), McDougall (1997)",,,Suitable,Low,,Xanthosia atkinsoniana,Xanthosia atkinsoniana,Apiaceae,"WA, NSW"
APIACEAE,Xanthosia candida,w,,,,"Shearer & Dillon (1996), McDougall (1997)",,,Suitable,Low,,Xanthosia candida,Xanthosia candida,Apiaceae,WA
APIACEAE,Xanthosia dissecta,"n,t,v",,,Weste (2001),,,Weste (2001),Suitable,Low,,Xanthosia dissecta,Xanthosia dissecta,Apiaceae,"NSW, Vic, Tas"
APIACEAE,Xanthosia huegelii,"s,v,w",,,,"McDougall (1997), Bishop et al. (2010)",,,Suitable,Low,,Xanthosia huegelii,Xanthosia huegelii,Apiaceae,"WA, SA, Vic"
APIACEAE,Xanthosia rotundifolia,w,,,,"Wills (1993), Barrett (1996)",,,Suitable,Low,,Xanthosia rotundifolia,Xanthosia rotundifolia,Apiaceae,WA
APIACEAE,Xanthosia tridentata,"n,t,v",,,Fraser (1956),,,,Suitable,Low,,Xanthosia tridentata,Xanthosia tridentata,Apiaceae,"NSW, Vic, Tas"
APOCYNACEAE,Alstonia muelleriana,q,,,,,,Worboys et al. (2003),Suitable,Moderate,,Alstonia muelleriana,Alstonia muelleriana,Apocynaceae,Qld
