Family,Species,Distribution,EPBC Act,Putative IUCN category,Isolated from plant tissue,No response,Mild response,Severe reposnse,Habitat suitability,Risk,Expert change / reason for change,suggested_name,accepted_name,family,taxon_distribution
ARALIACEAE,Hydrocotyle callicarpa,"n,s,t,v,w",,,Crone et al. (2013),Crone et al. (2013),,,Suitable,Low,,Hydrocotyle callicarpa,Hydrocotyle callicarpa,Araliaceae,"WA, SA, NSW, Vic, Tas"
ARALIACEAE,Hydrocotyle hirta,"a,n,s,t,v,w",,,Cahill (pers. comm.),Groves et al. (2009),,,Suitable,Low,,Hydrocotyle hirta [alternative possible names: Hydrocotyle intertexta (pro parte misapplied) | Hydrocotyle perplexa (pro parte misapplied)],Hydrocotyle hirta,Araliaceae,"WA, SA, NSW, LHI, ACT, Vic, Tas"
ARALIACEAE,Polyscias australiana,"nt,q",,,,Worboys et al. (2003),,,Suitable,Low,,Polyscias australiana,Polyscias australiana,Araliaceae,"NT, Qld"
ARALIACEAE,Polyscias murrayi,"n,q,v",,,,,,Worboys et al. (2003),Suitable,Low,,Polyscias murrayi,Polyscias murrayi,Araliaceae,"Qld, NSW, Vic"
ARAUCARIACEAE,Araucaria cunninghamii,"n,q",,,Shuey (pers. comm.),,,,Suitable,Low,,Araucaria cunninghamii,Araucaria cunninghamii,Araucariaceae,"Qld, NSW"
ARAUCARIACEAE,Wollemia nobilis,n,CE,,"Bullock et al. (2000), Summerell (pers. comm.)",,,"Bullock et al. (2000), Summerell (pers. comm.)",Suitable,Very high,,Wollemia nobilis,Wollemia nobilis,Araucariaceae,NSW
ARECACEAE,Archontophoenix cunninghamiana,"n,q",,,Brown (1998),,,,Suitable,Low,,Archontophoenix cunninghamiana,Archontophoenix cunninghamiana,Arecaceae,"Qld, NSW"
ARECACEAE,Oraniopsis appendiculata,q,,V,,,,Worboys et al. (2003),Suitable,Moderate,,Oraniopsis appendiculata,Oraniopsis appendiculata,Arecaceae,Qld
ASPARAGACEAE,Chamaescilla corymbosa var. corymbosa,"s,t,v,w",,,"Cahill (pers. comm.), Crone et al. (2013)",McDougall (1997),Crone et al. (2013),VNPS (1995),Suitable,Low,,Chamaescilla corymbosa var. corymbosa,Chamaescilla corymbosa var. corymbosa,Asparagaceae,"WA, SA, Vic, Tas"
ASPARAGACEAE,Chamaexeros longicaulis,w,,E,,,,Freebury (pers. comm.),Suitable,High,,Chamaexeros longicaulis,Chamaexeros longicaulis,Asparagaceae,WA
ASPARAGACEAE,Chamaexeros serra,w,,,Wills (1993),Wills (1993),,,Suitable,Low,,Chamaexeros serra,Chamaexeros serra,Asparagaceae,WA
ASPARAGACEAE,Cordyline murchisoniae,q,,,Brown (1998),,,,Suitable,Low,,Cordyline murchisoniae,Cordyline murchisoniae,Asparagaceae,Qld
ASPARAGACEAE,Laxmannia grandiflora subsp. stirlingensis,w,,,,Barrett (pers. comm.),,,Suitable,Low,,Laxmannia grandiflora subsp. stirlingensis,Laxmannia grandiflora subsp. stirlingensis,Asparagaceae,WA
ASPARAGACEAE,Laxmannia jamesii,w,,,,Barrett (pers. comm.),,,Suitable,Low,,Laxmannia jamesii,Laxmannia jamesii,Asparagaceae,WA
ASPARAGACEAE,Laxmannia orientalis,"n,s,t,v",,,Weste (2001),Weste (2001),,,Suitable,Low,,Laxmannia orientalis,Laxmannia orientalis,Asparagaceae,"SA, NSW, Vic, Tas"
ASPARAGACEAE,Laxmannia squarrosa,w,,,,McDougall (1997),,,Suitable,Low,,Laxmannia squarrosa,Laxmannia squarrosa,Asparagaceae,WA
ASPARAGACEAE,Lomandra caespitosa,w,,,McDougall (1997),,,,Suitable,Low,,Lomandra caespitosa,Lomandra caespitosa,Asparagaceae,WA
ASPARAGACEAE,Lomandra confertifolia,"n,q,v",,,,"Howard et al. (2004), McDougall (pers. comm.), Groves et al. (2009)",,,Suitable,Low,,Lomandra confertifolia,Lomandra confertifolia,Asparagaceae,"Qld, NSW, Vic"
ASPARAGACEAE,Lomandra filiformis,"a,n,q,s,v",,,Weste (2001),"Weste (2001), Groves et al. (2009)",,,Suitable,Low,,Lomandra filiformis,Lomandra filiformis,Asparagaceae,"SA, Qld, NSW, ACT, Vic"
ASPARAGACEAE,Lomandra hermaphrodita,w,,,,McDougall (1997),,,Suitable,Low,,Lomandra hermaphrodita,Lomandra hermaphrodita,Asparagaceae,WA
ASPARAGACEAE,Lomandra integra,w,,,McDougall (1997),Groves et al. (2009),,,Suitable,Low,,Lomandra integra,Lomandra integra,Asparagaceae,WA
ASPARAGACEAE,Lomandra longifolia,"a,n,q,s,t,v",,,Weste (2001),"Rudman (pers. comm.), Weste (2001)",,,Suitable,Low,,Lomandra longifolia,Lomandra longifolia,Asparagaceae,"SA, Qld, NSW, ACT, Vic, Tas"
ASPARAGACEAE,Lomandra nigricans,w,,,,Groves et al. (2009),,,Suitable,Low,,Lomandra nigricans,Lomandra nigricans,Asparagaceae,WA
ASPARAGACEAE,Lomandra obliqua,"n,q",,,,Howard et al. (2004),,,Suitable,Low,,Lomandra obliqua,Lomandra obliqua,Asparagaceae,"Qld, NSW"
ASPARAGACEAE,Lomandra odora,w,,,"Shearer & Dillon (1995), DBCA (2021)",,,,Suitable,Low,,Lomandra odora,Lomandra odora,Asparagaceae,WA
ASPARAGACEAE,Lomandra ordii,w,,E,DBCA (2021),,,Freebury (pers. comm.),Suitable,High,,Lomandra ordii,Lomandra ordii,Asparagaceae,WA
ASPARAGACEAE,Lomandra pauciflora,w,,,,"Barrett (pers. comm.), Wills (1993)",,,Suitable,Low,,Lomandra pauciflora,Lomandra pauciflora,Asparagaceae,WA
ASPARAGACEAE,Lomandra preissii,w,,,,Wills (1993),,,Suitable,Low,,Lomandra preissii,Lomandra preissii,Asparagaceae,WA
ASPARAGACEAE,Lomandra sonderi,w,,,"Edmiston (1989), Gardner & Rokich (1987), McDougall (1997), Shearer & Dillon (1995), DBCA (2021)",Groves et al. (2009),Edmiston (1989),"McDougall (1997), Shearer & Dillon (1995)",Suitable,Low,,Lomandra sonderi,Lomandra sonderi,Asparagaceae,WA
ASPARAGACEAE,Lomandra spartea,w,,,,McDougall (1997),,,Suitable,Low,,Lomandra spartea,Lomandra spartea,Asparagaceae,WA
ASPARAGACEAE,Thysanotus dichotomus,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,,Suitable,Low,,Thysanotus dichotomus,Thysanotus dichotomus,Asparagaceae,WA
ASPARAGACEAE,Thysanotus multiflorus,w,,,McDougall (1997),,,"McDougall (1997), Freebury (pers. comm.)",Suitable,Low,,Thysanotus multiflorus,Thysanotus multiflorus,Asparagaceae,WA
ASPARAGACEAE,Thysanotus tenellus,,,,,Groves et al. (2009),,,Suitable,Low,,Thysanotus tenellus,Thysanotus tenellus,Asparagaceae,"WA, SA"
ASPARAGACEAE,Thysanotus thyrsoideus,w,,,,,,McDougall (1997),Suitable,Low,,Thysanotus thyrsoideus,Thysanotus thyrsoideus,Asparagaceae,WA
ASTELIACEAE,Astelia australiana,v,V,E,"Burgman & Ferguson (1995), Parker (2018)",,,Parker (2018),Suitable,High,,Astelia australiana,Astelia australiana,Asteliaceae,Vic
ASTERACEAE,Allittia uliginosa,"s,v",,,Weste (2001),,,Weste (2001),Suitable,Low,,Allittia uliginosa,Allittia uliginosa,Asteraceae,"SA, Vic"
ASTERACEAE,Argentipallium obtusifolium,"n,s,t,v",,,Weste (2001),,,Weste (2001),Suitable,Low,,Argentipallium obtusifolium,Argentipallium obtusifolium,Asteraceae,"SA, NSW, Vic, Tas"
ASTERACEAE,Brachyscome diversifolia,"a,n,q,s,t,v",,,,Kueh (2011),,,Suitable,Low,,Brachyscome diversifolia,Brachyscome diversifolia,Asteraceae,"SA, NSW, ACT, Tas"
ASTERACEAE,Cassinia aculeata,"a,n,t,v",,,Weste (2001),Weste (2001),,,Suitable,Low,,Cassinia aculeata,Cassinia aculeata,Asteraceae,"NSW, ACT, Vic, Tas"
ASTERACEAE,Cymbonotus preissianus,"a,n,s,t,v,w",,,,Groves et al. (2009),,,Suitable,Low,,Cymbonotus preissianus,Cymbonotus preissianus,Asteraceae,"WA, SA, NSW, ACT, Vic, Tas"
ASTERACEAE,Hyalosperma cotula,w,,,,McDougall (1997),,,Suitable,Low,,Hyalosperma cotula,Hyalosperma cotula,Asteraceae,WA
ASTERACEAE,Ixodia achillaeoides,"s,v",,,SARDI (pers. comm.),,,,Suitable,Low,,Ixodia achillaeoides,Ixodia achillaeoides,Asteraceae,"SA, Vic"
ASTERACEAE,Lagenophora huegelii,"s,t,v,w",,,,"Crone et al. (2013), McDougall (1997)",,,Suitable,Low,,Lagenophora huegelii,Lagenophora huegelii,Asteraceae,WA
ASTERACEAE,Microseris scapigera,"t,v",,,,Groves et al. (2009),,,Suitable,Low,,Microseris scapigera,Microseris scapigera,Asteraceae,"Vic, Tas"
ASTERACEAE,Millotia tenuifolia,"n,s,t,v,w",,,,McDougall (1997),,,Suitable,Low,,Millotia tenuifolia,Millotia tenuifolia,Asteraceae,"WA, SA, NSW, Vic, Tas"
ASTERACEAE,Olearia axillaris,"n,s,t,v,w",,,,Wills (1993),,,Suitable,Low,,Olearia axillaris,Olearia axillaris,Asteraceae,"WA, SA, NSW, Vic, Tas"
ASTERACEAE,Olearia ciliata,"s,t,v,w",,,Weste (2001),Weste (2001),,,Suitable,Low,,Olearia ciliata,Olearia ciliata,Asteraceae,"WA, SA, Vic, Tas"
ASTERACEAE,Olearia pannosa subsp. cardiophylla,"s,v",,,Weste (2001),,,Weste (2001),Suitable,Low,,Olearia pannosa subsp. cardiophylla,Olearia pannosa subsp. cardiophylla,Asteraceae,"SA, Vic"
ASTERACEAE,Olearia pannosa subsp. pannosa,s,V,,Kueh (2011),,,Kueh (2011),Suitable,Low,,Olearia pannosa subsp. pannosa,Olearia pannosa subsp. pannosa,Asteraceae,SA
ASTERACEAE,Olearia paucidentata,w,,,,McDougall (1997),,,Suitable,Low,,Olearia paucidentata,Olearia paucidentata,Asteraceae,WA
ASTERACEAE,Olearia teretifolia,"s,v",,,Taylor (1974),,,,Suitable,Low,,Olearia teretifolia,Olearia teretifolia,Asteraceae,"SA, Vic"
ASTERACEAE,Ozothamnus obcordatus,"n,q,t,v",,,Taylor (1974),McDougall (pers. comm.),,,Suitable,Low,,Ozothamnus obcordatus,Ozothamnus obcordatus,Asteraceae,"Qld, NSW, Vic, Tas"
ASTERACEAE,Podolepis gracilis,w,,,,McDougall (1997),,,Suitable,Low,,Podolepis gracilis,Podolepis gracilis,Asteraceae,WA
ASTERACEAE,Podotheca angustifolia,"n,s,t,v,w",,,Crone et al. (2013),"Crone et al. (2013), McDougall (1997)",,,Suitable,Low,,Podotheca angustifolia,Podotheca angustifolia,Asteraceae,"WA, SA, NSW, Vic, Tas (presumed extinct)"
ASTERACEAE,Pterochaeta paniculata,w,,,Crone et al. (2013),"Crone et al. (2013), McDougall (1997)",,,Suitable,Low,,Pterochaeta paniculata,Pterochaeta paniculata,Asteraceae,WA
ASTERACEAE,Rhodanthe citrina,"n,nt,s,w",,,,Crone et al. (2013),,,Suitable,Low,,Rhodanthe citrina,Rhodanthe citrina,Asteraceae,"WA, NT, SA, NSW"
ASTERACEAE,Senecio velleioides,"n,t,v",,,,McDougall (pers. comm.),,,Suitable,Low,,Lordhowea velleioides,Lordhowea velleioides,Asteraceae,"NSW, Vic, Tas"
ASTERACEAE,Siloxerus multiflorus,"n,s,t,v,w",,,Crone et al. (2013),Crone et al. (2013),,,Suitable,Low,,Siloxerus multiflorus,Siloxerus multiflorus,Asteraceae,"WA, SA, NSW, Vic, Tas"
ASTERACEAE,Trichocline spathulata,w,,,,Groves et al. (2009),,McDougall (1997),Suitable,Low,,Trichocline spathulata,Trichocline spathulata,Asteraceae,WA
ASTERACEAE,Waitzia nitida,w,,,,McDougall (1997),,,Suitable,Low,,Waitzia nitida,Waitzia nitida,Asteraceae,WA
ATHEROSPERMATACEAE,Atherosperma moschatum,"n,t,v",,,Podger et al. (1990),,,,Suitable,Low,,Atherosperma moschatum,Atherosperma moschatum,Atherospermataceae,"NSW, Vic, Tas"
ATHEROSPERMATACEAE,Daphnandra repandula,q,,,,Worboys et al. (2003),,,Suitable,Low,,Daphnandra repandula,Daphnandra repandula,Atherospermataceae,Qld
BALANOPACEAE,Balanops australiana,q,,,,Worboys et al. (2003),,,Suitable,Low,,Balanops australiana,Balanops australiana,Balanopaceae,Qld
BLANDFORDIACEAE,Blandfordia punicea,t,,,"Podger et al. (1990), Schahinger et al. (2003)",,,Rudman & Balmer (2008),Suitable,Low,,Blandfordia punicea,Blandfordia punicea,Blandfordiaceae,Tas
BLECHNACEAE,Blechnum wattsii,"a,n,q,s,t,v",,,Podger et al. (1990),McDougall (pers. comm.),,,Suitable,Low,,Blechnum wattsii,Blechnum wattsii,Blechnaceae,"SA, Qld, NSW, ACT, Vic, Tas"
BORYACEAE,Borya mirabilis,v,E,CE,Weste (2001),,,Weste (2001),Suitable,Very high,,Borya mirabilis,Borya mirabilis,Boryaceae,Vic
CAMPANULACEAE,Isotoma hypocrateriformis,w,,,,McDougall (1997),,,Suitable,Low,,Isotoma hypocrateriformis,Isotoma hypocrateriformis,Campanulaceae,WA
CAMPANULACEAE,Lobelia gibbosa,"a,n,nt,q,s,t,v,w",,,,Wills (1993),,,Suitable,Low,,Lobelia gibbosa,Lobelia gibbosa,Campanulaceae,"WA, NT, SA, Qld, NSW, ACT, Vic, Tas"
CAMPANULACEAE,Lobelia rhytidosperma,w,,,,McDougall (1997),,,Suitable,Low,,Lobelia rhytidosperma,Lobelia rhytidosperma,Campanulaceae,WA
CARYOPHYLLACEAE,Stellaria flaccida,"a,n,q,s,t,v",,,,McDougall (pers. comm.),,,Suitable,Low,,Stellaria flaccida,Stellaria flaccida,Caryophyllaceae,"SA, Qld, NSW, ACT, Vic, Tas"
CASUARINACEAE,Allocasuarina acutivalvis,w,,,Taylor (1974),,,,Unsuitable,Low,,Allocasuarina acutivalvis,Allocasuarina acutivalvis,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina campestris,w,,,Taylor (1974),,,,Half unsuitable,Low,,Allocasuarina campestris,Allocasuarina campestris,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina crassa,t,,E,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Moderate,"Occurs on low risk dolerite substrate, changed to moderate",Allocasuarina crassa,Allocasuarina crassa,Casuarinaceae,Tas
CASUARINACEAE,Allocasuarina decussata,w,,,,Barrett (pers. comm.),,,Suitable,Low,,Allocasuarina decussata,Allocasuarina decussata,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina duncanii,t,,E,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Moderate,"Occurs on low risk dolerite substrate, changed to moderate",Allocasuarina duncanii,Allocasuarina duncanii,Casuarinaceae,Tas
CASUARINACEAE,Allocasuarina fibrosa,w,V,E,,,,Shearer & Crane (unpub. data),Suitable,High,,Allocasuarina fibrosa,Allocasuarina fibrosa,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina fraseriana,w,,,"Pratt & Heather (1973), Shearer & Dillon (1995), Podger (1968), Shearer & Dillon (1996)",,,"Wills (1993), Hart (1983), Podger (1972), McDougall (1997)",Suitable,Low,,Allocasuarina fraseriana,Allocasuarina fraseriana,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina globosa,w,,,,,Shearer & Crane (unpub. data),,Unsuitable,Low,,Allocasuarina globosa,Allocasuarina globosa,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina helmsii,"s,w",,,Taylor (1974),,,,Mostly unsuitable,Low,,Allocasuarina helmsii,Allocasuarina helmsii,Casuarinaceae,"WA, SA"
CASUARINACEAE,Allocasuarina humilis,w,,,"Taylor (1974), Wills (1993)","Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,,Allocasuarina humilis,Allocasuarina humilis,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina hystricosa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Allocasuarina hystricosa,Allocasuarina hystricosa,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina lehmanniana,w,,,Wills (1993),Wills (1993),,,Suitable,Low,,Allocasuarina lehmanniana,Allocasuarina lehmanniana,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina littoralis,"a,n,q,t,v",,,,McDougall (pers. comm.),Howard et al. (2004),,Suitable,Low,,Allocasuarina littoralis,Allocasuarina littoralis,Casuarinaceae,"Qld, NSW, ACT, Vic, Tas"
CASUARINACEAE,Allocasuarina microstachya,w,,,Wills (1993),Wills (1993),,,Suitable,Low,,Allocasuarina microstachya,Allocasuarina microstachya,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina monilifera,t,,,"Podger et al. (1990), Schahinger et al. (2003)",,Rudman (pers. comm.),,Suitable,Low,,Allocasuarina monilifera,Allocasuarina monilifera,Casuarinaceae,Tas
CASUARINACEAE,Allocasuarina muelleriana,"s,v",,,"Kueh (2011), Weste (2001)",Weste (2001),,Kueh (2011),Suitable,Low,,Allocasuarina muelleriana,Allocasuarina muelleriana,Casuarinaceae,"SA, Vic"
CASUARINACEAE,Allocasuarina paludosa,"n,s,t,v",,,Weste (2001),Weste (2001),,,Suitable,Low,,Allocasuarina paludosa,Allocasuarina paludosa,Casuarinaceae,"SA, NSW, Vic, Tas"
CASUARINACEAE,Allocasuarina pinaster,w,,,Taylor (1974),,,,Mostly unsuitable,Low,,Allocasuarina pinaster,Allocasuarina pinaster,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina pusilla,"s,v",,,Weste (2001),Weste (2001),,,Suitable,Low,,Allocasuarina pusilla,Allocasuarina pusilla,Casuarinaceae,"SA, Vic"
CASUARINACEAE,Allocasuarina ramosissima,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,,Allocasuarina ramosissima,Allocasuarina ramosissima,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina rigida,"n,q",,,Taylor (1974),,,,Suitable,Low,,Allocasuarina rigida,Allocasuarina rigida,Casuarinaceae,"Qld, NSW"
CASUARINACEAE,Allocasuarina robusta,s,E,,Kueh (2011),,,Kueh (2011),Suitable,High,,Allocasuarina robusta [alternative possible names: Allocasuarina mackliniana subsp. mackliniana (pro parte misapplied) | Allocasuarina mackliniana subsp. xerophila (pro parte misapplied)],Allocasuarina robusta,Casuarinaceae,SA
CASUARINACEAE,Allocasuarina tessellata,w,,,,,Shearer & Crane (unpub. data),,Unsuitable,Low,,Allocasuarina tessellata,Allocasuarina tessellata,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina thuyoides,w,,,,,"Tynan et al. (2001), Shearer & Crane (unpub. data)",Wills (1993),Suitable,Low,,Allocasuarina thuyoides,Allocasuarina thuyoides,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina tortiramula,w,V,E,,,,Shearer & Crane (unpub. data),Suitable,High,,Allocasuarina tortiramula,Allocasuarina tortiramula,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina torulosa,"n,q",,,Pratt & Heather (1973),,,,Suitable,Low,,Allocasuarina torulosa,Allocasuarina torulosa,Casuarinaceae,"Qld, NSW"
CASUARINACEAE,Allocasuarina trichodon,w,,,Taylor (1974),,Barrett (pers. comm.),Shearer & Crane (unpub. data),Suitable,Moderate,,Allocasuarina trichodon,Allocasuarina trichodon,Casuarinaceae,WA
CASUARINACEAE,Allocasuarina verticillata,"a,n,s,t,v",,,"Kueh (2011), Podger (1989), Pratt & Heather (1973)",Rudman (pers. comm.),Velzeboer (pers. comm.),Kueh (2011),Suitable,Low,,Allocasuarina verticillata,Allocasuarina verticillata,Casuarinaceae,"SA, NSW, ACT, Vic, Tas"
CASUARINACEAE,Casuarina cunninghamiana,"a,n,nt,q",,,"Robertson (1970), Pratt & Heather (1973)",Roleybushcare (2022),,,Suitable,Low,,Casuarina cunninghamiana,Casuarina cunninghamiana,Casuarinaceae,"WA (naturalised), NT, Qld, NSW, ACT"
CASUARINACEAE,Casuarina glauca,"n,q",,,Robertson (1970),,,,Suitable,Low,,Casuarina glauca,Casuarina glauca,Casuarinaceae,"WA (naturalised), NT (naturalised), SA (naturalised), Qld, NSW, NI (naturalised), Vic (naturalised)"
CASUARINACEAE,Casuarina obesa,"n,v,w",,,"Belhaj et al. (2018), Gardner & Rokich (1987)",Gardner & Rokich (1987),,Belhaj et al. (2018),Suitable,Low,,Casuarina obesa,Casuarina obesa,Casuarinaceae,"WA, SA (naturalised), NSW, Vic"
CELASTRACEAE,Tripterococcus brunonis,w,,,,McDougall (1997),,,Suitable,Low,,Tripterococcus brunonis,Tripterococcus brunonis,Celastraceae,WA
CENTROLEPIDACEAE,Centrolepis aristata,"n,s,t,v,w",,,,McDougall (1997),,,Suitable,Low,,Centrolepis aristata,Centrolepis aristata,Centrolepidaceae,"WA, SA, NSW, Vic, Tas"
CENTROLEPIDACEAE,Centrolepis strigosa subsp. strigosa,"a,n,q,s,t,v,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Centrolepis strigosa subsp. strigosa,Centrolepis strigosa subsp. strigosa,Centrolepidaceae,"WA, SA, Qld, NSW, ACT, Vic, Tas"
CHENOPODIACEAE,Atriplex nummularia subsp. spathulata,"s,w",,,,Shearer & Crane (unpub. data),,,Unsuitable,Low,,Atriplex nummularia subsp. spathulata,Atriplex nummularia subsp. spathulata,Chenopodiaceae,"WA, SA"
CHENOPODIACEAE,Rhagodia parabolica,"n,nt,q,s,v",,,Weste (2001),Weste (2001),,,Suitable,Low,,Rhagodia parabolica,Rhagodia parabolica,Chenopodiaceae,"NT, SA, Qld, NSW, Vic"
CHENOPODIACEAE,Tecticornia verrucosa,"nt,s,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Tecticornia verrucosa,Tecticornia verrucosa,Chenopodiaceae,"WA, NT, SA"
CLUSIACEAE,Garcinia zichii,q,,,,Worboys et al. (2003),,,Suitable,Low,,Garcinia zichii,Garcinia zichii,Clusiaceae,Qld
COLCHICACEAE,Burchardia multiflora,w,,,Wills (1993),Wills (1993),,,Suitable,Low,,Burchardia multiflora,Burchardia multiflora,Colchicaceae,WA
COLCHICACEAE,Burchardia umbellata,w,,,Wills (1993),Wills (1993),,,Suitable,Low,,Burchardia umbellata,Burchardia umbellata,Colchicaceae,"SA, Qld, NSW, ACT, Vic, Tas"
