species,family,response per location,overall response
Abutilon fraseri,Malvaceae,D at Qld mulga; d at Qld mixed,Consistent decreaser responses
Aristida obscura,Poaceae,d at NT mulga; d at NSW mulga,Consistent decreaser responses
Atriplex vesicaria,Chenopodiaceae,D at SA mixed; D at WA chenopod,Consistent decreaser responses
Calotis cuneifolia,Asteraceae,d at Qld mulga; D at NSW mulga,Consistent decreaser responses
Daucus glochidiatus,Apiaceae,d at Qld mixed; d at WA mixed; d at SA mixed,Consistent decreaser responses
Enneapogon polyphyllus,Poaceae,D at Qld mulga; D at SA mixed,Consistent decreaser responses
Erodium cygnorum,Geraniaceae,d at SA mixed; d at SA chenopod,Consistent decreaser responses
Goodenia berardiana,Goodeniaceae,d at Qld mulga; d at Qld mixed,Consistent decreaser responses
Goodenia cycloptera,Goodeniaceae,d at Qld mulga; d at Qld mixed,Consistent decreaser responses
Portulaca filifolia,Portulaceae,d at NT mulga; D at Qld mulga,Consistent decreaser responses
Rhagodia spinescens,Chenopodiaceae,d at Qld mulga; d at NSW mulga,Consistent decreaser responses
Rhodanthe floribunda,Asteraceae,D at Qld mixed; d at SA chenopod; D at WA chenopod,Consistent decreaser responses
Salsola kali,Chenopodiaceae,D at WA mixed; d at SA chenopod; D at WA chenopod,Consistent decreaser responses
Sclerolaena decurrens,Chenopodiaceae,d at SA mixed; D at SA chenopod,Consistent decreaser responses
Aristida contorta,Poaceae,I at NSW mulga; D at WA mixed; D at SA mixed,"Mixed, but predominantly decreaser responses"
Erodium crinitum,Geraniaceae,D at Qld mixed; D at WA mixed; D at SA mixed; i at SA chenopod,"Mixed, but predominantly decreaser responses"
Eragagrostis dielsii,Poaceae,I at Qld mulga; D at SA mixed,Mixed responses
Gnephosis arachnoidea,Asteraceae,d at SA mixed; i at SA chenopod,Mixed responses
Lepidium phlebopetalum,Brassicaceae,i at Qld mulga; D at SA chenopod,Mixed responses
Maireana tomentosa,Chenopodiaceae,d at NT mulga; i at SA mixed,Mixed responses
Solanum ellipticum,Solanaceae,D at NSW mulga; I at SA mixed,Mixed responses
Brachycome ciliaris,Asteraceae,D at SA mixed; I at WA chenopod,Mixed responses
Calotis hispidula,Asteraceae,I at Qld mulga; D at SA mixed; I at SA chenopod,"Mixed, but predominantly increaser responses"
Chenopodium melanocarpum,Chenopodiaceae,I at NT mulga; I at WA mixed; d at SA mixed,"Mixed, but predominantly increaser responses"
* Carrichtera annua,Brassicaceae,I at SA mixed; I at WA chenopod,Consistent increaser responses
Chenopdium cristatum,Chenopodiaceae,i at Qld mulga; i at NSW mulga,Consistent increaser responses
* Schismus barbatus,Poaceae,I at SA mixed; I at SA chenopod,Consistent increaser responses
