Common name,Name,Naming authority,Family,Source,Notes,total ash,Soluble ash,Predicted NaCl + KCl,N,P,K,S,Na,Ca,Mg,Cl,Cu,Zn,Mn,Fe,Bo,Nitrate
Orange wattle,Acacia saligna,(Labill.) H.L.Wendl.,Leguminosae,"Perth, Western Australia",Native population,8,6.5,51,2.15,0.07,0.73,0.76,0.12,1.73,0.53,1.1,3.2,14,31,99,60,40
River saltbush,Atriplex amnicola,Paul G.Wilson,Chenopodiaceae,"Yealering, Western Australia","Diverse, planted population, moderately saline paddock",21.8,17.2,136,2.24,0.21,3.21,0.47,3.59,0.83,0.8,7.7,7,77,115,221,28,324
Old man saltbush (K),Atriplex nummularia,Lindl.,Chenopodiaceae,"Kalgoorlie, Western Australia",Native population,35,30.4,241,1.73,0.08,3.39,0.41,7.7,1.14,0.99,15.8,7.5,33,72,224,98,57
Old man saltbush (MB),Atriplex nummularia,Lindl.,Chenopodiaceae,"Murray Bridge, South Australia",Commercial cultivar,34.3,28.7,227,2.19,0.2,2.71,0.74,7.1,1.73,0.54,12.5,9.1,49,126,251,57,45
Old man saltbush (Y),Atriplex nummularia,Lindl.,Chenopodiaceae,"Yealering, Western Australia","Diverse, commercial stand, young plants, moderately saline paddock",22,17.4,138,2.9,0.25,3.2,0.42,3.88,0.67,0.72,6.1,6.9,57,108,106,45,47
Creeping saltbush,Atriplex semibaccata,R.Br.,Chenopodiaceae,"Tammin, Western Australia","Native volunteers, moderately saline paddock",19.9,10.9,87,2.42,0.27,2.32,0.32,2.58,0.87,0.87,3.3,11.9,150,128,982,44,322
Small-leaved bluebush,Maireana brevifolia,(R.Br.) Paul G.Wilson,Chenopodiaceae,"Meckering, Western Australia","Native volunteers, Mildly saline paddock",26,20.8,165,2.6,0.17,2.23,0.29,5.55,0.74,0.55,6.9,6.5,108,276,289,32,936
Lucerne or alfalfa,Medicago sativa,L.,Leguminosae,Commercial paddock,"Not an Australian native, comparison diet",9.3,5.9,47,2.8,0.26,1.75,0.34,0.32,1.79,0.27,1.7,9.6,28,36,182,32,41
Tagasaste,Chamaecytisus palmensis,(Christ) F.A.Bisby and K.W.Nicholls,Leguminosae,"Bakers Hill, Western Australia",Not an Australian native,3.8,2.7,22,2.92,0.17,1.34,0.14,0.05,0.37,0.19,0.4,5.6,57,54,181,23,47
Rhagodia,Rhagodia preissii,Moq.,Chenopodiaceae,"Mingenew, Western Australia","Diverse, planted population",16.1,11.4,91,1.89,0.17,3.74,0.27,1.39,0.99,0.79,4.1,6.5,41,33,133,42,39
Wilga,Geijera parviflora,Lindl.,Rutaceae,"Dareton, New South Wales","Small tree, Native population",9.7,5.9,47,1.66,0.22,1.95,0.13,0.04,2.21,0.41,1.2,5.3,134,47,262,240,73
