Species,Susceptibility Rating,suggested_name,accepted_name,family,taxon_distribution
Eucalyptus imlayensis E,highly_susceptible,Eucalyptus imlayensis,Eucalyptus imlayensis,Myrtaceae,NSW
Cheilanthes austrotenuifolia,field_resistant,Cheilanthes austrotenuifolia,Cheilanthes austrotenuifolia,Pteridaceae,"WA, SA, NSW, ACT, Vic, Tas"
Ptilotus declinatus,field_resistant,Ptilotus declinatus,Ptilotus declinatus,Amaranthaceae,WA
Ptilotus manglesii,field_resistant,Ptilotus manglesii,Ptilotus manglesii,Amaranthaceae,WA
Goniothalamus australis,field_resistant,Goniothalamus australis,Goniothalamus australis,Annonaceae,Qld
Laxmannia grandiflora subsp. stirlingensis,field_resistant,Laxmannia grandiflora subsp. stirlingensis,Laxmannia grandiflora subsp. stirlingensis,Asparagaceae,WA
Laxmannia jamesii V,field_resistant,Laxmannia jamesii,Laxmannia jamesii,Asparagaceae,WA
Laxmannia squarrosa,field_resistant,Laxmannia squarrosa,Laxmannia squarrosa,Asparagaceae,WA
Thysanotus dichotomus,field_resistant,Thysanotus dichotomus,Thysanotus dichotomus,Asparagaceae,WA
Actinotus bellidioides,field_resistant,Actinotus bellidioides,Actinotus bellidioides,Apiaceae,"Vic (presumed extinct), Tas"
Actinotus rhomboideus,field_resistant,Actinotus rhomboideus,Actinotus rhomboideus,Apiaceae,WA
Platysace lanceolata s.l.,field_resistant,Platysace lanceolata,Platysace lanceolata,Apiaceae,"Qld, NSW, ACT, Vic"
Platysace tenuissima,field_resistant,Platysace tenuissima,Platysace tenuissima,Apiaceae,WA
Xanthosia huegelii,field_resistant,Xanthosia huegelii,Xanthosia huegelii,Apiaceae,"WA, SA, Vic"
Sphenostemon lobosporus,field_resistant,Sphenostemon lobosporus,Sphenostemon lobosporus,Paracryphiaceae,Qld
Polyscias australiana,field_resistant,Polyscias australiana,Polyscias australiana,Araliaceae,"NT, Qld"
Helichrysum macranthum,field_resistant,Xerochrysum macranthum,Xerochrysum macranthum,Asteraceae,WA
Hyalosperma cotula,field_resistant,Hyalosperma cotula,Hyalosperma cotula,Asteraceae,WA
Lagenophora huegelii,field_resistant,Lagenophora huegelii,Lagenophora huegelii,Asteraceae,WA
Millotia tenuifolia s.l.,field_resistant,Millotia tenuifolia,Millotia tenuifolia,Asteraceae,"WA, SA, NSW, Vic, Tas"
Olearia paucidentata,field_resistant,Olearia paucidentata,Olearia paucidentata,Asteraceae,WA
Olearia sp. aff. axillaris (Stirling Range),field_resistant,Olearia sp. [Olearia sp. aff. axillaris (Stirling Range)],,Asteraceae,
Podolepis gracilis,field_resistant,Podolepis gracilis,Podolepis gracilis,Asteraceae,WA
Podotheca angustifolia,field_resistant,Podotheca angustifolia,Podotheca angustifolia,Asteraceae,"WA, SA, NSW, Vic, Tas (presumed extinct)"
Pterochaeta paniculata,field_resistant,Pterochaeta paniculata,Pterochaeta paniculata,Asteraceae,WA
Waitzia nitida,field_resistant,Waitzia nitida,Waitzia nitida,Asteraceae,WA
Balanops australiana,field_resistant,Balanops australiana,Balanops australiana,Balanopaceae,Qld
Isotoma hypocrateriformis,field_resistant,Isotoma hypocrateriformis,Isotoma hypocrateriformis,Campanulaceae,WA
Lobelia gibbosa,field_resistant,Lobelia gibbosa,Lobelia gibbosa,Campanulaceae,"WA, NT, SA, Qld, NSW, ACT, Vic, Tas"
Lobelia rhytidosperma,field_resistant,Lobelia rhytidosperma,Lobelia rhytidosperma,Campanulaceae,WA
Allocasuarina decussata,field_resistant,Allocasuarina decussata,Allocasuarina decussata,Casuarinaceae,WA
Allocasuarina lehmanniana s.l.,field_resistant,Allocasuarina lehmanniana,Allocasuarina lehmanniana,Casuarinaceae,WA
Allocasuarina microstachya,field_resistant,Allocasuarina microstachya,Allocasuarina microstachya,Casuarinaceae,WA
Allocasuarina trichodon,field_resistant,Allocasuarina trichodon,Allocasuarina trichodon,Casuarinaceae,WA
Allocasuarina verticillata,field_resistant,Allocasuarina verticillata,Allocasuarina verticillata,Casuarinaceae,"SA, NSW, ACT, Vic, Tas"
Casuarina obesa,field_resistant,Casuarina obesa,Casuarina obesa,Casuarinaceae,"WA, SA (naturalised), NSW, Vic"
Centrolepis aristata,field_resistant,Centrolepis aristata,Centrolepis aristata,Centrolepidaceae,"WA, SA, NSW, Vic, Tas"
Garcinia sp. (Davies Ck JG Tracey 14745),field_resistant,Garcinia zichii,Garcinia zichii,Clusiaceae,Qld
Burchardia multiflora,field_resistant,Burchardia multiflora,Burchardia multiflora,Colchicaceae,WA
Burchardia umbellata,field_resistant,Burchardia umbellata,Burchardia umbellata,Colchicaceae,"SA, Qld, NSW, ACT, Vic, Tas"
Geissois biagiana,field_resistant,Karrabina biagiana,Karrabina biagiana,Cunoniaceae,Qld
Gillbeea whypalliana,field_resistant,Gillbeea whypallana,Gillbeea whypallana,Cunoniaceae,Qld
