Event ID,Accession Number,Scientific Name,Dataset Title,Locality,Decimal Latitude,Decimal Longitude,Seed/gm,Quantity (count),Quantity (g),Thousand Seed Weight,Storage Relative Humidity,Purity,Storage Temperature,Collection Date,Storage Date,Storage Seed Bank,Collector,Pre-Storage Treatment/History,Plant Form,Form in Storage,Cultivated,Duplicates / Replicates,Permit Number,Collection Fill Rate / X-Ray,Publication DOI,Date Tested,Test Length,Number Germinated,Number Full,Number Empty,Number Not Viable,Number Tested,Germination Rate,Adjusted Germination,Viability,Pre-test Processing Notes,Treatment Media/Substrate,Treatment Day Temp,Treatment Night Temp,Treatment Light Hours,Treatment Dark Hours,Treatment Pretreatment
02542-1,02542-1,Triglochin minutissima,The Western Australian Seed Centre (Kensington),Lake Bryde NR,-33.333333,118.816667,,7864,,,,,-20,,,,T.Erickson,,,fruit,native,,,,,,,,,,,,,,,,,,,,,
02461-1,02461-1,Triglochin calcitrapa,The Western Australian Seed Centre (Kensington),Lake King NR,-33.083333,119.55,,,,,,,15,,,,T.Erickson,,,,native,,,,,,,,,,,,,,,,,,,,,
02470-1,02470-1,Triglochin centrocarpa,The Western Australian Seed Centre (Kensington),Arthur River NR,-33.066667,117.266667,,,,,,,15,,,,T.Erickson,,,,native,,,,,,,,,,,,,,,,,,,,,
02441-1,02441-1,Triglochin sp. A Flora of Australia (G.J.Keighery 2477),The Western Australian Seed Centre (Kensington),NW of Beekeepers Rd,-29.633333,115.133333,,1498,,,,,-20,,,,A.Crawford,,,seed,native,,,,,,,,,,,,,,,,,,,,,
02469-1,02469-1,Triglochin stowardii,The Western Australian Seed Centre (Kensington),Arthur River NR,-33.066667,117.266667,,336,,,,,-20,,,,T.Erickson,,,seed,native,,,,,,,,,,,,,,,,,,,,,
01130-1,01130-1,Brachyscias verecundus,The Western Australian Seed Centre (Kensington),,,,,300,,,,,-20,,,,M Spencer,,,seed,native,,,,,,,,,,,,,,,,,,,,,
02021-1,02021-1,Apium prostratum subsp. phillipii,The Western Australian Seed Centre (Kensington),,,,,4340,,,,,-20,,,,R.Hartley & J.Giles,,,fruit,native,,,,,,,,,,,,,,,,,,,,,
03406-1,03406-1,Marianthus paralius,The Western Australian Seed Centre (Kensington),,,,,17,,,,,-20,,,,W.Betts & S.Mitreuski,,,seed,native,,,,,,,,,,,,,,,,,,,,,
01877-1,01877-1,Marianthus mollis,The Western Australian Seed Centre (Kensington),,,,,818,,,,,-20,,,,B.L.Bayliss,,,seed,native,,,,,,,,,,,,,,,,,,,,,
02235-1,02235-1,Marianthus bicolor,The Western Australian Seed Centre (Kensington),E of Jerramungup,-33.733333,119.466667,,,,,,,15,,,,J.A.Cochrane,,,,native,,,,,,,,,,,,,,,,,,,,,
00760-1,00760-1,Actinotus whicheranus,The Western Australian Seed Centre (Kensington),,,,,309,,,,,-20,,,,J.A.Cochrane & M. Spencer,,,seed,native,,,,,,,,,,,,,,,,,,,,,
00750-1,00750-1,Marianthus granulatus,The Western Australian Seed Centre (Kensington),,,,,11700,,,,,-20,,,,E.J.Hickman,,,seed,native,,,,,,,,,,,,,,,,,,,,,
02022-1,02022-1,Apium prostratum subsp. phillipii,The Western Australian Seed Centre (Kensington),,,,,3635,,,,,-20,,,,R.Hartley & J. Giles,,,fruit,native,,,,,,,,,,,,,,,,,,,,,
02975-1,02975-1,Platysace compressa,The Western Australian Seed Centre (Kensington),"Dempster Head, Esperance",-33.866667,121.883333,,,,,,,15,,,,J.A.Cochrane & C. Gilovitz,,,,native,,,,,,,,,,,,,,,,,,,,,
03930-1,03930-1,Apium prostratum subsp. phillipii,The Western Australian Seed Centre (Kensington),,,,,1845,,,,,-20,,,,S. Barrett,,,fruit,native,,,,,,,,,,,,,,,,,,,,,
01548-1,01548-1,Apium annuum,The Western Australian Seed Centre (Kensington),Mondrain Island,-34.116667,122.25,,5171,,,,,-20,,,,J.A.Cochrane,,,seed,native,,,,,,,,,,,,,,,,,,,,,
02465-1,02465-1,Hydrocotyle muriculata,The Western Australian Seed Centre (Kensington),,,,,1946,,,,,-20,,,,T.Erickson,,,fruit,native,,,,,,,,,,,,,,,,,,,,,
01896-1,01896-1,Marianthus paralius,The Western Australian Seed Centre (Kensington),,,,,9176,,,,,-20,,,,A.Crawford,,,seed,native,,,,,,,,,,,,,,,,,,,,,
01612-1,01612-1,Marianthus aquilonaris,The Western Australian Seed Centre (Kensington),,,,,3285,,,,,-20,,,,J.A.Cochrane & R. Butler,,,seed,native,,,,,,,,,,,,,,,,,,,,,
01890-1,01890-1,Actinotus leucocephalus,The Western Australian Seed Centre (Kensington),Warrigal Rd,-32.066667,116.483333,,,,,,,15,,,,A.Crawford,,,,native,,,,,,,,,,,,,,,,,,,,,
07081-1,07081-1,Marianthus dryandra,The Western Australian Seed Centre (Kensington),,,,,,,,,,,,,,D.Rasmussen (DBCA),,,,native,,,,,,,,,,,,,,,,,,,,,
00778-1,00778-1,Apium prostratum subsp. phillipii,The Western Australian Seed Centre (Kensington),,,,,2800,,,,,-20,,,,"J A Cochrane, A Burchell & EJ Hickman",,,seed,native,,,,,,,,,,,,,,,,,,,,,
06575-1,06575-1,Brachyscias verecundus,The Western Australian Seed Centre (Kensington),,,,,,,,,,,,,,N.Moore (DBCA),,,,native,,,,,,,,,,,,,,,,,,,,,
01607-1,01607-1,Marianthus mollis,The Western Australian Seed Centre (Kensington),,,,,578,,,,,-20,,,,J.A.Cochrane & K. Bennett,,,seed,native,,,,,,,,,,,,,,,,,,,,,
00777-1,00777-1,Apium prostratum subsp. phillipii,The Western Australian Seed Centre (Kensington),,,,,8972,,,,,-20,,,,"J A Cochrane, A Burchel & E J Hickman",,,seed,native,,,,,,,,,,,,,,,,,,,,,
02541-1,02541-1,Hydrocotyle decorata,The Western Australian Seed Centre (Kensington),,,,,4218,,,,,-20,,,,T.Erickson,,,seed,native,,,,,,,,,,,,,,,,,,,,,
01157-1,01157-1,Billardiera drummondii,The Western Australian Seed Centre (Kensington),Toolbrunup Peak,-34.383333,118.05,,4655,,,,,-20,,,,J.A.Cochrane,,,seed,native,,,,,,,,,,,,,,,,,,,,,
02035-1,02035-1,Apium prostratum subsp. phillipii,The Western Australian Seed Centre (Kensington),,,,,1302,,,,,-20,,,,"R.Hartley, L.Southern & S. Gadal",,,fruit,native,,,,,,,,,,,,,,,,,,,,,
01061-1,01061-1,Trachymene pilosa,The Western Australian Seed Centre (Kensington),Mondrain Island,-34.116667,122.233333,,22729,,,,,-20,,,,J.A.Cochrane,,,seed,native,,,,,,,,,,,,,,,,,,,,,
01896-3,01896-3,Marianthus paralius,The Western Australian Seed Centre (Kensington),,,,,1000,,,,,-20,,,,A.Crawford,,,seed,native,,,,,,,,,,,,,,,,,,,,,
04082-1,04082-1,Billardiera fraseri,The Western Australian Seed Centre (Kensington),Alkimos,-31.6,115.666667,,,,,,,,,,,Tranen,,,,native,,,,,,,,,,,,,,,,,,,,,
00278-1,00278-1,Marianthus mollis,The Western Australian Seed Centre (Kensington),,,,,1030,,,,,-20,,,,J.A.Cochrane,,,seed,native,,,,,,,,,,,,,,,,,,,,,
00741-1,00741-1,Brachyscias verecundus,The Western Australian Seed Centre (Kensington),,,,,66,,,,,-20,,,,M Soutar,,,seed,native,,,,,,,,,,,,,,,,,,,,,
06369-1,06369-1,Brachyscias verecundus,The Western Australian Seed Centre (Kensington),,,,,,,,,,,,,,,,,,native,,,,,,,,,,,,,,,,,,,,,
02020-1,02020-1,Apium prostratum subsp. phillipii,The Western Australian Seed Centre (Kensington),,,,,917,,,,,-20,,,,R.Hartley & J. Giles,,,fruit,native,,,,,,,,,,,,,,,,,,,,,
01158-1,01158-1,Actinotus rhomboideus,The Western Australian Seed Centre (Kensington),,,,,6447,,,,,-20,,,,J.A. Cochrane,,,fruit,native,,,,,,,,,,,,,,,,,,,,,
02468-1,02468-1,Hydrocotyle diantha,The Western Australian Seed Centre (Kensington),Beaufort River flats,-33.483333,117.066667,,1191,,,,,-20,,,,T.Erickson,,,seed,native,,,,,,,,,,,,,,,,,,,,,
03180-1,03180-1,Marianthus mollis,The Western Australian Seed Centre (Kensington),,,,,7301,,,,,-20,,,,J.A.Cochrane,,,seed,native,,,,,,,,,,,,,,,,,,,,,
02596-1,02596-1,Hydrocotyle asterocarpa,The Western Australian Seed Centre (Kensington),,,,,1644,,,,,-20,,,,J.A.Cochrane & B. Davis,,,seed,native,,,,,,,,,,,,,,,,,,,,,
01278-1,01278-1,Hydrocotyle spinulifera,The Western Australian Seed Centre (Kensington),,,,,24449,,,,,-20,,,,A.Crawford,,,seed,native,,,,,,,,,,,,,,,,,,,,,
07080-1,07080-1,Marianthus dryandra,The Western Australian Seed Centre (Kensington),,,,,,,,,,,,,,D.Rasmussen (DBCA),,,,native,,,,,,,,,,,,,,,,,,,,,
01896-2,01896-2,Marianthus paralius,The Western Australian Seed Centre (Kensington),,,,,299,,,,,-20,,,,A.Crawford,,,seed,native,,,,,,,,,,,,,,,,,,,,,
