species,growth form,declared conservation code,collections,collection abbreviation,location,voucher number,number of plants soil inoculated,mortality (%),mortality halflife (days),mortality score
Lambertia echinata subsp. citrina,Shrub,,2,EC1,Cheyne Beach Cheyne,PERTH03486990,192, 48.905109489051085, 65.18518518518518, 4.202898550724634
Lambertia echinata subsp. citrina,,,,EC2,Beach,TFSC01697,137, 63.50364963503649, 58.66666666666668, 5.434782608695648
Lambertia echinata subsp. echinata,Shrub,R,,EE,Le Grand NP,PERTH03592081,51, 77.37226277372262, 41.48148148148148, 7.101449275362321
Lambertia echinata subsp. occidentalis,Tall shrub,R,2,EO1,Whicher Range Whicher,TFSCB01694,123, 96.35036496350365, 37.925925925925924, 8.405797101449274
Lambertia echinata subsp. occidentalis,,,,EO2,Range,,223, 93.43065693430657, 37.33333333333333, 8.115942028985504
Lambertia ericifolia,Tall shrub,,,ER,Stirling Range NP,TFSC01698,195, 96.35036496350365, 36.740740740740755,8.333333333
Lambertia finrallii,Shrub,R,,FA,Stirling Range NP,PERTH03481123,31, 93.43065693430657, 29.62962962962963, 9.202898550724635
Lambertia formosa,Shrub,,,FO,New South Wales,,91, 8.029197080291947, 74.07407407407409, 0.5072463768115938
Lambertia inermos var. drummondii,Tall shrub,,,ID,Stirling Range NP,TFSCOI 700,145, 88.32116788321167, 43.25925925925926, 7.608695652173915
Lambertia inermis var. inermis,Tall shrub,,,II,South Coast,NSC21341,176, 94.16058394160584, 36.740740740740755, 8.260869565217389
Lambertia ilicifolia,Shrub,,,IL,Tarin Rock,TFSC01462,24, 86.13138686131387, 56.29629629629631, 7.028985507246372
Lambertia multifora var. darlingensis,Shrub,,2,MD1,Swan Coastal Plain,PERTH06105513,96, 77.37226277372262, 49.77777777777778, 6.521739130434778
Lambertia multifora var. darlingensis,,,,MD2,Jar-rah Forest,PERTH06253806,198, 66.42335766423356, 67.55555555555556, 5.072463768115946
Lambertia multifora var. multifora,Shrub,,2,MM1,North sandplains,PERTHA01925520,77,80.2919708,49.18518519, 6.8115942028985454
Lambertia multifora var. multifora,,,,MM4,Dandaragan Plateau,,95, 91.24087591240875, 45.629629629629626, 7.536231884057965
Lambertia orbifolia subsp. orbifolia,Tall shrub,R,,OO,Narrikup,TFSC01696,153, 96.35036496350365, 30.814814814814813, 8.840579710144924
Lambertia orbifolia subsp. Scott River Plains,Tall shrub,R,2,OS1,Scott River—Snake springs,PERTH04135792,217, 94.16058394160584,32, 8.405797101449274
Lambertia orbifolia subsp. Scott River Plains,,,,OS2,Scott River—Beenup,TFSC01693,152, 94.16058394160584, 29.62962962962963, 8.840579710144924
Lambertia rariflora subsp. lutea,Small tree,P3,,RL,Walpole,PERTH5426111,5,100, 21.925925925925924,9.782608696
Lambertia rariflora subsp. rarifiora,Tree,P4,,RR,Margaret River,PERTH5085594,13, 16.788321167883208, 20.74074074074074, 7.898550724637679
Lambertia unmora,Shrub,,,UN,Boulder Hill,TFSC01656,187, 94.16058394160584, 34.37037037037037,8.333333333
